stage	status	blocking_reason	evidence
d0_config_feasibility	PASS	NONE	SG1_CONFIG_FEASIBILITY.tsv;SG1_RESOLVED_CONFIG_ISOLATION.tsv;config/SG1_B16_N_OVERLAY.config;config/SG1_TC80_N_OVERLAY.config
d1_smoke	PASS_6_OF_6	NONE	NN Pair 1, repaired Btree Pair 2, and BICG Pair 3 B16-N/TC80-N rows all passed strict validation with dedicated Core b838fb6f. Six prior UUIDs remain preserved failures. BICG cycles: B16-N 83423029, TC80-N 25426619; both have 145666048 instructions and terminal PIB 0. See SG1_SMOKE_PAIR3_PARTIAL.tsv.
d2_g6	PASS_12_ACCEPTED	NONE	All twelve fixed-G6 cells are accepted: four exact-identity BICG/Btree smoke reuses in SG1_G6_REUSE_AUDIT.tsv and eight direct immutable rows. The final three direct rows (B16-N ATAX; B16-N/TC80-N GESUMMV) naturally exited and strictly passed in SG1_G6_TERMINAL_RESULTS.tsv. The original TC80-N/2D validator FAIL remains preserved and is reconciled only by its strict same-identity revalidation in SG1_G6_VALIDATION_RECONCILIATION.tsv; no simulation is rerun. Historical detached launch transport failures remain excluded under SG1_G6_LAUNCH_TRANSPORT_FAILURE.tsv.
d2_legacy_evidence_status	ROW_LOCAL_STRICT_PASS_MIXED_CORE_NOT_FINAL_PAPER_EVIDENCE	SUPERSEDED_FOR_FINAL_PAPER_USE	The historical d2_g6 row and every immutable attempt remain preserved, but its accepted cells span Core/runtime identities. D2B is the sole final-paper NORMAL requalification path.
d2b_canonical_core	PASS_BUILD_IN_USE	NONE	SG1_CANONICAL_NORMAL_CORE_CLOSURE.tsv;SG1_CANONICAL_NORMAL_RUNTIME_PROVENANCE.tsv. Clean Core 6582b9d171330d88b17e8d5294c97704229e3823 and runtime SHA256 4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9 are the sole D2B identity.
d2b_smoke	PASS_6_OF_6	NONE	SG1_CANONICAL_SMOKE.tsv and SG1_R0_VALIDATION.tsv record six fresh strict-pass rows. BICG/B16-N UUID e7fb57a0 passed all 19 checks at 2026-09-22T08:13:25Z with 79721847 cycles, 145666048 instructions, and terminal PIB occupancy 0.
d2b_g6	PASS_12_CANONICAL_4_REUSE_8_FRESH_PLUS_GESUMMV_B16_S	NONE	Four BICG/Btree D2B smoke rows are exact-identity reusable G6 evidence and eight canonical fixed-G6 rows strictly pass. The bounded same-Core GESUMMV/B16-S sector fairness control also strictly passes; see SG1_EXECUTION_DATA_SNAPSHOT_V5.tsv.
d2b_fast12	PASS_12_OF_12_GENUINELY_MISSING	NONE	The predeclared FAST12 missing set (GEMM, DWT2D, Hotspot1, LUD, NN, MRI-Q × B16-N/TC80-N) strictly passes. MRI-Q is indexed in V4; the remaining ten receipts are indexed in SG1_EXECUTION_DATA_SNAPSHOT_V5.tsv. This records the V3/V4 necessity policy; it does not expand to unneeded rows.
d3_fast12	NOT_STARTED	PREREQUISITE_D2_STRICT_PASS	Promotion follows valid G6 unless a scientific-model blocker is recorded.
d4_analysis	NOT_STARTED	PREREQUISITE_D3_STRICT_PASS	Ratios will be regenerated from integer cycles only.
