evidence_class	frozen_fast64_framework_sha	workload	dimension	physical_point_kib	mode	modeled_pool	row_disposition	compact_evidence_path	compact_evidence_sha256	stage6_cells_path	stage6_cells_sha256	cycles	instructions	lower_requests_created	lower_requests_issued	lower_responses	l2_accesses	l2_misses	l2_reservation_fails	global_reads	global_writes	valid_hits	pending_hits	tag_evictions	io_duplicate_after_eviction	io_no_free_physical_events	io_partial_allocation_events	io_allocation_width_limited_events	physical_allocations	physical_releases	physical_allocated_terminal	physical_allocated_peak_per_sm	physical_free_minimum_per_sm_reported	oo_out_of_order_retires	oo_immediate_reclaims	oo_deferred_reclaims	oo_final_ref_reclaims	oo_wakeups
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	42351523	145666048	17647559	17647559	17647559	74785564	25216512	142805469	17647559	4195328	527415	175106	17643463	124920	550706446	638254	0	17647559	17643463	4096	192	55	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	OO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	81dca2ba916aa5c8eac4a64b5f4cd2aa6619970be84568a5417809e6e770c92b	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	37846112	145666048	17639701	17639701	17639701	74754132	22035480	175304931	17639701	4195328	517005	193374	17635605	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	17639701	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	4096	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	1891361	727416	16908189	16908189	17833075
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	32	IO	256_lines_32768B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	16ae4fd97fa3a69a9a20b42f4ee2e9ea6d5cfd86e0c573d64ea41d352df67e6b	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	45668204	145666048	17751919	17751919	17751919	75203004	28612316	206408631	17751919	4195328	508980	89181	17747823	353658	579254748	607083	0	17751919	17747823	4096	256	119	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	32	OO	256_lines_32768B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	280eaa1ada1e0fa57c77071ae2fbc89ce5915444b0e46a760c2578e8d156804d	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	42895109	145666048	17769885	17769885	17769885	75274868	25659072	211780990	17769885	4195328	513334	66861	17765789	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	17769885	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	4096	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	1925812	797280	16968509	16968509	17836746
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	40	IO	320_lines_40960B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v5/fast64_sens_v7_bicg_physical40_io.json	5246c8c61e5322d19695ab8907d3dfd3149062dd7feb607be7b304f71e35d460	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	61017789	145666048	17823522	17823522	17823522	75489416	38387456	345988456	17823522	4195328	507995	18563	17819426	388275	584134231	492400	0	17823522	17819426	4096	320	183	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	40	OO	320_lines_40960B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v6/fast64_sens_v8_bicg_physical40_oo.json	dfa442b36219ffcc0e7c601dd13503ad98e00d0cc48670161abbd046da07738e	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	42680059	145666048	17808221	17808221	17808221	75428212	24911944	248461819	17808221	4195328	515237	26622	17804125	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	17808221	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	4096	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2038780	1223984	16580141	16580141	17834843
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	48	IO	384_lines_49152B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	31a98cd4b5d1eee4e07a9a6f9e0e525e7b9d31e92065e5b900a7e3987c46b300	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	77916699	145666048	17822880	17822880	17822880	75486848	50293868	512793007	17822880	4195328	508070	19130	17818784	356819	672561881	399404	0	17822880	17818784	4096	384	247	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	48	OO	384_lines_49152B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	f3e4f6b9fe6550a090d8504afb41c095fc955aa8dd3514a44c5b8f9d3aa10f02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	47093407	145666048	17815083	17815083	17815083	75455660	29262764	262260795	17815083	4195328	517429	17568	17810987	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	17815083	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	4096	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2237789	1630872	16180115	16180115	17832651
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_io.json	85fc1495391e48230389327de9f2de5b567c7139924d5a865f2aae1110ef82b1	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	78710188	190918656	34220565	34220565	34220565	141077076	50745264	127391360	34220565	4194816	1036209	394938	34218517	148747	1045255197	1270370	0	34220565	34218517	2048	192	192	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	24	OO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_oo.json	2304d5d52115d89d748ac68253146da96f43e05d08afc3835b5d2ac2de5f9ce3	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	64941439	190918656	34244799	34244799	34244799	141174012	37800452	123130171	34244799	4194816	1029629	377284	34242751	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	34244799	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2048	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2771432	712607	33530144	33530144	34622083
