schema	classification	mechanism_arrow	verdict	evidence_scope	evidence_or_source	interpretation_boundary
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	physical_pool_size -> physical_occupancy_or_pool_full_exposure	MEASURED_CORRELATION	D4 18-row physical sweep	BICG and GESUMMV allocated-line and pool-full exposures change across 24/32/48 KiB; Btree is invariant and never full	Not universal; changing capacity is observational here and occupancy fraction includes capacity in its denominator
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	physical_occupancy_or_pool_full_exposure -> lower_inflight_concurrency	MEASURED_CORRELATION	D4 18-row physical sweep	BICG/GESUMMV local points co-vary in allocated-line exposure and average lower inflight; Btree is a constant control	No intervention isolates the direction of this relation
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	lower_inflight_concurrency -> L2_miss_or_reservation_pressure	MEASURED_CORRELATION	D4 18-row physical sweep	BICG and GESUMMV have jointly higher local inflight exposure and L2 miss/reservation-fail rates at several larger-pool points	Correlation only; workload execution and capacity change together
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	L2_miss_or_reservation_pressure -> alloc_to_ready_pending_lifetime	MEASURED_CORRELATION	D4 18-row physical sweep	BICG IO lifetime/miss-per-lower: 2018/1.43, 2802/1.61, 9400/2.82; GESUMMV IO: 1123/1.48, 2276/1.94, 5431/2.65	The data do not identify L2 pressure as the cause of lifetime
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	alloc_to_ready_pending_lifetime -> pending_tag_eviction	INSUFFICIENT	D4 18-row physical sweep	Pending-Tag-evictions per lower are not uniformly monotonic with lifetime, notably BICG OO at 48 KiB	No per-allocation causal linkage or intervention is measured
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	pending_tag_eviction -> duplicate_lower_request_traffic	SOURCE_PROVEN	Lane C IO source audit plus OO_DUPLICATE_COUNTER_SEMANTICS.md	A pending Tag eviction recorded for a not-ready logical line is removed on successful same-line reallocation and increments only on the new lower-request path	Exact transition semantics; does not establish frequency or performance effect
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	duplicate_lower_request_traffic -> performance	NOT_SUPPORTED	D4/D5 plus accepted FAST64 speedups	Duplicates, occupancy, inflight work, L2 pressure, reservation failures, and lifetimes co-vary; no duplicate-only intervention exists	No recoverable-performance estimate is made
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	OO_pending_tag_eviction -> deferred_physical_lifetime	SOURCE_PROVEN	OO_DUPLICATE_COUNTER_SEMANTICS.md and LANE_D_OBSERVER_COUNTER_SEMANTICS.md	A pending OO Tag eviction creates the generation-keyed deferred-eviction observer interval that ends at final reclaim	Exact state/observer semantics, not a claim about duration magnitude
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	OO_deferred_physical_lifetime -> final_reclaim	SOURCE_PROVEN	OO_DUPLICATE_COUNTER_SEMANTICS.md	The deferred interval is generation-matched and closes when final reclaim occurs; stale/recycled identities cannot match	Source-defined lifecycle, not a performance claim
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	OO_final_reclaim -> exposed_concurrency	INSUFFICIENT	D4 18-row physical sweep	OO lifetime and in-flight exposure co-vary for some BICG/GESUMMV points, but no final-reclaim intervention exists	Direction and mechanism remain unidentified
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	exposed_concurrency -> performance	NOT_SUPPORTED	D4 18-row physical sweep	BICG/GESUMMV cycles change with several measured quantities while Btree remains invariant	The data do not assign performance changes to concurrency alone
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	universal_larger_pool -> downstream_pressure_transfer	NOT_SUPPORTED	D4 18-row physical sweep	Btree is invariant/no-full at every point; BICG and GESUMMV are workload-local and nonmonotonic in outcomes	A universal statement is contradicted by the control and heterogeneous responses
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	BICG_GESUMMV_larger_pool -> lower_no_free_exposure	NOT_SUPPORTED	D4 IO no-free-per-instruction	BICG: 3.781 -> 3.977 -> 4.617; GESUMMV: 5.475 -> 7.059 -> 6.677 at 24/32/48 KiB	The proposed falling-front-end-no-free premise is not observed; OO lacks this emitted compact counter
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	downstream_L2_pressure_primary_limiter_with_duplicate_feedback_secondary	INSUFFICIENT	Integrated D4/D5 evidence	L2 pressure/lifetime covariation and exact duplicate traffic are measured, but their relative causal roles are not isolated	Hypothesis remains unproven rather than promoted to a final story
