schema	classification	wave	workload	mode	source_row_kind	accepted_summary	accepted_summary_sha256	accepted_source_log	accepted_source_log_sha256	observer_terminal_log	observer_terminal_log_sha256	preexisting_metric_key_count	accepted_ordered_selected_stat_count	observer_ordered_selected_stat_count	accepted_ordered_stat_sequence_sha256	observer_ordered_stat_sequence_sha256	ordered_preexisting_stat_sequence_exact
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	IO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	/workspace/fast64-sensitivity-v1/fast64_sens_v1_bicg_physical24_io/simulator.stdout	befef2fa5e92fd573eadd6d63f07a68f7088919ab9ea8b76ca17bcaf21d4bf5a	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_io/simulator.stdout	d042dfa41232c3b957e538cd9d5d75a6fc967a82c08a8a89a075a523241023fb	71	142	142	7cad51b2ce9aa2aaef30b50b425d7c430ac10c8cefb013e93737e03be8f18b6a	7cad51b2ce9aa2aaef30b50b425d7c430ac10c8cefb013e93737e03be8f18b6a	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	IO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	16ae4fd97fa3a69a9a20b42f4ee2e9ea6d5cfd86e0c573d64ea41d352df67e6b	/workspace/fast64-sensitivity-v1/fast64_sens_v5_bicg_physical32_io/simulator.stdout	431eef2546e1c2466b5bf9ecfa3d093a39557f8f90a7c2e9b3e09ae227723ba2	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_io/simulator.stdout	00489413f70a514db99ec61c8c89077e7da68699b861b780c1c6db80c32835d8	71	142	142	07ec4a4212ef70aaab7f3b69e20711f83c6f2976e4ddea119c3457fa21970ac0	07ec4a4212ef70aaab7f3b69e20711f83c6f2976e4ddea119c3457fa21970ac0	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	IO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	31a98cd4b5d1eee4e07a9a6f9e0e525e7b9d31e92065e5b900a7e3987c46b300	/workspace/fast64-sensitivity-v1/fast64_sens_v9_bicg_physical48_io/simulator.stdout	236c9438256947880aa4fc323328ee6a583c1aa4c973f2384db3b24cc386e3be	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_io/simulator.stdout	4bc1030b9b57c88c7761be06e2ecf1d283d232d7139359e30bae66be2c7f650d	71	142	142	d10255b9a34fe7f3b43527550b4aef8641e36b375399f043c98b7c6da5a47e82	d10255b9a34fe7f3b43527550b4aef8641e36b375399f043c98b7c6da5a47e82	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	OO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	81dca2ba916aa5c8eac4a64b5f4cd2aa6619970be84568a5417809e6e770c92b	/workspace/fast64-sensitivity-v1/fast64_sens_v1_bicg_physical24_oo/simulator.stdout	5d6d354cb4e87fb1da7eb9f91521dc9f9e0c83b4f41a5979f02148b8aba2ebf5	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_oo/simulator.stdout	5a39729f9ee4823dd96ddade9339b5c555cff3e5126a5717768a3eaced4e2f41	47	94	94	e38f411713114a595806eb58300cb2e96d3069c4a15edfcf8c63d40fdcaa4009	e38f411713114a595806eb58300cb2e96d3069c4a15edfcf8c63d40fdcaa4009	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	OO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	280eaa1ada1e0fa57c77071ae2fbc89ce5915444b0e46a760c2578e8d156804d	/workspace/fast64-sensitivity-v1/fast64_sens_v6_bicg_physical32_oo/simulator.stdout	807eada4602268093756822dd5e17fa10e0059d83bc2f9ffe4fe1536a6a9e284	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_oo/simulator.stdout	df71309b7e842918ae9a9e181d37b2f589be64969c5777a89a3b8d0f17d273b4	47	94	94	d213c42be6bea2a6ce361b8ac444ad6c38fa0e1e6c25dc774b041c3a44904ce2	d213c42be6bea2a6ce361b8ac444ad6c38fa0e1e6c25dc774b041c3a44904ce2	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	OO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	f3e4f6b9fe6550a090d8504afb41c095fc955aa8dd3514a44c5b8f9d3aa10f02	/workspace/fast64-sensitivity-v1/fast64_sens_v10_bicg_physical48_oo/simulator.stdout	83b7b5b742614ffc6d39b15e6c535cad54c66b98249f0fa77896e7056715b341	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_oo/simulator.stdout	cce7cb46388452bc63536d03eaaef58d1c529730109c09a40cee7f0f1a922f0d	47	94	94	807ba5dd97b3a69c9ced32d169504cb5be9967781eec3e28145615f0dc24adbb	807ba5dd97b3a69c9ced32d169504cb5be9967781eec3e28145615f0dc24adbb	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	IO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	5d3e8594eaf22c65350ffb77958b5bc54cdaae86a9bd95e65b6e2893d0c09960	/workspace/fast64-sensitivity-v1/fast64_sens_v1_btree_physical24_io/simulator.stdout	72d71553a2743f0a2a7b79f457b00b71d6a8c546cd7744134d9ac6f1122b4088	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_io/simulator.stdout	10397fd7c3e0974b223ee7bda397327b347c87caefa91b0d48c6b8a92b472dbb	71	142	142	9a679925885683af5f9f4efe183f1fd327d763fc504f41c0beedff1ea4ff9957	9a679925885683af5f9f4efe183f1fd327d763fc504f41c0beedff1ea4ff9957	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	IO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	4e64f82feae9772bded0d2cf9b8bae97becac91e319a7415d872af6e1948b341	/workspace/fast64-sensitivity-v1/fast64_sens_v6_btree_physical32_io/simulator.stdout	3985994b9beafd7270c44acc52385f745d6f47543f79aeaf160a44cd8376f4cf	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_io/simulator.stdout	968b96f8bdaf502b483f9bb19b44267634929a706874ba495ea7efec15778312	71	142	142	e77aa14c0fd417a0bed661aaf578494949e6afa34250a4eed2f6f2ac12b81223	e77aa14c0fd417a0bed661aaf578494949e6afa34250a4eed2f6f2ac12b81223	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	IO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_io.json	7c5540a2cfba57113658fa8f80ce81c10de494deee8d3973fc44699250a164c6	/workspace/fast64-sensitivity-v1/fast64_sens_v5_btree_physical48_io/simulator.stdout	beb1b5ef99bb9a8dfa6b8af686385cd9f2b0ac92532af99af7c020f9ad18bec2	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical48_io/simulator.stdout	4cfda51cc4a7a2611f4f4733e330d1be96a207379cdd759a5bd74f67669f9785	71	142	142	2b9d2286d06efc1a8bfc6d347e3ada94760edbfd09a545d2110b1d17cebf145a	2b9d2286d06efc1a8bfc6d347e3ada94760edbfd09a545d2110b1d17cebf145a	true
POST_FAST64_OBSERVER_ORDERED_STAT_AUDIT_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	OO	NEW_DIAGNOSTIC_RUN	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical24_oo.json	e07a90238e5cce80f9bf91495901f0c0a55a243004b1be9546e30d6c200499a2	/workspace/fast64-sensitivity-v1/fast64_sens_v5_btree_physical24_oo/simulator.stdout	e4f2fae7d29edaabd442b98c941cff74081cf4d36e76a908ea3bdd6496fd1858	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_oo/simulator.stdout	889224382d13fd985187eff683988b2374a79a71702c2cd4d211795b5dd96722	47	94	94	b144114bf3625da29ffd01a364250550fe7c11d35325a52fed56b005b6ec838a	b144114bf3625da29ffd01a364250550fe7c11d35325a52fed56b005b6ec838a	true
