schema	classification	source_row_kind	workload	io_evidence_status	oo_observer_evidence_status	io_duplicate_after_eviction	io_lower_created	io_duplicate_share_of_lower	io_lower_request_payload_inflation	io_pending_hits	io_tag_evictions	oo_duplicate_after_eviction	oo_lower_created	oo_duplicate_share_of_lower	oo_lower_request_payload_inflation	oo_pending_hits	oo_tag_evictions	accepted_speedup_io	accepted_speedup_oo	oo_cycles	oo_instructions	oo_raw_run_directory
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	2DConvolution	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	1425269	3375831	0.422197971	0.730696588983	4439927	3367639	1360972	3305954	0.411672999685	0.699735010401	4523971	3297762	3.582374	3.788140	593208	620347492	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_2dconvolution_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	ATAX	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	356940	17821540	0.020028572	0.0204379144097	19553	17817444	191265	17814804	0.010736295499	0.0108528145227	17337	17810708	0.993065	1.825165	48078114	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_atax_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	BICG	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	279251	17821394	0.015669425	0.015918864645	18404	17817298	125043	17814913	0.00701900705325	0.00706862175923	17506	17810817	0.942017	1.873651	47231655	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_bicg_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D3B_EXACT_REUSE	Btree	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	8	507779	0.000015755	1.57551337119e-05	735684	499587	57	502450	0.000113444123793	0.000113456994823	746257	494258	1.514865	2.141133	172795	444467849	/workspace/post-fast64-observer-d3b-v1.M4dRvg/btree_oo_on
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	DWT2D	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	1520	232115	0.006548478	0.0065916433574	16346	223923	1537	232015	0.00662457168718	0.00666874929494	16455	223823	1.425632	1.466514	234651	148684429	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_dwt2d_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	Gaussian	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	713979	1422278	0.501996797	1.00801921223	3617506	1414086	727497	1435914	0.50664385193	1.02693328929	3610577	1427722	1.107996	1.107187	3820325	283685120	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_gaussian_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	GEMM	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	440128	4256815	0.103393735	0.115316765561	2210230	4248623	150351	4113199	0.0365533007277	0.0379401380018	2882043	4105007	1.788228	1.906281	1396643	739246080	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_gemm_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	Hotspot1	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	4567	351857	0.012979705	0.0131503930433	973	343676	4546	351837	0.0129207559182	0.0130898871552	838	343672	1.874114	1.906621	84173	377291004	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_hotspot1_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	LUD	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	31436	517232	0.060777369	0.0647102899159	4350	509040	25129	518472	0.0484674196485	0.0509361640887	3533	510280	1.020514	1.023927	1087849	184963840	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_lud_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	MRI-Q	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	0	15517	0.000000000	0	0	13325	0	15516	0	0	0	13324	1.017005	1.014532	361415	1411757056	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_mri-q_primaryprimary_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D5_TERMINAL	NN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	0	2673	0.000000000	0	2673	0	0	2673	0	0	2673	0	1.146021	1.144144	6105	1284872	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d5_nn_primaryprimary_oo
