schema	classification	workload	oo_source_row_kind	io_evidence_status	oo_evidence_status	io_lower_created	io_pending_hits	io_tag_evictions	io_duplicate_after_eviction	io_duplicate_share_of_lower	io_lower_request_payload_inflation	oo_lower_created	oo_pending_hits	oo_tag_evictions	oo_duplicate_after_eviction	oo_duplicate_share_of_lower	oo_lower_request_payload_inflation	oo_over_io_duplicate_share_ratio	accepted_speedup_io	accepted_speedup_oo	speedup_source
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	2DConvolution	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	3375831	4439927	3367639	1425269	0.422197971403	0.730696588983	3305954	4523971	3297762	1360972	0.411672999685	0.699735010401	0.975071003578	3.582374	3.788140	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	ATAX	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	17821540	19553	17817444	356940	0.020028572166	0.0204379144097	17814804	17337	17810708	191265	0.010736295499	0.0108528145227	0.536048970938	0.993065	1.825165	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	BICG	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	17821394	18404	17817298	279251	0.0156694251864	0.015918864645	17814913	17506	17810817	125043	0.00701900705325	0.00706862175923	0.44794285494	0.942017	1.873651	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	D3B_EXACT_REUSE	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	507779	735684	499587	8	1.57548854915e-05	1.57551337119e-05	502450	746257	494258	57	0.000113444123793	0.000113456994823	7.20056796696	1.514865	2.141133	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	DWT2D	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	232115	16346	223923	1520	0.00654847812507	0.0065916433574	232015	16455	223823	1537	0.00662457168718	0.00666874929494	1.01162003761	1.425632	1.466514	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Gaussian	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	1422278	3617506	1414086	713979	0.501996796688	1.00801921223	1435914	3610577	1427722	727497	0.50664385193	1.02693328929	1.00925714123	1.107996	1.107187	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	GEMM	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	4256815	2210230	4248623	440128	0.103393734517	0.115316765561	4113199	2882043	4105007	150351	0.0365533007277	0.0379401380018	0.353534969003	1.788228	1.906281	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	GESUMMV	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	34595564	28533	34593516	605076	0.0174899880227	0.0178013331259	34598098	9450	34596050	140107	0.00404955786876	0.00406602346608	0.231535771408	0.925562	1.362971	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Hotspot1	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	351857	973	343676	4567	0.0129797048233	0.0131503930433	351837	838	343672	4546	0.0129207559182	0.0130898871552	0.995458378611	1.874114	1.906621	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	LUD	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	517232	4350	509040	31436	0.060777368763	0.0647102899159	518472	3533	510280	25129	0.0484674196485	0.0509361640887	0.797458340744	1.020514	1.023927	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	MRI-Q	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	15517	0	13325	0	0	0	15516	0	13324	0	0	0	NA_BOTH_IO_AND_OO_ZERO	1.017005	1.014532	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	NEW_DIAGNOSTIC_RUN	STRICT_TERMINAL_ACCEPTED	STRICT_TERMINAL_EXACT_PREEXISTING_METRIC_MATCH	2673	2673	0	0	0	0	2673	2673	0	0	0	0	NA_BOTH_IO_AND_OO_ZERO	1.146021	1.144144	ACCEPTED_FAST64_PRIMARY_BASE_IO_OO_CYCLES
