schema	classification	wave	workload	dimension	point	mode	attempt_uuid	runner_sha256	core_source_head	simulator_sha256	run_directory	accepted_summary	acceptance_disposition
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	physical	24	IO	56ecca8f-a5f1-4608-8282-6563fc269dba	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_io	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	physical	24	OO	f51a6b2e-4448-4f01-8e9d-3bce3d80b975	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_oo	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	physical	32	IO	98316de9-6f76-4073-9438-89a035e6ba68	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_io	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	physical	32	OO	c24ef8cc-0695-4ede-87ba-278b8966047f	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_oo	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	physical	48	IO	17fa6734-2dd9-4525-bbde-63b0939c5651	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_io	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	physical	48	OO	38483dae-778a-4d15-96f7-d557c3232b7c	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_oo	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	physical	24	IO	143709c2-819c-423e-a431-a1b6596d36b7	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_io	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	physical	24	OO	42a201d6-6e26-4afa-8c65-337fc00a6e8c	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_oo	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical24_oo.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	physical	32	IO	76d88800-0de2-4764-92e0-1969b2bc3170	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_io	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	physical	32	OO	889fdf05-4aeb-407d-8e15-0bd50d300275	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	2fcde3eb3fce1502cc0f910cad6f807e530018c5	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_oo	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_oo.json	STRICT_TERMINAL_ACCEPTED_FOR_INTERIM_ANALYSIS
