workload	pressure_field	pressure_category	raw_events	counter_domain	exclusivity	evidence_class	accepted_source
ATAX	pib_full_events	PIB full	10200202	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
ATAX	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	1349272650	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
ATAX	tag_bank_conflicts	Tag-bank conflict	20972288	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
ATAX	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
ATAX	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
ATAX	miss_queue_downstream_full_events	missqueue/downstream full	1070	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
BICG	pib_full_events	PIB full	10203224	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
BICG	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	1369006149	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
BICG	tag_bank_conflicts	Tag-bank conflict	20972288	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
BICG	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
BICG	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
BICG	miss_queue_downstream_full_events	missqueue/downstream full	1145	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GESUMMV	pib_full_events	PIB full	49978400	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GESUMMV	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	3157387337	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GESUMMV	tag_bank_conflicts	Tag-bank conflict	38798080	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GESUMMV	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GESUMMV	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GESUMMV	miss_queue_downstream_full_events	missqueue/downstream full	1455	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GEMM	pib_full_events	PIB full	128879948	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
