workload	sensitivity_dimension	row_kind	requested_point	mode	modeled_capacity_or_entries	same_mode_reference	same_mode_reference_cycles	cycles	cycles_over_same_mode_reference	speedup_vs_same_mode_reference	normalization_formula	accepted_status	boundary_disposition	evidence_class	accepted_source
BICG	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	16	IO	16384	IO@16	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
BICG	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	32	IO	32768	IO@16	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
BICG	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	64	IO	65536	IO@16	93942704	93697186	0.997386513	1.002620335	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
BICG	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	16	OO	16384	OO@16	47231655	47231655	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
BICG	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	32	OO	32768	OO@16	47231655	47182217	0.998953287	1.001047810	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
BICG	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	64	OO	65536	OO@16	47231655	42468441	0.899152083	1.112158909	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
Btree	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	16	IO	16384	IO@16	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
Btree	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	32	IO	32768	IO@16	244231	235454	0.964062711	1.037276920	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
Btree	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	64	IO	65536	IO@16	244231	233835	0.957433741	1.044458700	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
Btree	logical_capacity_kib	NUMERIC_ACCEPTED_POINT	16	OO	16384	OO@16	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_logical_plot.tsv
