schema	classification	source_row_kind	workload	mode	configured_physical_kib	configured_physical_lines	cycles	instructions	cycles_per_instruction	cycles_relative_to_same_mode_24k	observer_sample_sm_cycles	average_physical_allocated_lines_per_sample	physical_occupancy_fraction	physical_full_sample_fraction	average_inflight_requests_per_sample	alloc_to_ready_count	alloc_to_ready_average_cycles	alloc_to_ready_max_cycles	pending_tag_evictions_observed	pending_tag_evictions_per_lower	lower_created	duplicate_after_eviction	duplicate_share_of_lower	lower_request_payload_inflation	io_pending_eviction_to_response_average_cycles	io_pending_eviction_to_response_max_cycles	oo_deferred_eviction_to_final_reclaim_average_cycles	oo_deferred_eviction_to_final_reclaim_max_cycles	oo_out_of_order_retires	oo_immediate_reclaims	oo_deferred_reclaims	oo_final_ref_reclaims	l2_accesses	l2_misses	l2_misses_per_lower	l2_reservation_fails	l2_reservation_fails_per_lower	global_reads	global_writes	no_free_physical_events	raw_run_directory
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	BICG	IO	24	192	42351523	145666048	0.290743955654	1	594749043	186.942647412	0.973659621936	0.92725425369	59.8517251872	17647559	2018.09235124	20149	16275837	0.922271289757	17647559	124920	0.0070785993689	0.00712906315082	2066.87570016	20089	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	74785564	25216512	1.42889518035	142805469	8.09208055346	17647559	4195328	550706446	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_io
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	BICG	OO	24	192	37846112	145666048	0.259814229325	1	566449397	186.373046461	0.970692950319	0.923531578938	72.5511374408	17639701	2330.77577426	20346	16480123	0.934263171468	17639701	153843	0.00872140633223	0.00879813847282	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	3597.84143411	32399	1891361	727416	16908189	16908189	74754132	22035480	1.2491980448	175304931	9.93808971025	17639701	4195328	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	BICG	IO	32	256	45668204	145666048	0.313513029474	1.07831314591	623252067	248.458443842	0.970540796257	0.930393990976	79.7743800824	17751919	2801.7984534	31923	16912949	0.952739193999	17751919	353658	0.0199222405195	0.020327203966	2821.92747468	31919	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	75203004	28612316	1.61178721016	206408631	11.6273981985	17751919	4195328	579254748	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_io
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	BICG	OO	32	256	42895109	145666048	0.294475683174	1.13340860483	601140748	247.831667234	0.968092450132	0.927230542688	98.7286268473	17769885	3340.90909857	34491	16618458	0.935203463613	17769885	325035	0.0182913395331	0.0186321464501	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	5868.11580935	45058	1925812	797280	16968509	16968509	75274868	25659072	1.44396387484	211780990	11.9179718946	17769885	4195328	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	BICG	IO	48	384	77916699	145666048	0.534899518933	1.8397614414	1131526165	355.064216522	0.924646397193	0.595078904782	148.046768094	17822880	9400.0865529	27448	17095248	0.959174274865	17822880	356819	0.0200202773065	0.0204292770992	9568.14106207	27444	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	75486848	50293868	2.8218709883	512793007	28.7716130614	17822880	4195328	672561881	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_io
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	BICG	OO	48	384	47093407	145666048	0.323297073317	1.24433936569	741125484	303.771787818	0.791072364109	0.00896655983833	133.969366065	17815083	5574.26122286	27446	15937343	0.8945983019	17815083	135119	0.00758452823374	0.0076424929372	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	9756.80080877	27471	2237789	1630872	16180115	16180115	75455660	29262764	1.64258364668	262260795	14.7212783123	17815083	4195328	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	Btree	IO	24	192	244231	444467849	0.000549490813676	1	14842238	135.955412317	0.708101105819	0	8.94295408819	507779	262.400044114	2342	394	0.000775928110458	507779	8	1.57548854915e-05	1.57551337119e-05	122.241116751	562	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	2141116	291650	0.5743640442	5159	0.0101599317813	507779	110000	0	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_io
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	Btree	OO	24	192	172795	444467849	0.000388768277365	1	10268739	124.863039464	0.65032833054	0	14.6567464613	502450	300.544838292	2392	4207	0.00837297243507	502450	57	0.000113444123793	0.000113456994823	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	132.956333677	941	1642331	489403	4855	4855	2119800	291654	0.580463727734	7260	0.0144491989253	502450	110000	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_oo
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	Btree	IO	32	256	244231	444467849	0.000549490813676	1	14842238	135.955412317	0.531075829364	0	8.94295408819	507779	262.400044114	2342	394	0.000775928110458	507779	8	1.57548854915e-05	1.57551337119e-05	122.241116751	562	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	2141116	291650	0.5743640442	5159	0.0101599317813	507779	110000	0	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_io
POST_FAST64_LANE_D_INTERIM_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	FRESH_D4_TERMINAL	Btree	OO	32	256	172795	444467849	0.000388768277365	1	10268739	124.863039464	0.487746247905	0	14.6567464613	502450	300.544838292	2392	4207	0.00837297243507	502450	57	0.000113444123793	0.000113456994823	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	132.956333677	941	1642331	489403	4855	4855	2119800	291654	0.580463727734	7260	0.0144491989253	502450	110000	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_oo
