item	input_path	expected_sha256_or_commit	actual_sha256_or_commit	verification	role	evidence_class
accepted_framework_authority	hrl/decoupled-l1-fast64-v0	18a68dcccd795f1b6cda75504e9450d00c9cee02	18a68dcccd795f1b6cda75504e9450d00c9cee02	FROZEN_AUTHORITY_DECLARED_AND_GIT_OBJECT_REQUIRED	immutable completed FAST64 authority	ACCEPTED_FAST64_EVIDENCE
FAST12_membership	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST12_summary.tsv	exactly_12_unique_members	12	PASS_EXACT_12	primary aggregate membership	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_triplets.tsv	d4bd71c51419e0f2be4ab045285e087455a8976834934719810d77aefca2148a	d4bd71c51419e0f2be4ab045285e087455a8976834934719810d77aefca2148a	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_speedup.tsv	9c8909d5b870d8cc9638d20e4723579e41cc3f7b9e85bb5701107b7d4f3038c2	9c8909d5b870d8cc9638d20e4723579e41cc3f7b9e85bb5701107b7d4f3038c2	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_5_causal_analysis_v1/fast12_summary.csv	53302fbb20593d530e8d1b51c5f2cefba33687b93ef1b2fea627c41d070be1ca	53302fbb20593d530e8d1b51c5f2cefba33687b93ef1b2fea627c41d070be1ca	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_5_causal_analysis_v1/fast12_stalls.csv	410c9abeb28fc9483357281a06ae7fb2a85254488ebc37351b2c091c35cbff34	410c9abeb28fc9483357281a06ae7fb2a85254488ebc37351b2c091c35cbff34	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_5_causal_analysis_v1/fast12_io_oo.csv	853d2d99feb9166512420f2c52d636501adc23813bf9892a816847ad0df9aac5	853d2d99feb9166512420f2c52d636501adc23813bf9892a816847ad0df9aac5	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_5_causal_analysis_v1/fast12_traffic.csv	1847e75084d93479c11cf261ae57ccbd64592070ae80216fe3c7868b1c1bd30b	1847e75084d93479c11cf261ae57ccbd64592070ae80216fe3c7868b1c1bd30b	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_5_causal_analysis_v1/fast64_5_causal_classification.tsv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_logical_plot.tsv	fee2f86f1c769c4dae16af0a4bf723ed5fc568048a6719fe8843fb848d330f0e	fee2f86f1c769c4dae16af0a4bf723ed5fc568048a6719fe8843fb848d330f0e	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
