schema	classification	wave	workload	mode	attempt_uuid	runner_sha256	simulator	simulator_sha256	core_source_head	config	config_sha256	trace_list	trace_list_sha256	accepted_summary	accepted_summary_sha256	preexisting_metric_count	preexisting_exact_match	observer_sample_sm_cycles	physical_allocated_line_cycles	physical_full_sm_cycles	inflight_request_cycles	observer_live_records_terminal	average_physical_allocated_lines_per_sample	physical_full_sample_fraction	average_inflight_requests_per_sample	alloc_to_ready_count	alloc_to_ready_sum_cycles	alloc_to_ready_max_cycles	alloc_to_ready_average_cycles	pending_tag_evictions_observed	pending_tag_evictions_per_lower	io_pending_eviction_to_response_count	io_pending_eviction_to_response_average_cycles	io_pending_eviction_to_response_max_cycles	oo_deferred_eviction_to_final_reclaim_count	oo_deferred_eviction_to_final_reclaim_average_cycles	oo_deferred_eviction_to_final_reclaim_max_cycles	lower_created	pending_hits	tag_evictions	duplicate_after_eviction	no_free_physical_events	l2_misses	l2_reservation_fails	l2_accesses	global_reads	global_writes	oo_out_of_order_retires	oo_immediate_reclaims	oo_deferred_reclaims	oo_final_ref_reclaims	cycles	instructions	raw_run_directory	configured_physical_kib	configured_physical_lines	source_row_kind
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	IO	56ecca8f-a5f1-4608-8282-6563fc269dba	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	71	true	594749043	111183960644	551483580	35596756277	0	186.942647412	0.92725425369	59.8517251872	17647559	35614403836	20149	2018.09235124	16275837	0.922271289757	16275837	2066.87570016	20089	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	17647559	175106	17643463	124920	550706446	25216512	142805469	74785564	17647559	4195328	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	42351523	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_io	24	192	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	OO	f51a6b2e-4448-4f01-8e9d-3bce3d80b975	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	81dca2ba916aa5c8eac4a64b5f4cd2aa6619970be84568a5417809e6e770c92b	47	true	566449397	105570899785	523133906	41096548055	0	186.373046461	0.923531578938	72.5511374408	17639701	41114187756	20346	2330.77577426	16480123	0.934263171468	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	16908189	3597.84143411	32399	17639701	193374	17635605	153843	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	22035480	175304931	74754132	17639701	4195328	1891361	727416	16908189	16908189	37846112	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical24_oo	24	192	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	IO	98316de9-6f76-4073-9438-89a035e6ba68	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_IO.config	65f477f59f24dddfbd06848196425228e1c4493b1e65ed7e7239fd938a951a06	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	16ae4fd97fa3a69a9a20b42f4ee2e9ea6d5cfd86e0c573d64ea41d352df67e6b	71	true	623252067	154852238688	579869978	49719547280	0	248.458443842	0.930393990976	79.7743800824	17751919	49737299199	31923	2801.7984534	16912949	0.952739193999	16912949	2821.92747468	31919	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	17751919	89181	17747823	353658	579254748	28612316	206408631	75203004	17751919	4195328	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	45668204	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_io	32	256	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	OO	c24ef8cc-0695-4ede-87ba-278b8966047f	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_OO.config	d60177739b631e83dc6a6008425f47db53c49b1c409a54f1bedb261c837c4146	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	280eaa1ada1e0fa57c77071ae2fbc89ce5915444b0e46a760c2578e8d156804d	47	true	601140748	148981713819	557396062	59349800592	0	247.831667234	0.927230542688	98.7286268473	17769885	59367570477	34491	3340.90909857	16618458	0.935203463613	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	16968509	5868.11580935	45058	17769885	66861	17765789	325035	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	25659072	211780990	75274868	17769885	4195328	1925812	797280	16968509	16968509	42895109	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical32_oo	32	256	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	IO	17fa6734-2dd9-4525-bbde-63b0939c5651	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_IO.config	d70a7b0b9601058091b95e18cc8dcfdd0a8895f9438c87ed63f8e0f642396ec0	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	31a98cd4b5d1eee4e07a9a6f9e0e525e7b9d31e92065e5b900a7e3987c46b300	71	true	1131526165	401764451250	673347351	167518791742	0	355.064216522	0.595078904782	148.046768094	17822880	167536614622	27448	9400.0865529	17095248	0.959174274865	17095248	9568.14106207	27444	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	17822880	19130	17818784	356819	672561881	50293868	512793007	75486848	17822880	4195328	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	77916699	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_io	48	384	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	BICG	OO	38483dae-778a-4d15-96f7-d557c3232b7c	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_OO.config	361c9c98a1e5ef710c623f5229b3e94214270f64c1d39ba7af20937a603216fe	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	f3e4f6b9fe6550a090d8504afb41c095fc955aa8dd3514a44c5b8f9d3aa10f02	47	true	741125484	225133013272	6645346	99288111266	0	303.771787818	0.00896655983833	133.969366065	17815083	99305926349	27446	5574.26122286	15937343	0.8945983019	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	16180115	9756.80080877	27471	17815083	17568	17810987	135119	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	29262764	262260795	75455660	17815083	4195328	2237789	1630872	16180115	16180115	47093407	145666048	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_bicg_physical48_oo	48	384	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	IO	143709c2-819c-423e-a431-a1b6596d36b7	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	5d3e8594eaf22c65350ffb77958b5bc54cdaae86a9bd95e65b6e2893d0c09960	71	true	14842238	2017882587	0	132733453	0	135.955412317	0	8.94295408819	507779	133241232	2342	262.400044114	394	0.000775928110458	394	122.241116751	562	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	507779	735684	499587	8	0	291650	5159	2141116	507779	110000	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	244231	444467849	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_io	24	192	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	OO	42a201d6-6e26-4afa-8c65-337fc00a6e8c	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical24_oo.json	e07a90238e5cce80f9bf91495901f0c0a55a243004b1be9546e30d6c200499a2	47	true	10268739	1282185963	0	150506304	0	124.863039464	0	14.6567464613	502450	151008754	2392	300.544838292	4207	0.00837297243507	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	4855	132.956333677	941	502450	746257	494258	57	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	291654	7260	2119800	502450	110000	1642331	489403	4855	4855	172795	444467849	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical24_oo	24	192	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	IO	76d88800-0de2-4764-92e0-1969b2bc3170	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_IO.config	65f477f59f24dddfbd06848196425228e1c4493b1e65ed7e7239fd938a951a06	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	4e64f82feae9772bded0d2cf9b8bae97becac91e319a7415d872af6e1948b341	71	true	14842238	2017882587	0	132733453	0	135.955412317	0	8.94295408819	507779	133241232	2342	262.400044114	394	0.000775928110458	394	122.241116751	562	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	507779	735684	499587	8	0	291650	5159	2141116	507779	110000	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	244231	444467849	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_io	32	256	FRESH_D4_TERMINAL
POST_FAST64_OBSERVER_DIAGNOSTIC_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	D4	Btree	OO	889fdf05-4aeb-407d-8e15-0bd50d300275	43ad754a87191107fb00f2b9d3ffa1b9183521d38b8ed323aa190c78f138eb24	/tmp/dtc-post-fast64-observer95-runtime-d3b-wrapper/accel-sim.out	037d82c61ac90cab41cfdf98234a0889aee16839177a32de23965cb516758d05	2fcde3eb3fce1502cc0f910cad6f807e530018c5	/workspace/worktrees/accel-sim-post-fast64-observer/configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_OO.config	d60177739b631e83dc6a6008425f47db53c49b1c409a54f1bedb261c837c4146	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	/workspace/worktrees/accel-sim-post-fast64-observer/docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_oo.json	cbc93d1d6809d150d8f5d7b56c37da3b9302497b32ef2639f37e050c66127e9f	47	true	10268739	1282185963	0	150506304	0	124.863039464	0	14.6567464613	502450	151008754	2392	300.544838292	4207	0.00837297243507	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	NA_NOT_APPLICABLE	4855	132.956333677	941	502450	746257	494258	57	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	291654	7260	2119800	502450	110000	1642331	489403	4855	4855	172795	444467849	/workspace/post-fast64-observer-d4d5-v1.20260912T045713Z.3732696/d4_btree_physical32_oo	32	256	FRESH_D4_TERMINAL
