schema	classification	workload	mode	source_row_kind	lower_created	duplicate_after_eviction	duplicate_share_of_lower	lower_request_payload_inflation	duplicate_payload_bytes_128B_lower_request_only	payload_scope
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	2DConvolution	IO	ACCEPTED_LANE_C_IO	3375831	1425269	0.422197971403	0.730696588983	182434432	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	2DConvolution	OO	NEW_DIAGNOSTIC_RUN	3305954	1360972	0.411672999685	0.699735010401	174204416	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	ATAX	IO	ACCEPTED_LANE_C_IO	17821540	356940	0.020028572166	0.0204379144097	45688320	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	ATAX	OO	NEW_DIAGNOSTIC_RUN	17814804	191265	0.010736295499	0.0108528145227	24481920	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	BICG	IO	ACCEPTED_LANE_C_IO	17821394	279251	0.0156694251864	0.015918864645	35744128	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	BICG	OO	NEW_DIAGNOSTIC_RUN	17814913	125043	0.00701900705325	0.00706862175923	16005504	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	ACCEPTED_LANE_C_IO	507779	8	1.57548854915e-05	1.57551337119e-05	1024	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	D3B_EXACT_REUSE	502450	57	0.000113444123793	0.000113456994823	7296	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	DWT2D	IO	ACCEPTED_LANE_C_IO	232115	1520	0.00654847812507	0.0065916433574	194560	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	DWT2D	OO	NEW_DIAGNOSTIC_RUN	232015	1537	0.00662457168718	0.00666874929494	196736	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Gaussian	IO	ACCEPTED_LANE_C_IO	1422278	713979	0.501996796688	1.00801921223	91389312	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Gaussian	OO	NEW_DIAGNOSTIC_RUN	1435914	727497	0.50664385193	1.02693328929	93119616	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	GEMM	IO	ACCEPTED_LANE_C_IO	4256815	440128	0.103393734517	0.115316765561	56336384	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	GEMM	OO	NEW_DIAGNOSTIC_RUN	4113199	150351	0.0365533007277	0.0379401380018	19244928	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	GESUMMV	IO	ACCEPTED_LANE_C_IO	34595564	605076	0.0174899880227	0.0178013331259	77449728	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	GESUMMV	OO	NEW_DIAGNOSTIC_RUN	34598098	140107	0.00404955786876	0.00406602346608	17933696	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Hotspot1	IO	ACCEPTED_LANE_C_IO	351857	4567	0.0129797048233	0.0131503930433	584576	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Hotspot1	OO	NEW_DIAGNOSTIC_RUN	351837	4546	0.0129207559182	0.0130898871552	581888	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	LUD	IO	ACCEPTED_LANE_C_IO	517232	31436	0.060777368763	0.0647102899159	4023808	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	LUD	OO	NEW_DIAGNOSTIC_RUN	518472	25129	0.0484674196485	0.0509361640887	3216512	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	MRI-Q	IO	ACCEPTED_LANE_C_IO	15517	0	0	0	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	MRI-Q	OO	NEW_DIAGNOSTIC_RUN	15516	0	0	0	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	ACCEPTED_LANE_C_IO	2673	0	0	0	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
POST_FAST64_D5_IO_OO_COMPARISON_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	NEW_DIAGNOSTIC_RUN	2673	0	0	0	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_OR_DRAM_TRAFFIC
