schema	item	ref	commit_or_sha	role	disposition
POST_FAST64_D0_AUTHORITY_V1	frozen_fast64	hrl/decoupled-l1-fast64-v0	18a68dcccd795f1b6cda75504e9450d00c9cee02	immutable_accepted_authority	read_only
POST_FAST64_D0_AUTHORITY_V1	planning_authority	hrl/decoupled-l1-fast64-post-analysis-v0	2a31a08db0c2c7aa02e5b8c9edeb77bc7e0d8dba	post_fast64_planning	read_only
POST_FAST64_D0_AUTHORITY_V1	lane_a	hrl/post-fast64-paper-v0	c1774a452e244d431c215010b1039e9d3e074f2a	reviewed_input	read_only
POST_FAST64_D0_AUTHORITY_V1	lane_b	hrl/post-fast64-physical-causal-v0	757b8cbf2c536b04f8a6ef4db847af04f337378d	reviewed_input	read_only
POST_FAST64_D0_AUTHORITY_V1	lane_c	hrl/post-fast64-duplicate-miss-v0	18800873478576309b08b538974c3872fc2cb6df	reviewed_input	read_only
POST_FAST64_D0_AUTHORITY_V1	core95_parent	formal_core95	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	observer_parent	read_only
POST_FAST64_D0_AUTHORITY_V1	core658_parent	formal_core658	6587238c60214d99491f4048e28ce8a3458c1509	observer_parent	read_only
POST_FAST64_D0_AUTHORITY_V1	core95_d3b_observer	hrl/dtc-l1-post-fast64-observer95-v0	2fcde3eb3fce1502cc0f910cad6f807e530018c5	new_observer_only_source	separate_worktree
POST_FAST64_D0_AUTHORITY_V1	core658_d3b_observer	hrl/dtc-l1-post-fast64-observer658-v0	857671dde39b5f34ca03f2be973aae15ead5aca1	new_observer_only_source	separate_worktree
POST_FAST64_D0_AUTHORITY_V1	d3b_qualification	NN_and_Btree_IO_OO	4_off_on_pairs	occupancy_extension_gate	fresh_immutable_rows
POST_FAST64_D0_AUTHORITY_V1	d4_coverage	BICG_GESUMMV_Btree_x_24_32_48KiB_x_IO_OO	18_rows	physical_telemetry_wave	future_exploratory_rows
POST_FAST64_D0_AUTHORITY_V1	d5_coverage	FAST12_OO_primary_roster	12_rows	duplicate_extension_wave	future_exploratory_rows
