experiment_id	evidence_label	tier	owner	bundle_and_arms	hypotheses_discriminated	why_existing_evidence_is_insufficient	resource_class	mandatory_gate	required_observables	positive_branch	negative_branch	no_difference_branch	next_decision
E01	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 smoke: generic baseline versus finite PWC=32	H2,H5	B has one PWC-OFF smoke delta only; finite-PWC causality is unmeasured.	LOW	A terminal; B single-worker gate; no persistent swap; validated smoke config	PWC access/hit/miss; PTE; walks; TLB H/M; IPC; realized PWC geometry	Finite PWC shifts PTE/walk pressure consistently: retain H2 and advance to E11.	No expected pressure shift or adverse direction: weaken H2 and prioritize TLB/page controls.	Within declared noise: PWC sensitivity unresolved; claim no benefit.	Choose E02/E03 only after telemetry conservation passes.
E02	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 smoke: generic baseline versus finite PWC=512	H2,H5	No size response exists; OFF versus baseline cannot distinguish capacity from existence.	LOW	Same as E01; no concurrent B high-load worker	E01 observables plus realized PWC entries/associativity	Monotonic or saturating response from E01: capacity-sensitive PWC premise survives.	No capacity response despite E01 response: isolate implementation/path effect.	Within noise: PWC capacity is not first-order at this scope.	Advance E03 or replace PWC ladder with TLB brackets.
E03	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 smoke: generic baseline versus PWC=IDEAL	H2,H5	Finite settings cannot bound residual translation-side headroom.	LOW	Same as E01; IDEAL labeled diagnostic, not feasible hardware	E01 observables plus ideal-control realization	Large ideal-only headroom: conventional PWC has unresolved design-space value.	No ideal effect: de-prioritize decode PWC in sampled scope.	Finite and ideal indistinguishable: retain low-confidence null.	Gate E11 on reproducible, conserved ladder.
E04	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 smoke: realized 2MB page diagnostic versus generic 64KB	H1,H5	B page-size coverage has no discriminating decode diagnostic evidence.	LOW	Same as E01; verify geometry and trace/config compatibility	Realized page size; TLB H/M; PTE/walks; PWC; invalid mapping checks; IPC	2MB reduces translation pressure: page-size alternative becomes primary comparator.	No reduction or invalid realization: retain 64KB and document incompatibility/effect.	No material delta: no page-size dominance at smoke scope.	Advance only a realized valid control to E12.
E05	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 smoke: translation-disabled diagnostic control	H1,H5	Existing disabled-control coverage lacks a bounded upper-pressure observation.	LOW	Same as E01; validate control semantics and counter expectations	Control realization; translation request/walk/PTE counters; IPC; errors; conservation	Clear diagnostic separation: translation may matter; test its conventional explanations.	No separation with valid realization: de-prioritize translation as sampled bottleneck.	Ambiguous realization/null: repair validation before interpretation.	Use only as a bound; never as implementable performance.
E06	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 smoke: ideal-translation diagnostic control	H1,H5	Disabled semantics can differ from ideal path.	LOW	Same as E05; independently validate ideal realization	E05 observables plus ideal-path counters	Ideal effect differs from disabled: control semantics matter; retain both in E12.	No ideal effect: translation headroom unproven at smoke scope.	Both agree within bound: retain diagnostic upper bound only.	Proceed to E11-E14 only if E01-E06 conserve and realize.
E07	SPECULATIVE_DIAGNOSTIC	0	B	One calibrated representative decode trace-miner job with streaming peak-RSS measurement	H1,H6	B7 lacks sufficient job-class peak evidence for safe resumption.	LOW	A terminal; no persistent swap; B effective concurrency=1; low-resource gate	Max RSS/time-v; MemAvailable before/after; swap in/out; iowait; output integrity	Peak leaves derived reserve: decode mining admissible only under that gate.	Peak violates reserve or causes pressure: defer decode mining.	Inconclusive instrumentation: repeat only calibration.	Set documented decode job-class gate before E10.
E08	SPECULATIVE_DIAGNOSTIC	0	B	One calibrated representative prefill trace-miner job with streaming peak-RSS measurement	H1,H6	Prefill may not share decode memory cost.	LOW	Same as E07	Max RSS/time-v; MemAvailable before/after; swap in/out; iowait; output integrity	Peak leaves derived reserve: prefill mining admissible only under that gate.	Peak violates reserve or causes pressure: defer prefill mining.	Inconclusive instrumentation: repeat only calibration.	Set documented prefill job-class gate before E09.
E09	SPECULATIVE_DIAGNOSTIC	0	B	Prefill static mining: matched signature-stratified 16-kernel budget plus map/boundary audit	H1,H3,H6	B7 prefill is partial and 79.060% UNKNOWN lanes.	MEDIUM	E08 calibrated reserve; streaming parser; immutable traces; no stateful-ROI simulation	Kernel IDs; lane/byte mass; sectors/lines/pages; stride; reuse; Weight/KV/UNKNOWN; map/boundary version	Low UNKNOWN with stable mix/reuse: bounded prefill characterization and targeting audit survive.	High UNKNOWN or unstable sample: H3/H6 open; do not attribute opportunity to Weight.	No phase-relevant change: retain partial status.	Compare only to matched E10; expand neither without a new gate.
E10	SPECULATIVE_DIAGNOSTIC	0	B	Decode1 static mining: matched signature-stratified 16-kernel budget plus map/boundary audit	H1,H3,H6	B7 decode is partial and 90.964% UNKNOWN lanes.	MEDIUM	E07 calibrated reserve; streaming parser; immutable traces; no stateful-ROI simulation	E09 observables plus translation reuse-distance or explicit approximation label	Low UNKNOWN and contrast with E09: preserve H1/H3 for continuous validation.	High UNKNOWN or unstable sample: reject Weight-specific B inference.	No phase contrast: H1 loses priority versus conventional controls.	Use only bounded static evidence; never full trace mining.
E11	SPECULATIVE_DIAGNOSTIC	1	B	Continuous decode1 ROI: generic PWC=128, finite32, finite512, IDEAL; one stateful ROI per arm	H2,H5	Smoke cannot establish sustained occupancy, queueing, walk overlap, or stable direction.	HIGH	E01-E03 realized/conserved; A terminal; calibrated B resource gate; one worker	Continuous completion; realized config; PWC/TLB/PTW/PTE; MSHR/PWQ/walker; IPC/time; object totals	Consistent finite/ideal ladder: H2 survives and PWC is a primary comparator.	No ladder or contrary pressure relation: reject PWC-first explanation.	Within bounded uncertainty: do not rank PWC over candidate.	Select E13/E14 by observed bottleneck or stop PWC branch.
E12	SPECULATIVE_DIAGNOSTIC	1	B	Continuous decode1 ROI: valid 64KB/2MB diagnostic plus disabled and ideal controls	H1,H5	Smoke controls cannot establish continuous headroom or page-size response.	HIGH	E04-E06 valid/conserved; same B gate as E11	Continuous completion; realized page/control semantics; TLB/PTE/PTW/queues/stalls/IPC; correctness/provenance	Sustained headroom/page sensitivity: conventional alternative stays in every comparison.	No relevant pressure shift: conventional translation premise weakens.	Difference below sensitivity: unresolved non-ranking result.	Use result to choose E13 or end decode translation branch.
E13	SPECULATIVE_DIAGNOSTIC	1	B	Continuous decode1 ROI L2-TLB bracket: 128, 768, 3072 entries	H1,H5	B smoke has configurations but no continuous capacity curve.	HIGH	E11/E12 viable; geometry verified; one stateful ROI per arm	Realized entries; L1/L2 H/M; walks/PTE; MSHR/PWQ/walker; IPC/time	Capacity curve and pressure relief: L2-TLB is competing explanation.	No curve: reject capacity as first-order sampled lever.	Endpoint/noise ambiguity: do not pick intermediate optimum.	Run E14 only if residual walk pressure indicates it.
E14	SPECULATIVE_DIAGNOSTIC	1	B	Continuous decode1 ROI walker bracket: 1, 16, 32	H2,H5	B walker smoke cannot show sustained PTW concurrency or queue saturation.	HIGH	E11 viable; walker realization verified; one stateful ROI per arm	Walker active/idle; PWQ; MSHR; PTE/walk latency; IPC/time	Pressure and throughput respond: PTW supply is a conventional alternative.	No response: reject walker-count-first explanation.	Pressure shifts without throughput: mechanism-only observation.	Stop or select queue/MSHR follow-up only on predeclared queue signature.
E15	SPECULATIVE_DIAGNOSTIC	1	B	Continuous prefill ROI: generic PWC=128 versus IDEAL, identical continuous protocol	H1,H2,H5	Decode-only controls cannot establish phase divergence.	HIGH	E08/E09 valid; E11 protocol stable; one stateful ROI per arm	E11 observables plus matched phase metadata	Prefill response differs from decode: H1 survives for phase-targeted analysis.	Same lack of response: phase-specific PWC story weakens.	Both within bounds: no phase conclusion.	Consider narrow matched prefill bracket only if needed; no candidate inference.
E16	SPECULATIVE_DIAGNOSTIC	2	C	C-owned continuous decode: paper baseline versus sub-entry candidate	H4,H5	C4 bounded replay found no dynamic group reuse; static proxy cannot decide continuous behavior.	HIGH	C owner authorization; C terminal/resource/correctness gates; no B/C cross-access	Post-L1 sibling locality; group fill/eviction; L2 H/M; PTW/PWC/PTE; config; IPC/time	Reuse plus candidate-linked counter/outcome relation: H4 survives for C decode only.	No post-L1 sibling reuse or candidate relation: falsify H4 in C decode scope.	Within sensitivity: no dynamic sub-entry claim.	C owner alone decides whether another C phase is justified.
E17	SPECULATIVE_DIAGNOSTIC	2	C	C-owned continuous decode: sub-entry versus sub-entry+Weight-Segment	H3,H5,H6	C4 segment counters are bounded; C7 range coverage is not traffic attribution.	HIGH	E16 valid; C authorization; validated map/boundary/UNKNOWN accounting	Weight/KV/UNKNOWN; segment launch/hit/miss; avoided-path semantics; physical memory counters; IPC/time	Effect tied to classified Weight and physical counters: retain conditional segment hypothesis.	No effect or not tied to Weight: reject Weight-Segment targeting premise.	Telemetry shifts but no outcome: mechanism-only finding.	Require E18 phase contrast before generalization.
