logical_target	run_id	static_index	function_occurrence	address_context_artifact	address_context_sha256	schema	binding	prohibition
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	216	0	mref_216.ADDRESS_CONTEXT.json	b2ea751f035dbfa7de4fe20618a0ae52cc1a17760015f84625247a55e3185c06	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	240	0	mref_240.ADDRESS_CONTEXT.json	f277bf948e523bd873391f16d16b002c12c70fa35441b43edd216ded400fa117	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	252	0	mref_252.ADDRESS_CONTEXT.json	e202a32eac1fac86baf1d23958293c9aabdc807027466d3e25889cc826f3c310	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	272	0	mref_272.ADDRESS_CONTEXT.json	cd66805932fabfc350237f7c47d6ee2e4c5c5e473c80052e1fb16de4baefff52	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	277	0	mref_277.ADDRESS_CONTEXT.json	38fff82847f22ce424344f2595a67a912080bc75d71a3ef1cceee0f14717d8e5	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	279	0	mref_279.ADDRESS_CONTEXT.json	cfdc388fa4aa92785c676d8d05c0250761632ee36994cd943e97f7018e40c902	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	329	0	mref_329.ADDRESS_CONTEXT.json	b3dd4852770526ccbc91d21f40630cd478ff67b7b73dc006e4848cb90a5feb40	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	334	0	mref_334.ADDRESS_CONTEXT.json	09ef40ef997594e13709a8abab829e19c9a5bd564354ca9e14cf0855cf479409	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	346	0	mref_346.ADDRESS_CONTEXT.json	1d22d930d392f87e9b1fdd89544acb3edfb139459a2e3a073d9d1866cfb5f2b4	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	350	0	mref_350.ADDRESS_CONTEXT.json	558aaa6665294a4f45902820449a1e6bab406bef6e711eb08f04eefbd32327db	C16_ADDRESS_CONTEXT_V1	SAME_PROCESS_ONLY	No cross-process absolute-VA merge
