workload,variant,blocker,eligible_samples,blocked_cycles,blocked_events,blocking_ratio,blocked_density_events_per_sample,telemetry_note
FWT_11_19,B0-Banked,Tag/Set,11843904,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,Line-MSHR,11843904,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,DescriptorPool,11843904,NOT_EMITTED_BY_EPL2B0V1,119106,NOT_EMITTED_BY_EPL2B0V1,0.010056313,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,PerAddressCap,11843904,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,WAD,11843904,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,Payload,11843904,NOT_EMITTED_BY_EPL2B0V1,2162688,NOT_EMITTED_BY_EPL2B0V1,0.182599251,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,Bank,11843904,NOT_EMITTED_BY_EPL2B0V1,2162688,NOT_EMITTED_BY_EPL2B0V1,0.182599251,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,L1,11843904,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Banked,Lower path,11843904,NOT_EMITTED_BY_EPL2B0V1,119106,NOT_EMITTED_BY_EPL2B0V1,0.010056313,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,Tag/Set,10979136,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,Line-MSHR,10979136,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,DescriptorPool,10979136,NOT_EMITTED_BY_EPL2B0V1,119765,NOT_EMITTED_BY_EPL2B0V1,0.010908418,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,PerAddressCap,10979136,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,WAD,10979136,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
