workload	variant	status	cycles	instructions	wall_seconds	invariant_status	core_sha	framework_sha	current_progress
vectorAdd_4M	B0-Legacy	COMPLETE_VALID	73325	56000000	518.775	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
vectorAdd_4M	B0-Banked	COMPLETE_VALID	73672	56000000	521.709	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
scan	B0-Legacy	RUNNING	NOT_EMITTED_BY_EPL2B0V1	NOT_EMITTED_BY_EPL2B0V1	6279	RUNNING_NOT_YET_EVALUABLE	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	thread block = 4703,0,0
scan	B0-Banked	RUNNING	NOT_EMITTED_BY_EPL2B0V1	NOT_EMITTED_BY_EPL2B0V1	6279	RUNNING_NOT_YET_EVALUABLE	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	thread block = 4895,0,0
spmv	B0-Legacy	COMPLETE_VALID	23453	21131849	153.016	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
spmv	B0-Banked	COMPLETE_VALID	23719	21131849	164.009	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
convolutionSeparable	B0-Legacy	COMPLETE_VALID	290308	714547200	2500.396	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
convolutionSeparable	B0-Banked	COMPLETE_VALID	294711	714547200	2492.06	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
cfd_097k	B0-Legacy	COMPLETE_VALID	79555	143129372	290.195	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
cfd_097k	B0-Banked	COMPLETE_VALID	83349	143129372	306.377	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
dwt2d	B0-Legacy	COMPLETE_VALID	166961	148684429	389.852	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
dwt2d	B0-Banked	COMPLETE_VALID	166861	148684429	390.905	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
sad	B0-Legacy	COMPLETE_VALID	110653	157583646	361.104	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
sad	B0-Banked	COMPLETE_VALID	110428	157583646	385.611	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
sgemm	B0-Legacy	COMPLETE_VALID	353756	1658916864	1818.017	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
sgemm	B0-Banked	COMPLETE_VALID	355606	1658916864	1902.995	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
btree	B0-Legacy	COMPLETE_VALID	126259	444467849	666.376	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
btree	B0-Banked	COMPLETE_VALID	127582	444467849	683.85	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
3mm	B0-Legacy	RUNNING	NOT_EMITTED_BY_EPL2B0V1	NOT_EMITTED_BY_EPL2B0V1	6279	RUNNING_NOT_YET_EVALUABLE	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	thread block = 15,63,0
3mm	B0-Banked	RUNNING	NOT_EMITTED_BY_EPL2B0V1	NOT_EMITTED_BY_EPL2B0V1	6279	RUNNING_NOT_YET_EVALUABLE	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	thread block = 15,39,0
gemm	B0-Legacy	COMPLETE_VALID	556340	739246080	3512.319	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
gemm	B0-Banked	COMPLETE_VALID	671311	739246080	4283.924	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
FWT_7_21	B0-Legacy	COMPLETE_VALID	493466	791609344	2363.641	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
FWT_7_21	B0-Banked	COMPLETE_VALID	564982	791609344	2719.853	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
FWT_11_19	B0-Legacy	COMPLETE_VALID	171549	180944896	456.153	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
FWT_11_19	B0-Banked	COMPLETE_VALID	185061	180944896	512.63	PASS	200cb485c2fe27a7b0a867d2f173b63582fcaece	81b9dfbc0c567590fc35724cbec94ade1d3f6aa9	
