workload,logical_grants,total_attempts,reported_conflicts,extra_retries,excess_conflicts,interpretation
vectorAdd_4M,1000000,2000000,1000000,0,0,structural_one_cycle_staging_only
spmv,422630,845260,422630,0,0,structural_one_cycle_staging_only
convolutionSeparable,2740681,5481362,2740681,0,0,structural_one_cycle_staging_only
cfd_097k,1087708,2203696,1115988,28280,28280,structural_staging_plus_extra_retry_or_contention
dwt2d,847268,1694536,847268,0,0,structural_one_cycle_staging_only
sad,188772,377546,188774,2,2,structural_staging_plus_two_extra_retries
sgemm,1823693,3647386,1823693,0,0,structural_one_cycle_staging_only
btree,1372811,2745622,1372811,0,0,structural_one_cycle_staging_only
gemm,18479175,36958350,18479175,0,0,structural_one_cycle_staging_only
FWT_7_21,10223616,20447284,10223668,52,52,structural_staging_plus_52_extra_retries
FWT_11_19,2162688,4325376,2162688,0,0,structural_one_cycle_staging_only
