workload,variant,tag_reserved,line_mshr_avg,line_mshr_p95,line_mshr_max,descriptor_avg,descriptor_p95,descriptor_max,chain_depth_avg,chain_depth_p95,chain_depth_max,wad_avg,wad_p95,wad_max,resident_payload_avg,resident_payload_p95,resident_payload_max,fill_pending_payload
FWT_11_19,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,2,0,97,6,0,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,414,512,512,NOT_EMITTED_BY_EPL2B0V1
FWT_11_19,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,2,0,96,6,0,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,412,512,512,NOT_EMITTED_BY_EPL2B0V1
FWT_7_21,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,6,71,104,21,239,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,3,34,110,1000,1024,1024,NOT_EMITTED_BY_EPL2B0V1
FWT_7_21,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,7,73,102,25,255,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,4,48,115,998,1024,1024,NOT_EMITTED_BY_EPL2B0V1
btree,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,2,14,60,9,45,214,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,3,715,1003,1019,NOT_EMITTED_BY_EPL2B0V1
btree,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,2,15,69,9,48,253,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,3,717,1004,1020,NOT_EMITTED_BY_EPL2B0V1
cfd_097k,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,3,41,69,14,158,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,2,34,66,766,1024,1024,NOT_EMITTED_BY_EPL2B0V1
cfd_097k,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,3,37,68,14,139,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,2,29,65,756,1024,1024,NOT_EMITTED_BY_EPL2B0V1
convolutionSeparable,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,39,112,125,100,256,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,25,95,128,970,1024,1024,NOT_EMITTED_BY_EPL2B0V1
convolutionSeparable,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,42,112,126,109,256,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,27,93,128,969,1024,1024,NOT_EMITTED_BY_EPL2B0V1
dwt2d,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,4,27,60,15,104,232,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,7,44,128,967,1024,1024,NOT_EMITTED_BY_EPL2B0V1
dwt2d,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,4,28,59,15,104,233,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,8,48,128,967,1024,1024,NOT_EMITTED_BY_EPL2B0V1
gemm,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,0,1,76,0,2,230,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,263,384,384,NOT_EMITTED_BY_EPL2B0V1
gemm,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,0,1,76,0,3,231,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,266,384,384,NOT_EMITTED_BY_EPL2B0V1
sad,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,0,0,7,0,0,84,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,9,300,962,1024,NOT_EMITTED_BY_EPL2B0V1
sad,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,0,0,7,0,0,84,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,10,301,962,1024,NOT_EMITTED_BY_EPL2B0V1
sgemm,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,0,3,23,5,29,120,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,523,1024,1024,NOT_EMITTED_BY_EPL2B0V1
sgemm,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,0,3,22,5,30,120,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,521,1024,1024,NOT_EMITTED_BY_EPL2B0V1
spmv,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,41,88,97,140,256,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,572,1024,1024,NOT_EMITTED_BY_EPL2B0V1
spmv,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,41,87,99,142,256,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0,567,1024,1024,NOT_EMITTED_BY_EPL2B0V1
vectorAdd_4M,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,58,71,92,220,256,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,28,62,101,896,1024,1024,NOT_EMITTED_BY_EPL2B0V1
vectorAdd_4M,B0-Legacy,NOT_EMITTED_BY_EPL2B0V1,58,71,92,223,256,256,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,28,61,95,895,1024,1024,NOT_EMITTED_BY_EPL2B0V1
