workload	variant	raw_log_path	raw_log_bytes	raw_log_gz_path	raw_log_gz_bytes
FWT_11_19	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/FWT_11_19/raw.log	7274121	docs/ep_l2/target_baseline_results_c5c/B0-Banked/FWT_11_19/raw.log.gz	481459
FWT_11_19	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/FWT_11_19/raw.log	7236771	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/FWT_11_19/raw.log.gz	486915
FWT_7_21	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/FWT_7_21/raw.log	9277538	docs/ep_l2/target_baseline_results_c5c/B0-Banked/FWT_7_21/raw.log.gz	809014
FWT_7_21	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/FWT_7_21/raw.log	9234112	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/FWT_7_21/raw.log.gz	818827
btree	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/btree/raw.log	1602841	docs/ep_l2/target_baseline_results_c5c/B0-Banked/btree/raw.log.gz	177408
btree	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/btree/raw.log	1596877	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/btree/raw.log.gz	167486
cfd_097k	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/cfd_097k/raw.log	2510370	docs/ep_l2/target_baseline_results_c5c/B0-Banked/cfd_097k/raw.log.gz	151970
cfd_097k	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/cfd_097k/raw.log	2503643	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/cfd_097k/raw.log.gz	145541
convolutionSeparable	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/convolutionSeparable/raw.log	1896241	docs/ep_l2/target_baseline_results_c5c/B0-Banked/convolutionSeparable/raw.log.gz	205678
convolutionSeparable	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/convolutionSeparable/raw.log	1889736	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/convolutionSeparable/raw.log.gz	201841
dwt2d	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/dwt2d/raw.log	4730741	docs/ep_l2/target_baseline_results_c5c/B0-Banked/dwt2d/raw.log.gz	433048
dwt2d	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/dwt2d/raw.log	4707624	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/dwt2d/raw.log.gz	411587
gemm	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/gemm/raw.log	828165	docs/ep_l2/target_baseline_results_c5c/B0-Banked/gemm/raw.log.gz	70653
gemm	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/gemm/raw.log	822463	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/gemm/raw.log.gz	63722
sad	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/sad/raw.log	1665842	docs/ep_l2/target_baseline_results_c5c/B0-Banked/sad/raw.log.gz	113787
sad	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/sad/raw.log	1659906	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/sad/raw.log.gz	107066
sgemm	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/sgemm/raw.log	815483	docs/ep_l2/target_baseline_results_c5c/B0-Banked/sgemm/raw.log.gz	66618
sgemm	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/sgemm/raw.log	811715	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/sgemm/raw.log.gz	61053
spmv	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/spmv/raw.log	824599	docs/ep_l2/target_baseline_results_c5c/B0-Banked/spmv/raw.log.gz	88857
spmv	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/spmv/raw.log	821525	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/spmv/raw.log.gz	84299
vectorAdd_4M	B0-Banked	docs/ep_l2/target_baseline_results_c5c/B0-Banked/vectorAdd_4M/raw.log	1193713	docs/ep_l2/target_baseline_results_c5c/B0-Banked/vectorAdd_4M/raw.log.gz	119359
vectorAdd_4M	B0-Legacy	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/vectorAdd_4M/raw.log	1190679	docs/ep_l2/target_baseline_results_c5c/B0-Legacy/vectorAdd_4M/raw.log.gz	117396
