v1_phase	v1_decode_step	phase_class	phase	decode_step	assignment_method	launch_count	accumulated_gpu_duration_ns	gpu_time_share_all_launches	launch_count_share_all_launches
UNKNOWN		PREFILL	PREFILL		CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	572	21570799	0.1392770491095154	0.016495083196354933
PREFILL		PREFILL	PREFILL		CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	408	10658840	0.06882136271959455	0.011765723678518903
DECODE	1	DECODE	DECODE	1	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3959814	0.025567490983646305	0.030337111053435995
DECODE	28	DECODE	DECODE	28	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3852937	0.024877413941174317	0.030337111053435995
DECODE	22	DECODE	DECODE	22	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3852009	0.024871422086094046	0.030337111053435995
DECODE	26	DECODE	DECODE	26	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3851140	0.024865811178696684	0.030337111053435995
DECODE	24	DECODE	DECODE	24	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3849831	0.0248573593055285	0.030337111053435995
DECODE	20	DECODE	DECODE	20	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3849225	0.024853446520853237	0.030337111053435995
DECODE	18	DECODE	DECODE	18	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3848972	0.024851812965535017	0.030337111053435995
DECODE	25	DECODE	DECODE	25	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3848838	0.024850947762322995	0.030337111053435995
DECODE	23	DECODE	DECODE	23	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3848584	0.024849307750264386	0.030337111053435995
DECODE	6	DECODE	DECODE	6	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3847717	0.0248437097563478	0.030337111053435995
DECODE	16	DECODE	DECODE	16	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3847016	0.024839183581335654	0.030337111053435995
