family,fields,state,variant,workload
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 947987}",MEASURED,B0-Legacy,vectorAdd_4M
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 822987}",MEASURED,B0-Legacy,vectorAdd_4M
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 3176663, ""descriptor_pool_full_block"": 2176663}",MEASURED,B0-Legacy,vectorAdd_4M
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 2353676}",MEASURED,B0-Legacy,vectorAdd_4M
WAD,"{""wad_avg"": 28, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,vectorAdd_4M
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 895, ""resident_pending_sector_avg"": 58}",MEASURED,B0-Legacy,vectorAdd_4M
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,vectorAdd_4M
L1D,"{""l1d_accesses"": 1500000, ""l1d_miss_queue_full"": 1263518, ""l1d_misses"": 1500000, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Legacy,vectorAdd_4M
Lower,"{""dram_bandwidth_util"": ""0.795837193"", ""dram_issue_attempt"": 2089638, ""dram_successful_read_issues"": 1000000, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 2176661, ""missq_avg"": 42, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 112}",MEASURED,B0-Legacy,vectorAdd_4M
Temporal,"{""window_records"": 448}",MEASURED,B0-Legacy,vectorAdd_4M
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 947987}",MEASURED,B0-Banked,vectorAdd_4M
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 822987}",MEASURED,B0-Banked,vectorAdd_4M
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 3176663, ""descriptor_pool_full_block"": 2176663}",MEASURED,B0-Banked,vectorAdd_4M
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 2353676}",MEASURED,B0-Banked,vectorAdd_4M
WAD,"{""wad_avg"": 28, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,vectorAdd_4M
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 895, ""resident_pending_sector_avg"": 58}",MEASURED,B0-Banked,vectorAdd_4M
Bank,"{""bank0_logical_ops"": 248616, ""bank_logical_ops"": 1000000, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,vectorAdd_4M
L1D,"{""l1d_accesses"": 1500000, ""l1d_miss_queue_full"": 1263518, ""l1d_misses"": 1500000, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Banked,vectorAdd_4M
Lower,"{""dram_bandwidth_util"": ""0.795837193"", ""dram_issue_attempt"": 2089638, ""dram_successful_read_issues"": 1000000, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 2176661, ""missq_avg"": 42, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 112}",MEASURED,B0-Banked,vectorAdd_4M
Temporal,"{""window_records"": 448}",MEASURED,B0-Banked,vectorAdd_4M
Tag-way,"{""tag_way_alloc_block"": 222849, ""tag_way_alloc_need"": 24712819}",MEASURED,B0-Legacy,scan
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 20943070}",MEASURED,B0-Legacy,scan
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 83641439, ""descriptor_pool_full_block"": 60513316}",MEASURED,B0-Legacy,scan
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 62698369}",MEASURED,B0-Legacy,scan
WAD,"{""wad_avg"": 57, ""wad_full_events"": 2318944, ""wad_hazard_events"": 585398, ""wad_hazard_wait_cycles"": 585398}",MEASURED,B0-Legacy,scan
