test_id	workload_level	nvbit_tool	baseline_status	nvbit_status	exit_code	signal	trace_generated	trace_bytes	failure_stage	diagnostic_class	scientific_eligible
D1_A_BASELINE	PyTorch CUDA elementwise	NONE	PASS	NOT_APPLICABLE	0	NONE	FALSE	0	NORMAL_EXIT	BASELINE_PASS	FALSE
D1_B_OFFICIAL	PyTorch CUDA elementwise	OFFICIAL_INSTR_COUNT	PASS	FAIL	1	NONE_REPORTED	FALSE	0	ELEMENTWISE_PREPARE:NVDISASM_PATH	NVBIT_NVDISASM_PATH_PRECONDITION_FAIL	FALSE
D1_C_C16_TRACER	PyTorch CUDA elementwise	C16_MEMORY_TRACER	PASS	FAIL	1	NONE_REPORTED	FALSE	0	ELEMENTWISE_PREPARE:NVDISASM_PATH	NVBIT_NVDISASM_PATH_PRECONDITION_FAIL	FALSE
D1_B_OFFICIAL_PATH	PyTorch CUDA elementwise	OFFICIAL_INSTR_COUNT	PASS	FAIL	124	TIMEOUT_WRAPPER_NO_PROCESS_SIGNAL_REPORTED	FALSE	0	ELEMENTWISE_PREPARE:BEFORE_FIRST_KERNEL	NVBIT_PYTORCH_RUNTIME_OR_DRIVER_COMPATIBILITY_SUSPECTED	FALSE
D1_C_C16_TRACER_PATH	PyTorch CUDA elementwise	C16_MEMORY_TRACER	PASS	FAIL	124	TIMEOUT_WRAPPER_NO_PROCESS_SIGNAL_REPORTED	FALSE	0	ELEMENTWISE_PREPARE:BEFORE_FIRST_KERNEL	NVBIT_PYTORCH_RUNTIME_OR_DRIVER_COMPATIBILITY_SUSPECTED	FALSE
D2_A_BASELINE	PyTorch CUDA GEMM	NONE	PASS	NOT_APPLICABLE	0	NONE	FALSE	0	NORMAL_EXIT	BASELINE_PASS	FALSE
D2_B_OFFICIAL	PyTorch CUDA GEMM	OFFICIAL_INSTR_COUNT	PASS	FAIL	1	NONE_REPORTED	FALSE	0	GEMM_PREPARE:NVDISASM_PATH	NVBIT_NVDISASM_PATH_PRECONDITION_FAIL	FALSE
D2_C_C16_TRACER	PyTorch CUDA GEMM	C16_MEMORY_TRACER	PASS	FAIL	1	NONE_REPORTED	FALSE	0	GEMM_PREPARE:NVDISASM_PATH	NVBIT_NVDISASM_PATH_PRECONDITION_FAIL	FALSE
D2_B_OFFICIAL_PATH	PyTorch CUDA GEMM	OFFICIAL_INSTR_COUNT	PASS	FAIL	124	TIMEOUT_WRAPPER_NO_PROCESS_SIGNAL_REPORTED	FALSE	0	GEMM_PREPARE:BEFORE_FIRST_KERNEL	NVBIT_PYTORCH_RUNTIME_OR_DRIVER_COMPATIBILITY_SUSPECTED	FALSE
D2_C_C16_TRACER_PATH	PyTorch CUDA GEMM	C16_MEMORY_TRACER	PASS	FAIL	124	TIMEOUT_WRAPPER_NO_PROCESS_SIGNAL_REPORTED	FALSE	0	GEMM_PREPARE:BEFORE_FIRST_KERNEL	NVBIT_PYTORCH_RUNTIME_OR_DRIVER_COMPATIBILITY_SUSPECTED	FALSE
D3	PyTorch nn.Linear	NOT_STARTED	NOT_APPLICABLE	SKIPPED	NOT_APPLICABLE	NOT_APPLICABLE	FALSE	0	D1_D2_BASE_NVBIT_PATH_NOT_QUALIFIED	BOUNDED_DIAGNOSTIC_SKIP	FALSE
D4	Llama3.2-1B minimum forward	NOT_STARTED	NOT_APPLICABLE	SKIPPED	NOT_APPLICABLE	NOT_APPLICABLE	FALSE	0	D1_D2_BASE_NVBIT_PATH_NOT_QUALIFIED	BOUNDED_DIAGNOSTIC_SKIP	FALSE
D5	Qwen2.5-0.5B minimum forward	NOT_STARTED	NOT_APPLICABLE	SKIPPED	NOT_APPLICABLE	NOT_APPLICABLE	FALSE	0	D4_NOT_QUALIFIED_AND_TIME_BOUNDED	BOUNDED_DIAGNOSTIC_SKIP	FALSE
D6	Qwen2.5-7B-AWQ load only	NOT_STARTED	NOT_APPLICABLE	SKIPPED	NOT_APPLICABLE	NOT_APPLICABLE	FALSE	0	DO_NOT_JUMP_TO_MODEL_AFTER_OFFICIAL_NVBIT_BASE_FAIL	BOUNDED_DIAGNOSTIC_SKIP	FALSE
D7	Qwen2.5-7B-AWQ minimum forward	NOT_STARTED	NOT_APPLICABLE	SKIPPED	NOT_APPLICABLE	NOT_APPLICABLE	FALSE	0	D6_NOT_QUALIFIED	BOUNDED_DIAGNOSTIC_SKIP	FALSE
