test_id	artifact_kind	remote_logical_path	remote_file_count	remote_bytes	remote_bundle_sha256	local_destination	local_file_count	local_bytes	local_bundle_sha256	dual_endpoint_hash_closed	trace_generated	trace_bytes	scientific_eligible
D1_A_BASELINE	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D1_A_BASELINE	4	369	304ed1bfb9deae399815d574a3ef58ec026fe5e1873f7b3d67960c3c7191656c	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D1_A_BASELINE	4	369	304ed1bfb9deae399815d574a3ef58ec026fe5e1873f7b3d67960c3c7191656c	TRUE	FALSE	0	FALSE
D1_B_OFFICIAL	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D1_B_OFFICIAL	4	1944	fc0ad700efdd980bcae35b6f430c61388b76c7f43b2e4b9da83db5fd04855dc9	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D1_B_OFFICIAL	4	1944	fc0ad700efdd980bcae35b6f430c61388b76c7f43b2e4b9da83db5fd04855dc9	TRUE	FALSE	0	FALSE
D1_C_C16_TRACER	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D1_C_C16_TRACER	4	2839	6f6c5fb37a7c979572ee7f82c2adf872a988c61d0d5008ba18fc59a6b1185a6c	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D1_C_C16_TRACER	4	2839	6f6c5fb37a7c979572ee7f82c2adf872a988c61d0d5008ba18fc59a6b1185a6c	TRUE	FALSE	0	FALSE
D1_B_OFFICIAL_PATH	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D1_B_OFFICIAL_PATH	4	1845	3292d50840542850d8a6ec1a7fb05b7d400d5e1374a40a18729379a66277dd17	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D1_B_OFFICIAL_PATH	4	1845	3292d50840542850d8a6ec1a7fb05b7d400d5e1374a40a18729379a66277dd17	TRUE	FALSE	0	FALSE
D1_C_C16_TRACER_PATH	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D1_C_C16_TRACER_PATH	4	2715	899a23b9fb4159c5fd34fd178b7cb22c55729781485f0b7d7cf08d91bef71dc0	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D1_C_C16_TRACER_PATH	4	2715	899a23b9fb4159c5fd34fd178b7cb22c55729781485f0b7d7cf08d91bef71dc0	TRUE	FALSE	0	FALSE
D2_A_BASELINE	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D2_A_BASELINE	4	334	b69b55bf0458f8885843d0ab5321fad586aefcc3941e208a65176c61e497bb46	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D2_A_BASELINE	4	334	b69b55bf0458f8885843d0ab5321fad586aefcc3941e208a65176c61e497bb46	TRUE	FALSE	0	FALSE
D2_B_OFFICIAL	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D2_B_OFFICIAL	4	1930	a4d68505737c7c3b483f938601b0819020f6c24fc43e6b03f72662f3618033b6	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D2_B_OFFICIAL	4	1930	a4d68505737c7c3b483f938601b0819020f6c24fc43e6b03f72662f3618033b6	TRUE	FALSE	0	FALSE
D2_C_C16_TRACER	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D2_C_C16_TRACER	4	2825	fabe7c238c3db05f60b3546f60b2c612d911c1f734732fd5007b90b0dfc28dd4	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D2_C_C16_TRACER	4	2825	fabe7c238c3db05f60b3546f60b2c612d911c1f734732fd5007b90b0dfc28dd4	TRUE	FALSE	0	FALSE
D2_B_OFFICIAL_PATH	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D2_B_OFFICIAL_PATH	4	1831	f4a294a3981ce2ed41dfbfcc30ebb2bcf292df1ecc312dec68eb49751ecb3fd5	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D2_B_OFFICIAL_PATH	4	1831	f4a294a3981ce2ed41dfbfcc30ebb2bcf292df1ecc312dec68eb49751ecb3fd5	TRUE	FALSE	0	FALSE
D2_C_C16_TRACER_PATH	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z/D2_C_C16_TRACER_PATH	4	2701	81e2666de338189814f16508ffe3081c52f18de0c3c54c674d24f88fce908214	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z/D2_C_C16_TRACER_PATH	4	2701	81e2666de338189814f16508ffe3081c52f18de0c3c54c674d24f88fce908214	TRUE	FALSE	0	FALSE
ALL	compact_diagnostic_logs	/root/autodl-tmp/c16/compat_diag_20260913T051239Z	40	19333	78404b1b89ac9afde9d0976efe62b876166768c953b54af1af5ca5f809796f22	artifacts/c16_g_autodl/nvbit_compat_diag_20260913T051239Z	40	19333	78404b1b89ac9afde9d0976efe62b876166768c953b54af1af5ca5f809796f22	TRUE	FALSE	0	FALSE
