workload,status,wbuf_capacity,eligible_miss_admission_cycles,overall_blocking_rate,SET_ASSOC,MSHR_META,MISSQ_LOWER,WB_PATH,OTHER,SET_ASSOC_fraction_of_eligible,MSHR_META_fraction_of_eligible,MISSQ_LOWER_fraction_of_eligible,WB_PATH_fraction_of_eligible,OTHER_fraction_of_eligible
scan,COMPLETE_VALID,8,101818510,0.6928662185294207,222337,19,62317146,7925600,81504,0.002183659925881846,1.8660654138427286e-07,0.6120414254736197,0.07784046338922068,0.0008004831341570408
vectorAdd_4M,COMPLETE_VALID,8,3258898,0.5651886005637489,0,0,1758898,82994,0,0.0,0.0,0.5397217096085855,0.02546689095516337,0.0
convolutionSeparable,COMPLETE_VALID,8,7476991,0.3807896786287425,0,931416,1696993,218752,0,0.0,0.12457096711765468,0.226962022556935,0.029256688954152815,0.0
spmv,COMPLETE_VALID,8,696255,0.44411027568922307,0,21040,288174,0,0,0.0,0.030218813509418244,0.4138914621798048,0.0,0.0
FWT_7_21,COMPLETE_VALID,8,2591351,0.5530605464099615,0,0,1077737,355437,0,0.0,0.0,0.4158977305660252,0.13716281584393622,0.0
cfd_097k,COMPLETE_VALID,8,461853,0.02049136846572394,0,0,0,9464,0,0.0,0.0,0.0,0.02049136846572394,0.0
dwt2d,COMPLETE_VALID,8,1326137,0.07589034918715035,0,0,0,100641,0,0.0,0.0,0.0,0.07589034918715035,0.0
sad,COMPLETE_VALID,8,284444,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
btree,COMPLETE_VALID,8,483958,0.0013926828361138777,0,674,0,0,0,0.0,0.0013926828361138777,0.0,0.0,0.0
gemm,COMPLETE_VALID,8,162036,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BlackScholes,COMPLETE_VALID,8,62500,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
mergeSort,COMPLETE_VALID,8,6176,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
transpose,COMPLETE_VALID,8,65536,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
