candidate_id	suite	workload	algorithm	source_version	source_path	wrapper	input	input_hash	output_check	prior_pass_evidence	launch/work_amount	primary_domain	access_tags	op_mix	Base_pressure_tags	evidence_confidence	wall_time	cost_quartile	Paper10_duplicate?	eligibility	E1_E8_gate_summary	notes
E52-01	CUDA SDK	BlackScholes	Monte Carlo option pricing	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/BlackScholes/NO_ARGS/traces/kernelslist.g	NO_ARGS	5b22db0f6bd7897bf91d9554985c0e49afeae77af7f38b0f99ce4727d28fb298 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	1 launches; trace_tree_bytes=22319003	MONTE_CARLO_STATISTICAL	REGULAR_COALESCED;STREAMING_LOW_REUSE	read-only-ish	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	source-static	9-10s	COST_Q1	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	independent paths; arithmetic-heavy control; trace_tree_sha256=10164bacd6fb2cc51a89a3e1b4a0b74a301b7c1d5b33f5eb38f4d2c5b8ed47c4
E52-02	CUDA SDK	convolutionSeparable	separable 2-D convolution	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g	size=3072	ab2290810368438cabf35a3c0fcb9686473aaa2235607a6e2bc0347f651ff484 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	2 launches; trace_tree_bytes=6844895541	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	20-25m	COST_Q3	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	row/column neighborhood passes; trace_tree_sha256=d8bd1809c7a53a391d0c36afaed45a77ec828197ef9a7fa8383b627135d94f3d
E52-03	CUDA SDK	fastWalshTransform_11_19	Walsh-Hadamard transform	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g	logK=11,logD=19	a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	16 launches; trace_tree_bytes=415269567	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	3-4m	COST_Q1	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	multi-stage butterfly; trace_tree_sha256=8151bcf0b2b38f586949c2aa6082d2659835b4ffeef09b370398d18eda146e22
E52-04	CUDA SDK	fastWalshTransform_7_21	Walsh-Hadamard transform	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g	logK=7,logD=21	9dfd2639f6660bef2feac69405597380835d4d08f1e0bdb9dd9b2022ed1a0f26 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	19 launches; trace_tree_bytes=1785749388	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	29-59m	COST_Q3	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	larger parameter variant; trace_tree_sha256=477cbf6361e34b6bc947379f722c3561d1603e29abb89264a368db43c006bf3e
E52-05	CUDA SDK	scalarProd_8192	dot-product reduction	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scalarProd/__size_8192/traces/kernelslist.g	size=8192	d3f8b0c11d03181c5b64661a2d7cc6260a1e7f4308eebf4269db0edf1b85dad2 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	1 launches; trace_tree_bytes=1195831612	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	source-static	5-7m	COST_Q1	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	tree reduction; trace_tree_sha256=f0022ec308985ddbcfb375c4eb9a3b6b429eadec524b390eabfeb21a98508a8f
E52-06	CUDA SDK	scalarProd_13920	dot-product reduction	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scalarProd/__size_13920/traces/kernelslist.g	size=13920	59efe10ca05265f4871e0ad742738f9c621aa301b1dfa42aa3711e0069215560 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	1 launches; trace_tree_bytes=2038332010	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	source-static	11-17m	COST_Q2	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	tree reduction; trace_tree_sha256=a11eedeb9ba8953c40364eed078f60b218add14aa7ac3b6a261e8bba4502658b
E52-07	CUDA SDK	scan	prefix scan	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g	NO_ARGS	6e8572dff8fa6ff912fce3f834009d2e62ace23e3671d083bd901d42af6bcee8 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	33 launches; trace_tree_bytes=5329077632	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	store-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	source-static	1h47-3h59	COST_Q4	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	multi-level scan / temporary arrays; trace_tree_sha256=f63a5b17d0cb69194c50e4f98747acfe21e5351e6eaedef9f49a7ca277c95159
E52-08	CUDA SDK	sortingNetworks	sorting network	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/sortingNetworks/NO_ARGS/traces/kernelslist.g	NO_ARGS	534cfeeee79bd5f2550d4076b9f069b17f3f7164a8a6a31576defe1fdccee720 (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	5 launches; trace_tree_bytes=12105952	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_MED	source-static	6-7s	COST_Q1	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	compare-exchange stages; trace_tree_sha256=2076618b851ae3f8326bd24ad3dc862b8ead696c5ebded5692a17cd43a7184cd
E52-09	CUDA SDK	transpose	matrix transpose	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/transpose/dimX512_dimY512/traces/kernelslist.g	512x512	fdc84f940f44351f6a9ad04925f72abc236641f9486a955b0a3c3e758fba9adb (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	24 launches; trace_tree_bytes=707335590	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	source-static	3-4m	COST_Q1	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	coalesced-read / strided-write contrast; trace_tree_sha256=ec64b722453108cabc42b9ba69fc4373f85173120e4593b4472d24d3f5f4ec7f
E52-10	CUDA SDK	vectorAdd_4000000	vector addition	CUDA SDK 9.1	NVIDIA CUDA SDK source (9.1 trace provenance; local CUDA sample recovery required)	historical trace runner; exact trace anchor=/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g	size=4000000	755319919723f68f25aa7c64b9bdcaf5699b9aca38e7b664825e81d49f306e9a (frozen trace-list identity)	historical full-run completion/PASS evidence in authoritative roster; later M5 rebuild must retain suite self-check or reference-output comparison	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL	1 launches; trace_tree_bytes=103535866	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_LOW	source-static	3-6m	COST_Q1	NO	ELIGIBLE	E1=PASS_COMPUTE;E2=PASS_SUITE_APP_VERSION_TRACE_RUNNER;E3=PASS_FROZEN_INPUT_AND_TRACE_HASH;E4=PASS_PRIOR_FULL;E5=PASS_NONTRIVIAL;E6=PASS_NOT_PAPER10;E7=PASS_NO_CROWDING_AT_CANDIDATE_LEVEL;E8=PASS_PRIOR_GPGPUSIM_NATURAL_DRAIN	bandwidth control; trace_tree_sha256=d2485e316969ba470707deff7850d42f458e05711abc06238f4f3ad54b2ca159
