rank	workload	suite	algorithm	input	domain	access_tags	op_mix	Base_pressure	cost_quartile	score	unique_coverage_reason	provenance_status
1	BlackScholes	CUDA SDK	Monte Carlo option pricing	NO_ARGS	MONTE_CARLO_STATISTICAL	REGULAR_COALESCED;STREAMING_LOW_REUSE	read-only-ish	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	COST_Q1	91	compute-heavy Monte-Carlo negative control	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
2	convolutionSeparable	CUDA SDK	separable 2-D convolution	size=3072	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	COST_Q3	90	2-D high-spatial-reuse image stencil	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
3	fastWalshTransform_11_19	CUDA SDK	Walsh-Hadamard transform	logK=11,logD=19	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	COST_Q1	88	multi-stage transform/reordering without Q4 cost	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
4	scalarProd_13920	CUDA SDK	dot-product reduction	size=13920	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	COST_Q2	86	canonical reduction with a larger retained work amount	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
5	scan	CUDA SDK	prefix scan	NO_ARGS	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	store-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	COST_Q4	91	long multi-level scan and write-heavy reduction coverage	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
6	sortingNetworks	CUDA SDK	sorting network	NO_ARGS	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_MED	COST_Q1	84	compute/control sort network with distinct compare-exchange traffic	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
7	transpose	CUDA SDK	matrix transpose	512x512	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	COST_Q1	87	coalesced/strided read-write contrast	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
8	vectorAdd_6000000	CUDA SDK	vector addition	size=6000000	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_LOW	COST_Q1	82	large streaming read-write low-pressure control	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
9	cfd_097k	Rodinia	unstructured CFD	fvcorr_097K	OTHER_SOURCE_BACKED_COMPUTE	IRREGULAR_GATHER;SPARSE_INDIRECT;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	COST_Q1	93	unstructured mesh indirect-access high-pressure case	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
10	btree	Rodinia	B+ tree search	mil+command	SEARCH_SORT_SCAN_REDUCTION	POINTER_GRAPH_LIKE;IRREGULAR_GATHER	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	COST_Q2	92	pointer/index search case distinct from graph frontier	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
11	dwt2d	Rodinia	2-D wavelet transform	1024x1024	IMAGE_SIGNAL_PROCESSING	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	COST_UNKNOWN_OR_BOUNDED	86	image transform with stage-dependent locality	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
12	gaussian	Rodinia	Gaussian elimination	s=256	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	COST_Q3	85	pivoted dense update; non-GEMM dense control	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
13	hotspot1	Rodinia	thermal stencil	1024x1024,2iter	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	COST_UNKNOWN_OR_BOUNDED	89	iterative structured-grid reuse	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
14	bfs	Parboil	graph breadth-first search	NY graph	GRAPH_TRAVERSAL	POINTER_GRAPH_LIKE;IRREGULAR_GATHER;ATOMIC_UPDATE	atomic-present	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	COST_Q2	94	frontier graph traversal with exact historical full-run/input evidence	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
15	cutcp	Parboil	Coulombic potential	watbox-sl40	PARTICLE_PHYSICS_NBODY	REGULAR_COALESCED;IRREGULAR_GATHER;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	COST_Q4	91	particle-to-grid scientific mixed-access workload	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
16	histo	Parboil	image histogram	default img,20x4	IMAGE_SIGNAL_PROCESSING	ATOMIC_UPDATE;IRREGULAR_SCATTER;HIGH_TEMPORAL_REUSE	atomic-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	COST_Q4	94	application atomic-hotspot coverage	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
17	mri-q	Parboil	MRI-Q reconstruction	32x32x32	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	COST_Q2	88	scientific streaming reconstruction	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
18	sad	Parboil	sum of absolute differences	default	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_MED	COST_Q1	84	block-matching image workload; low-pressure control	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
19	stencil	Parboil	3-D structured stencil	128x128x32	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	COST_Q3	89	3-D structured-grid complement to 2-D stencils	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
20	3mm	PolyBench	three chained matrix multiplies	NO_ARGS	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	COST_Q4	90	multi-phase dense-reuse compute-heavy control	SOURCE_BACKED_TRACE_ANCHORED; selected E1-E8 pass; M5 source/binary/input re-freeze required before formal launch
