experiment_id	workload	mode	core_sha	framework_sha	config_hash	source_hash	ptx_hash	input_hash	parser_schema	state
M5E2-BlackScholes-BASE	BlackScholes	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-BlackScholes-IO	BlackScholes	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-BlackScholes-OO	BlackScholes	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-convolutionSeparable-BASE	convolutionSeparable	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-convolutionSeparable-IO	convolutionSeparable	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-convolutionSeparable-OO	convolutionSeparable	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-fastWalshTransform_11_19-BASE	fastWalshTransform_11_19	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-fastWalshTransform_11_19-IO	fastWalshTransform_11_19	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-fastWalshTransform_11_19-OO	fastWalshTransform_11_19	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-scalarProd_13920-BASE	scalarProd_13920	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
