candidate_id	suite	workload	eligibility	disposition_reason	domain	cost_quartile	prior_pass_evidence
E52-12	Accel-Sim ubench	atomic_add_bw	INELIGIBLE_E1_MICROBENCH	INELIGIBLE_E1_MICROBENCH	OTHER_SOURCE_BACKED_COMPUTE	COST_Q3	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=MICROBENCH
E52-13	Accel-Sim ubench	atomic_add_bw_conflict	INELIGIBLE_E1_MICROBENCH	INELIGIBLE_E1_MICROBENCH	OTHER_SOURCE_BACKED_COMPUTE	COST_Q4	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=MICROBENCH
E52-14	Accel-Sim ubench	l2_bw_32f	INELIGIBLE_E1_MICROBENCH	INELIGIBLE_E1_MICROBENCH	OTHER_SOURCE_BACKED_COMPUTE	COST_Q4	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=MICROBENCH
E52-15	Accel-Sim ubench	l2_bw_64f	INELIGIBLE_E1_MICROBENCH	INELIGIBLE_E1_MICROBENCH	OTHER_SOURCE_BACKED_COMPUTE	COST_Q4	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=MICROBENCH
E52-16	Accel-Sim ubench	mem_bw	INELIGIBLE_E1_MICROBENCH	INELIGIBLE_E1_MICROBENCH	OTHER_SOURCE_BACKED_COMPUTE	COST_Q3	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=MICROBENCH
E52-17	Accel-Sim ubench	mem_lat	INELIGIBLE_E1_MICROBENCH	INELIGIBLE_E1_MICROBENCH	OTHER_SOURCE_BACKED_COMPUTE	COST_Q1	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=MICROBENCH
E52-19	Rodinia	srad_trim	INELIGIBLE_E5_DERIVED_TRIMMED	INELIGIBLE_E5_DERIVED_TRIMMED	STENCIL_STRUCTURED_GRID	COST_Q2	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=DERIVED_TRIMMED
E52-25	Rodinia	nn	ELIGIBLE	portfolio has three stronger irregular/graph cases; 3-4s filelist input is a weaker E5 representative	SEARCH_SORT_SCAN_REDUCTION	COST_Q1	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-26	Rodinia	bfs	ELIGIBLE	conservative E4 choice: roster flags exact historical graph-input completion as NEEDS_REVIEW; Parboil BFS has full exact-input history	GRAPH_TRAVERSAL	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-33	Parboil	spmv	INELIGIBLE_E6_PAPER10_DUPLICATE	INELIGIBLE_E6_PAPER10_DUPLICATE	SPARSE_LINEAR_ALGEBRA	COST_Q1	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-35	PolyBench	atax	INELIGIBLE_E6_PAPER10_DUPLICATE	INELIGIBLE_E6_PAPER10_DUPLICATE	DENSE_LINEAR_ALGEBRA	COST_Q4	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-36	PolyBench	bicg	INELIGIBLE_E6_PAPER10_DUPLICATE	INELIGIBLE_E6_PAPER10_DUPLICATE	DENSE_LINEAR_ALGEBRA	COST_Q2	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
