comparison	roi	operator_class	baseline_id	candidate_id	baseline_cycles	candidate_cycles	cycle_delta_candidate_minus_baseline	vm_l1_tlb_misses_delta	vm_l2_tlb_misses_delta	vm_translation_walk_starts_delta	vm_pte_requests_delta	vm_pte_dram_responses_delta	vm_translation_requester_latency_cycles_total_delta	vm_weight_segment_hits_delta	vm_weight_segment_l2_suppressed_delta
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-LAT-P8	623662	621070	-2592	3	-639	-110	-110	-50	-268457	0	0
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-LAT-P8	6676148	6353885	-322263	-12932	-3926	-1314	-1323	-387	-12090367	5383145	5383145
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-LAT-P8	17652323	17117514	-534809	-32553	-16437	-10649	-10688	-4527	-41236578	16449855	16449855
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-LAT-P8	20573515	18976505	-1597010	-55959	-11626	-6130	-6130	-1574	-56874877	25375956	25375956
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	NORM	C12-PREFILL-F0-LNONE	C13-LAT-P8	1458060	1385585	-72475	-1108	-560	-16	-30	-30	-2643014	1048576	1048576
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-LAT-P8	15500080	15478240	-21840	-3220	-4573	-364	-364	-135	-4115946	0	0
C13-LAT-P8_vs_C12-PREFILL-F0-LNONE	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-LAT-P8	6450	6411	-39	0	0	0	0	0	0	0	0
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-LAT-P9	623662	619088	-4574	33	-658	-110	-110	-50	-270900	0	0
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-LAT-P9	6676148	6489785	-186363	-12946	-3940	-1314	-1323	-387	-7246015	5340011	5340011
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-LAT-P9	17652323	17181719	-470604	-32550	-16386	-10649	-10685	-4527	-24766781	16449732	16449732
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-LAT-P9	20573515	19724158	-849357	-55807	-11626	-6130	-6130	-1574	-32174622	25316562	25316562
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	NORM	C12-PREFILL-F0-LNONE	C13-LAT-P9	1458060	1414228	-43832	-1218	-560	-16	-30	-30	-1603607	1048576	1048576
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-LAT-P9	15500080	15471566	-28514	-3770	-4562	-364	-365	-135	-4238040	0	0
C13-LAT-P9_vs_C12-PREFILL-F0-LNONE	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-LAT-P9	6450	6415	-35	0	0	0	0	0	0	0	0
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	ATTENTION_CORE	C12-DECODE1-F0-LNONE	C13-LAT-D11	505269	504982	-287	-32	-2	0	0	0	5118	0	0
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	ATTENTION_PROJECTION	C12-DECODE1-F0-LNONE	C13-LAT-D11	3824007	3799568	-24439	651160	-3916	-1307	-1323	-359	-1534278	662687	662687
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	EMBEDDING_OUTPUT	C12-DECODE1-F0-LNONE	C13-LAT-D11	3781703	3745818	-35885	4191239	-8103	-8028	-8092	-2051	-1647802	4199271	4199271
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	FFN_MLP	C12-DECODE1-F0-LNONE	C13-LAT-D11	21665136	21722365	57229	3136886	-6389	-6130	-6130	-1571	-138168	3145728	3145728
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	NORM	C12-DECODE1-F0-LNONE	C13-LAT-D11	301294	284839	-16455	15349	-512	-16	-30	-30	-540639	16384	16384
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	OTHER_COMPUTE	C12-DECODE1-F0-LNONE	C13-LAT-D11	4481119	4476269	-4850	-595	-766	-40	-39	-19	-251141	0	0
C13-LAT-D11_vs_C12-DECODE1-F0-LNONE	decode1	UNRESOLVED	C12-DECODE1-F0-LNONE	C13-LAT-D11	6098	6093	-5	0	0	0	0	0	1	0	0
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-CAP-P320	623662	620280	-3382	6	-618	-110	-110	-50	-261449	0	0
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-CAP-P320	6676148	6673516	-2632	24	-50	-34	-34	-17	-39646	0	0
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-CAP-P320	17652323	17563013	-89310	-6	-6568	-2628	-2643	-2506	-2771954	0	0
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-CAP-P320	20573515	20579169	5654	175	75	0	0	0	51435	0	0
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	NORM	C12-PREFILL-F0-LNONE	C13-CAP-P320	1458060	1457685	-375	-286	0	0	0	0	-20714	0	0
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-CAP-P320	15500080	15477298	-22782	893	-4675	-364	-364	-135	-3909602	0	0
