row	pc	dynamic_insts	active_lanes	generated_accesses	tx32	tx64	tx128
P34_10_80_STREAM_CONTROL	0x530	896	28672	1792	1792	0	0
P34_10_80_STREAM_CONTROL	0x800	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x830	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x8b0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x960	896	28672	1792	1792	0	0
P34_10_80_STREAM_CONTROL	0x9a0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x9d0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0xa20	896	28672	1792	1792	0	0
P34_10_80_STREAM_CONTROL	0xa60	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0xa80	896	28672	3587	3587	0	0
P34_10_80_STREAM_CONTROL	0xa90	896	28672	3595	3595	0	0
P34_10_80_STREAM_CONTROL	0xab0	896	28672	1792	1792	0	0
P34_10_80_STREAM_CONTROL	0xae0	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xb70	896	28672	3597	3597	0	0
P34_10_80_STREAM_CONTROL	0xba0	896	28672	3645	3645	0	0
P34_10_80_STREAM_CONTROL	0xbc0	896	28672	3627	3627	0	0
P34_10_80_STREAM_CONTROL	0xc00	896	28672	3687	3687	0	0
P34_10_80_STREAM_CONTROL	0xc40	896	28672	3773	3773	0	0
P34_10_80_STREAM_CONTROL	0xc80	896	28672	3840	3840	0	0
P34_10_80_STREAM_CONTROL	0xcb0	896	28672	3842	3842	0	0
P34_10_80_STREAM_CONTROL	0xcf0	896	28672	3787	3787	0	0
P34_10_80_STREAM_CONTROL	0xd20	896	28672	3798	3798	0	0
P34_10_80_STREAM_CONTROL	0xf50	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0xf70	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0xf90	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0xfa0	896	28672	3590	3590	0	0
P34_10_80_STREAM_CONTROL	0xfb0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0xfc0	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xfd0	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1030	896	28672	3597	3597	0	0
P34_10_80_STREAM_CONTROL	0x1050	896	28672	3596	3596	0	0
P34_10_80_STREAM_CONTROL	0x1070	896	28672	3601	3601	0	0
P34_10_80_STREAM_CONTROL	0x12f0	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1330	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1380	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1390	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1710	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1930	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x1970	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x3090	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x30c0	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x30f0	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x3120	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x3150	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x3180	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x31a0	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x31b0	840	26880	3360	3360	0	0
P34_10_80_STREAM_CONTROL	0x80d0	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x80e0	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x8140	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x8150	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0x81b0	840	26880	840	840	0	0
P34_10_80_STREAM_CONTROL	0x81e0	840	26880	840	840	0	0
P34_10_80_STREAM_CONTROL	0x8210	5880	188160	5880	5880	0	0
P34_10_80_STREAM_CONTROL	0x8220	5880	188160	11760	11760	0	0
P34_10_80_STREAM_CONTROL	0x8230	5880	188160	11760	11760	0	0
P34_10_80_STREAM_CONTROL	0x8240	5880	188160	5880	5880	0	0
P34_10_80_STREAM_CONTROL	0x8350	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x8380	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x83b0	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x83e0	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x8410	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x8440	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x8460	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x8470	5880	188160	23520	23520	0	0
P34_10_80_STREAM_CONTROL	0x84a0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x84c0	6720	215040	13440	13440	0	0
P34_10_80_STREAM_CONTROL	0x84d0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x84e0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x84f0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x8500	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x8510	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x8520	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x8630	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8680	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x86d0	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8710	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8720	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8730	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8740	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8750	6720	215040	26880	26880	0	0
P34_10_80_STREAM_CONTROL	0x8950	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x8a60	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x8ab0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x9290	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0x92d0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xa810	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xc5f0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xc630	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xc670	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xe8e0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xe910	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xe950	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xe990	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xe9c0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xe9e0	6720	215040	6720	6720	0	0
P34_10_80_STREAM_CONTROL	0xea20	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xea30	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xea40	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xea50	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xf510	896	28672	896	896	0	0
P34_10_80_STREAM_CONTROL	0xf560	896	28672	1792	1792	0	0
P34_10_80_STREAM_CONTROL	0xffa0	896	7168	896	896	0	0
P34_10_80_STREAM_CONTROL	0xffb0	896	7168	896	896	0	0
P34_10_80_STREAM_CONTROL	0x100e0	896	7168	896	896	0	0
P34_10_80_STREAM_CONTROL	0x10100	896	7168	896	896	0	0
P34_10_80_STREAM_CONTROL	0x10110	896	7168	896	896	0	0
P34_10_80_STREAM_CONTROL	0x10120	896	7168	896	896	0	0
P34_10_80_STREAM_CONTROL	0x101d0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x10200	896	28672	3584	3584	0	0
