point_id	pattern	ratio_id	target_ratio	allocated_bytes	actual_ratio	mode	planned_status	cold_runs	repeat_runs	measured_run_cap_seconds	host_headroom_required_bytes
P1_R0_M0	P1	R0	0.75	12878610432	0.75	M0	PLANNED	1	1	180	8589934592
P1_R0_M1	P1	R0	0.75	12878610432	0.75	M1	PLANNED	1	1	180	8589934592
P1_R1_M0	P1	R1	0.95	16312905728	0.9499999522929897	M0	PLANNED	1	1	180	8589934592
P1_R1_M1	P1	R1	0.95	16312905728	0.9499999522929897	M1	PLANNED	1	1	180	8589934592
P1_R2_M0	P1	R2	1.1	18888626176	1.0999998568789693	M0	PLANNED	1	1	180	8589934592
P1_R2_M1	P1	R2	1.1	18888626176	1.0999998568789693	M1	NOT_APPLICABLE_OVERSUBSCRIBED	1	1	180	8589934592
P1_R3_M0	P1	R3	1.3	21474836480	1.250610649731314	M0	PLANNED	1	1	180	8589934592
P1_R3_M1	P1	R3	1.3	21474836480	1.250610649731314	M1	NOT_APPLICABLE_OVERSUBSCRIBED	1	1	180	8589934592
P2_R0_M0	P2	R0	0.75	12878610432	0.75	M0	PLANNED	1	1	180	8589934592
P2_R0_M1	P2	R0	0.75	12878610432	0.75	M1	PLANNED	1	1	180	8589934592
P2_R1_M0	P2	R1	0.95	16312905728	0.9499999522929897	M0	PLANNED	1	1	180	8589934592
P2_R1_M1	P2	R1	0.95	16312905728	0.9499999522929897	M1	PLANNED	1	1	180	8589934592
P2_R2_M0	P2	R2	1.1	18888626176	1.0999998568789693	M0	PLANNED	1	1	180	8589934592
P2_R2_M1	P2	R2	1.1	18888626176	1.0999998568789693	M1	NOT_APPLICABLE_OVERSUBSCRIBED	1	1	180	8589934592
P2_R3_M0	P2	R3	1.3	21474836480	1.250610649731314	M0	PLANNED	1	1	180	8589934592
P2_R3_M1	P2	R3	1.3	21474836480	1.250610649731314	M1	NOT_APPLICABLE_OVERSUBSCRIBED	1	1	180	8589934592
P3_R0_M0	P3	R0	0.75	12878610432	0.75	M0	PLANNED	1	1	180	8589934592
P3_R0_M1	P3	R0	0.75	12878610432	0.75	M1	PLANNED	1	1	180	8589934592
P3_R1_M0	P3	R1	0.95	16312905728	0.9499999522929897	M0	PLANNED	1	1	180	8589934592
P3_R1_M1	P3	R1	0.95	16312905728	0.9499999522929897	M1	PLANNED	1	1	180	8589934592
P3_R2_M0	P3	R2	1.1	18888626176	1.0999998568789693	M0	PLANNED	1	1	180	8589934592
P3_R2_M1	P3	R2	1.1	18888626176	1.0999998568789693	M1	NOT_APPLICABLE_OVERSUBSCRIBED	1	1	180	8589934592
P3_R3_M0	P3	R3	1.3	21474836480	1.250610649731314	M0	PLANNED	1	1	180	8589934592
P3_R3_M1	P3	R3	1.3	21474836480	1.250610649731314	M1	NOT_APPLICABLE_OVERSUBSCRIBED	1	1	180	8589934592
