deployment_id	compared_class	known_dimensions	novel_dimensions	uncertainty	audit_window_evidence	decision	reason	proposed_next_scope	expected_cost	requires_new_authorization
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	STATIC_HEADER_VERIFIED	immutable revision;exact storage offsets;standard-KV static formula	all runtime behavior	no native capture;sampler not qualified	NA	STATIC_ONLY	static evidence is valid but neither B nor C admits dynamic upgrade	NA	NA	true
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	STATIC_HEADER_VERIFIED	immutable revision;exact storage offsets;standard-KV static formula	all runtime behavior	no native capture;sampler not qualified	NA	STATIC_ONLY	static evidence is valid but neither B nor C admits dynamic upgrade	NA	NA	true
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	STATIC_HEADER_VERIFIED_RAW_AWQ_PAIR	immutable revision;exact packed-I32 and F16 metadata storage;standard-KV static formula	all runtime behavior	quantized storage pair is not a causal performance comparison	NA	STATIC_ONLY	no comparable native deployment or qualified sampling evidence	NA	NA	true
3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	CONFIG_ONLY	immutable revision;static config identity	storage header and all runtime behavior	no verified Safetensors header;no native capture	NA	INCONCLUSIVE	configuration identity alone cannot support storage or dynamic classification	NA	NA	true
d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	CONFIG_ONLY_MOE	immutable revision;MoE config;standard-KV static formula	storage header and all runtime behavior	no verified Safetensors header;no native capture	NA	NEEDS_T2_AUDIT	future runtime consideration first needs new authorization and complete static closure	NA	NA	true
b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	CONFIG_ONLY_MLA	immutable revision;MLA/compressed representation	standard-KV capacity and all runtime behavior	adapter explicitly unsupported;no native capture	NA	INCONCLUSIVE	unsupported representation cannot be generalized from standard-KV formulas	NA	NA	true
5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	CONFIG_ONLY_MOE	immutable revision;static config identity	storage header;complete KV dimensions;all runtime behavior	insufficient static dtype/head evidence;no native capture	NA	INCONCLUSIVE	missing static fields prevent even a complete formula curve	NA	NA	true
c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	CONFIG_ONLY	immutable revision;static config identity	storage header;complete KV dimensions;all runtime behavior	insufficient static dtype/head evidence;no native capture	NA	INCONCLUSIVE	missing static fields prevent even a complete formula curve	NA	NA	true
33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	CONFIG_ONLY	immutable revision;standard-KV static formula	storage header and all runtime behavior	no verified Safetensors header;no native capture	NA	STATIC_ONLY	formula is static only and does not authorize a dynamic claim	NA	NA	true
e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	CONFIG_ONLY	immutable revision;standard-KV static formula	storage header and all runtime behavior	no verified Safetensors header;no native capture	NA	STATIC_ONLY	formula is static only and does not authorize a dynamic claim	NA	NA	true
