stage_id	owner	execution_status	validation_status	basis	limitation_or_failure
C15-0.1	ALL	COMPLETE	PASS	all lanes published fixed planning-SHA setup evidence	NA
C15-0.2	A	COMPLETE	PASS	A bootstrap inventory and bounded reader receipt	NO_LOCAL_MODEL_CACHE
C15-0.3	B	COMPLETE	PASS	B capability probe	NO_VISIBLE_GPU_OR_NATIVE_BACKEND
C15-0.4	C	COMPLETE	PASS	C frozen historical evidence preparation	HISTORICAL_ONLY
C15-1.1	A	COMPLETE	PASS	frozen selection plan and ten revision-bound configs	TWO_PLANNED_IDENTITIES_UNAVAILABLE
C15-1.2	A	COMPLETE	PASS	bounded immutable metadata/header reader tests	SIX_SOURCE_PATHS_BOUNDED_OR_UNAVAILABLE
C15-1.3	A	COMPLETE	INCONCLUSIVE	three complete header catalogs	SEVEN_CONFIG_ONLY
C15-1.4	A	COMPLETE	PASS	seven standard-KV static curves and explicit unsupported adapter	MLA_UNSUPPORTED;TWO_INSUFFICIENT_CONFIGS
C15-1.5	A	COMPLETE	INCONCLUSIVE	static footprint registry	NO_RUNTIME_ADDRESS_OR_TLB_EVIDENCE
C15-1.6	A	COMPLETE	PASS	A static manifest validation	STATIC_COVERAGE_CAPABILITY_LIMITED
C15-2.1	B	CAPABILITY_LIMITED	NOT_APPLICABLE	B capability matrix	NO_AUTHORIZED_VISIBLE_GPU_OR_NATIVE_BACKEND
C15-2.2	B	CAPABILITY_LIMITED	NOT_EXECUTED	B capability matrix	NO_REAL_DEPLOYMENT_CANARY
C15-2.3	B	CAPABILITY_LIMITED	NOT_EXECUTED	B capability matrix	NO_NATIVE_REPETITIONS
C15-2.4	B	COMPLETE	PASS	trace-header-only kernel catalog	NO_NATIVE_CAPTURE
C15-2.5	B	CAPABILITY_LIMITED	NOT_EXECUTED	B capability matrix	NO_OBSERVABLE_REAL_DEPLOYMENT
C15-2.6	B	CAPABILITY_LIMITED	NOT_EXECUTED	B capability matrix	ZERO_REAL_DEPLOYMENTS_AND_SCENARIOS
C15-2.7	B	COMPLETE	PASS	B publish manifest	NATIVE_WORK_NOT_AVAILABLE
C15-3.1	C	COMPLETE	PASS	frozen historical corpus validation	HISTORICAL_ONLY
C15-3.2	C	COMPLETE	INCONCLUSIVE	cheap selector evaluation	SELECTOR_ERROR_HIGH
C15-3.3	C	COMPLETE	PASS	pre-registered protocol audit	NO_NEW_EXECUTION
C15-3.4	B	CAPABILITY_LIMITED	NOT_EXECUTED	B T2 plan	SELECTOR_OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION
C15-3.5	B	CAPABILITY_LIMITED	NOT_EXECUTED	B canary status	NO_ACTUAL_TRACER_CAPTURE
C15-3.6	B	CAPABILITY_LIMITED	NOT_EXECUTED	B T2 status	ZERO_WINDOWS_BYTES_AND_GPU_SECONDS
C15-3.7	C	COMPLETE	CAPABILITY_LIMITED	B manifest consumed by C	NO_COMMITTED_NATIVE_B_EVIDENCE
C15-3.8	C	COMPLETE	INCONCLUSIVE	cross-model screening	NO_DYNAMIC_CROSS_MODEL_DATA
C15-4.1	C	COMPLETE	PASS	C12 historical validation	HISTORICAL_ONLY
C15-4.2	C	COMPLETE	INCONCLUSIVE	retrospective validation	SELECTOR_ERROR_HIGH
C15-4.3	C	COMPLETE	INCONCLUSIVE	retrospective validation	LIMITED_HISTORICAL_SIGN_AGREEMENT
C15-4.4	C	COMPLETE	INCONCLUSIVE	context/confound audit	C14_CONFOUNDED
C15-4.5	C	COMPLETE	FAIL	qualification result	SAMPLER_NOT_QUALIFIED
C15-4.6	C	COMPLETE	PASS	C cost ledger	HISTORICAL_ONLY
C15-4.7	C	COMPLETE	CAPABILITY_LIMITED	C publish manifest	NO_NEW_GPU_SIM_OR_TRACE
C15-5.1	A	COMPLETE	PASS	fixed-commit B/C manifest and payload hash validation	NO_DYNAMIC_METRIC_IMPORTED
C15-5.2	A	COMPLETE	INCONCLUSIVE	static plus hash-bound capability/historical synthesis	NO_NATIVE_OR_QUALIFIED_DYNAMIC_EVIDENCE
C15-5.3	C	COMPLETE	NOT_APPLICABLE	no eligible upgrade was authorized	SAMPLER_NOT_QUALIFIED;NO_NATIVE_CAPTURE
C15-5.4	A	COMPLETE	INCONCLUSIVE	closeout report and explicit upgrade decisions	NO_UPGRADE_AUTHORIZED
