relative_path	size_bytes	receipt_sha256	runtime_subset
.gitattributes	1519	11ad7efa24975ee4b0c3c3a38ed18737f0658a5f75a0a96787b576a78a023361	YES
README.md	8826	503c4b4e37ae9c4dc39633bc3252864a963028dd00a1fa5bf0172bdaf2ecd62f	YES
config.json	828	272998dd7ba4846dcc682f0b5a46144f4bcd9dde8e94d2f17bd8e5cf2f23d6ce	YES
generation_config.json	115	9d849645be2b0eb25d34fda35037c6236c78329837856b4b22f2f5b61e77c0e5	YES
model-00001-of-00003.safetensors	4997744872	61874210ca7c360f43f8c622cecc12441083d40190eae3b56bc9d6e1c0a30c1e	YES
model-00002-of-00003.safetensors	4997235176	c523a43b8a17269d5fab33395048a83633f4d1d89c1958570cea738e2bbe80c9	YES
model-00003-of-00003.safetensors	3843741912	97ae01e3519c52e63a018bca96ab17a89c4cd5cab1c6d742efed0fa5c0e2bb17	YES
model.safetensors.index.json	287214	0e2e1e0d8d357ac7af817cff28410c3dbad398f060c517a433e4076b2aae5579	YES
special_tokens_map.json	437	43ffdefa4e501eebdaaba8f34999ac1b5507dc836fab4a1d1529466de35101e0	YES
tokenizer.json	3565064	d1e645ebd850d79567e531a3c103ac575d8e9cf45fa941420afc584b293438ea	YES
tokenizer_config.json	6123	67ac3cdae4e25e84d5d0f4faadb961dd36341cf04e02c7be90a8fd8e697617eb	YES
