workload,variant,tag_way_alloc_need,tag_way_alloc_block,tag_set_all_reserved_block,line_mshr_need,line_mshr_avg,line_mshr_p95,line_mshr_max,descriptor_need,descriptor_avg,descriptor_p95,descriptor_max,chain_depth_avg,chain_depth_p95,chain_depth_max,wad_avg,wad_p95,wad_max,resident_payload_avg,resident_payload_p95,resident_payload_max,resident_pending_sector_avg,bypass_pending_avg,bypass_ready_avg
vectorAdd_4M,B0-Legacy,947987,0,0,822987,58,71,92,3176663,223,256,256,3,4,4,28,61,95,895,1024,1024,58,0,0
vectorAdd_4M,B0-Banked,947987,0,0,822987,58,71,92,3176663,223,256,256,3,4,4,28,61,95,895,1024,1024,58,0,0
scan,B0-Legacy,24712819,222849,222849,20943070,60,82,113,83641439,207,256,256,3,4,32,57,108,128,1019,1024,1024,60,0,0
scan,B0-Banked,24712819,222849,222849,20943070,60,82,113,83641439,207,256,256,3,4,32,57,108,128,1019,1024,1024,60,0,0
spmv,B0-Legacy,179912,0,0,184141,41,87,99,755597,142,256,256,3,4,32,0,0,0,567,1024,1024,41,0,0
spmv,B0-Banked,179912,0,0,184141,41,87,99,755597,142,256,256,3,4,32,0,0,0,567,1024,1024,41,0,0
convolutionSeparable,B0-Legacy,2012678,0,0,1958245,42,112,126,5865143,109,256,256,2,4,8,27,93,128,969,1024,1024,42,0,0
convolutionSeparable,B0-Banked,2012678,0,0,1958245,42,112,126,5865143,109,256,256,2,4,8,27,93,128,969,1024,1024,42,0,0
cfd_097k,B0-Legacy,113091,0,0,53418,3,37,68,212610,14,139,256,3,4,5,2,29,65,756,1024,1024,3,0,0
cfd_097k,B0-Banked,113103,0,0,53454,3,38,64,212597,14,143,251,3,4,4,2,29,66,762,1024,1024,3,0,0
dwt2d,B0-Legacy,306102,0,0,111818,4,28,59,446140,15,104,233,3,4,9,8,48,128,967,1024,1024,4,0,0
dwt2d,B0-Banked,306102,0,0,111818,4,28,59,446140,15,104,233,3,4,9,8,48,128,967,1024,1024,4,0,0
sad,B0-Legacy,69907,0,0,848,0,0,7,6402,0,0,84,5,16,16,0,0,10,301,962,1024,0,0,0
sad,B0-Banked,69907,0,0,848,0,0,7,6402,0,0,84,5,16,16,0,0,10,301,962,1024,0,0,0
sgemm,B0-Legacy,98272,0,0,116218,0,3,22,1162247,5,30,120,6,16,32,0,0,0,521,1024,1024,0,0,0
sgemm,B0-Banked,98272,0,0,116218,0,3,22,1162247,5,30,120,6,16,32,0,0,0,521,1024,1024,0,0,0
btree,B0-Legacy,135047,0,0,139249,2,15,69,477174,9,48,253,3,4,32,0,0,3,717,1004,1020,2,0,0
btree,B0-Banked,135047,0,0,139249,2,15,69,477174,9,48,253,3,4,32,0,0,3,717,1004,1020,2,0,0
3mm,B0-Legacy,57344,0,0,106501,0,1,76,333799,0,1,248,2,8,20,0,0,0,595,896,896,0,0,0
3mm,B0-Banked,57344,0,0,106501,0,1,76,333799,0,1,248,2,8,20,0,0,0,595,896,896,0,0,0
gemm,B0-Legacy,24576,0,0,49152,0,1,76,162036,0,3,231,2,8,20,0,0,0,266,384,384,0,0,0
gemm,B0-Banked,24576,0,0,49152,0,1,76,162036,0,3,231,2,8,20,0,0,0,266,384,384,0,0,0
FWT_7_21,B0-Legacy,594069,0,0,596844,7,73,102,2408066,25,255,256,3,4,4,4,48,115,998,1024,1024,7,0,0
FWT_7_21,B0-Banked,594069,0,0,596844,7,73,102,2408066,25,255,256,3,4,4,4,48,115,998,1024,1024,7,0,0
FWT_11_19,B0-Legacy,61126,0,0,61126,2,0,96,250837,6,0,256,3,4,4,0,0,0,412,512,512,2,0,0
FWT_11_19,B0-Banked,61126,0,0,61126,2,0,96,250837,6,0,256,3,4,4,0,0,0,412,512,512,2,0,0
