workload,legacy_cycles,banked_cycles,banked_speedup,legacy_instructions,legacy_wall_seconds,legacy_invariants_terminal_clean,legacy_invariants_payload_consistent,legacy_l1d_accesses,legacy_l1d_misses,legacy_l1d_line_alloc_fail,legacy_l1d_miss_queue_full,legacy_l1d_mshr_entry_fail,legacy_l1d_mshr_merge_fail,legacy_l1d_mshr_rw_pending,legacy_l1d_bank_latency_queue_conflict,legacy_tag_way_alloc_need,legacy_tag_way_alloc_block,legacy_tag_set_all_reserved_block,legacy_line_mshr_need,legacy_line_mshr_avg,legacy_line_mshr_p95,legacy_line_mshr_max,legacy_line_mshr_full_block,legacy_descriptor_need,legacy_descriptor_avg,legacy_descriptor_p95,legacy_descriptor_max,legacy_descriptor_pool_full_block,legacy_per_address_cap_check,legacy_per_address_cap_block,legacy_chain_depth_avg,legacy_chain_depth_p95,legacy_chain_depth_max,legacy_wad_avg,legacy_wad_p95,legacy_wad_max,legacy_wad_full_events,legacy_wad_hazard_events,legacy_wad_hazard_wait_cycles,legacy_resident_payload_avg,legacy_resident_payload_p95,legacy_resident_payload_max,legacy_resident_valid_avg,legacy_resident_dirty_avg,legacy_resident_pending_sector_avg,legacy_bypass_pending_avg,legacy_bypass_ready_avg,legacy_payload_service_port_denial,legacy_payload_capacity_allocation_denial,legacy_bank_logical_ops,legacy_bank_attempts,legacy_bank_grants,legacy_bank_retry_attempts,legacy_bank_true_conflict_ops,legacy_bank_true_conflict_events,legacy_bank_wait_cycles,legacy_missq_avg,legacy_missq_p95,legacy_missq_max,legacy_missq_full_block,legacy_l2_to_dram_full_block,legacy_dram_issue_attempt,legacy_dram_successful_read_issues,legacy_dram_successful_write_issues,legacy_dram_successful_read_bytes,legacy_dram_successful_write_bytes,legacy_scheduler_occ_avg,legacy_scheduler_occ_max,legacy_scheduler_full_cycles,legacy_scheduler_full_observed,legacy_scheduler_causal_block,legacy_returnq_occ_avg,legacy_returnq_occ_max,legacy_returnq_full_cycles,legacy_dram_to_l2_return_path_block,legacy_window_records,legacy_dram_bandwidth_util,legacy_bank_true_conflict_rate,legacy_bank0_logical_ops,legacy_bank0_grants,legacy_bank0_true_conflict_ops,legacy_bank0_wait_cycles,legacy_bank1_logical_ops,legacy_bank1_grants,legacy_bank1_true_conflict_ops,legacy_bank1_wait_cycles,legacy_bank2_logical_ops,legacy_bank2_grants,legacy_bank2_true_conflict_ops,legacy_bank2_wait_cycles,legacy_bank3_logical_ops,legacy_bank3_grants,legacy_bank3_true_conflict_ops,legacy_bank3_wait_cycles,banked_instructions,banked_wall_seconds,banked_invariants_terminal_clean,banked_invariants_payload_consistent,banked_l1d_accesses,banked_l1d_misses,banked_l1d_line_alloc_fail,banked_l1d_miss_queue_full,banked_l1d_mshr_entry_fail,banked_l1d_mshr_merge_fail,banked_l1d_mshr_rw_pending,banked_l1d_bank_latency_queue_conflict,banked_tag_way_alloc_need,banked_tag_way_alloc_block,banked_tag_set_all_reserved_block,banked_line_mshr_need,banked_line_mshr_avg,banked_line_mshr_p95,banked_line_mshr_max,banked_line_mshr_full_block,banked_descriptor_need,banked_descriptor_avg,banked_descriptor_p95,banked_descriptor_max,banked_descriptor_pool_full_block,banked_per_address_cap_check,banked_per_address_cap_block,banked_chain_depth_avg,banked_chain_depth_p95,banked_chain_depth_max,banked_wad_avg,banked_wad_p95,banked_wad_max,banked_wad_full_events,banked_wad_hazard_events,banked_wad_hazard_wait_cycles,banked_resident_payload_avg,banked_resident_payload_p95,banked_resident_payload_max,banked_resident_valid_avg,banked_resident_dirty_avg,banked_resident_pending_sector_avg,banked_bypass_pending_avg,banked_bypass_ready_avg,banked_payload_service_port_denial,banked_payload_capacity_allocation_denial,banked_bank_logical_ops,banked_bank_attempts,banked_bank_grants,banked_bank_retry_attempts,banked_bank_true_conflict_ops,banked_bank_true_conflict_events,banked_bank_wait_cycles,banked_missq_avg,banked_missq_p95,banked_missq_max,banked_missq_full_block,banked_l2_to_dram_full_block,banked_dram_issue_attempt,banked_dram_successful_read_issues,banked_dram_successful_write_issues,banked_dram_successful_read_bytes,banked_dram_successful_write_bytes,banked_scheduler_occ_avg,banked_scheduler_occ_max,banked_scheduler_full_cycles,banked_scheduler_full_observed,banked_scheduler_causal_block,banked_returnq_occ_avg,banked_returnq_occ_max,banked_returnq_full_cycles,banked_dram_to_l2_return_path_block,banked_window_records,banked_dram_bandwidth_util,banked_bank_true_conflict_rate,banked_bank0_logical_ops,banked_bank0_grants,banked_bank0_true_conflict_ops,banked_bank0_wait_cycles,banked_bank1_logical_ops,banked_bank1_grants,banked_bank1_true_conflict_ops,banked_bank1_wait_cycles,banked_bank2_logical_ops,banked_bank2_grants,banked_bank2_true_conflict_ops,banked_bank2_wait_cycles,banked_bank3_logical_ops,banked_bank3_grants,banked_bank3_true_conflict_ops,banked_bank3_wait_cycles
vectorAdd_4M,73325,73325,1.000000000,56000000,465.759,1,1,1500000,1500000,0,1263518,0,0,0,144409,947987,0,0,822987,58,71,92,0,3176663,223,256,256,2176663,2353676,0,3,4,4,28,61,95,0,0,0,895,1024,1024,839,291,58,0,0,0,0,0,0,0,0,0,0,0,42,NOT_EMITTED,114,0,2176661,2089638,1000000,100544,32000000,12869632,112,128,496563,989094,989094,0,1,0,0,448,0.795837193,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000000,472.482,1,1,1500000,1500000,0,1263518,0,0,0,144409,947987,0,0,822987,58,71,92,0,3176663,223,256,256,2176663,2353676,0,3,4,4,28,61,95,0,0,0,895,1024,1024,839,291,58,0,0,0,0,1000000,1000000,1000000,0,0,0,0,42,NOT_EMITTED,114,0,2176661,2089638,1000000,100544,32000000,12869632,112,128,496563,989094,989094,0,1,0,0,448,0.795837193,0.000000000,248616,248616,0,0,251144,251144,0,0,258920,258920,0,0,241320,241320,0,0
scan,2157997,2157997,1.000000000,1963460720,14422.618,1,1,42764800,35947209,471629,38533635,124523721,0,0,55242027,24712819,222849,222849,20943070,60,82,113,0,83641439,207,256,256,60513316,62698369,0,3,4,32,57,108,128,2318944,585398,585398,1019,1024,1024,967,624,60,0,0,0,0,0,0,0,0,0,0,0,60,NOT_EMITTED,128,2053094,62160071,63786355,21405633,5260977,684980256,673405056,111,128,18691183,37119745,37119745,0,1,0,0,13792,0.818652729,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963460720,14954.222,1,1,42764800,35947209,471629,38533635,124523721,0,0,55242027,24712819,222849,222849,20943070,60,82,113,0,83641439,207,256,256,60513316,62698369,0,3,4,32,57,108,128,2318944,585398,585398,1019,1024,1024,967,624,60,0,0,0,0,28244978,28244978,28244978,0,0,0,0,60,NOT_EMITTED,128,2053094,62160071,63786355,21405633,5260977,684980256,673405056,111,128,18691183,37119745,37119745,0,1,0,0,13792,0.818652729,0.000000000,7044581,7044581,0,0,7069598,7069598,0,0,7049440,7049440,0,0,7081359,7081359,0,0
spmv,23453,23453,1.000000000,21131849,127.003,1,1,650620,432620,0,73304,1399927,7324,0,604733,179912,0,0,184141,41,87,99,0,755597,142,256,256,361635,571456,8598,3,4,32,0,0,0,0,0,0,567,1024,1024,532,0,41,0,0,0,0,0,0,0,0,0,0,0,15,NOT_EMITTED,76,0,348466,375745,375334,0,12010688,0,47,128,217,411,411,0,1,0,0,128,0.666052669,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21131849,126.739,1,1,650620,432620,0,73304,1399927,7324,0,604733,179912,0,0,184141,41,87,99,0,755597,142,256,256,361635,571456,8598,3,4,32,0,0,0,0,0,0,567,1024,1024,532,0,41,0,0,0,0,422502,422502,422502,0,0,0,0,15,NOT_EMITTED,76,0,348466,375745,375334,0,12010688,0,47,128,217,411,411,0,1,0,0,128,0.666052669,0.000000000,112637,112637,0,0,106137,106137,0,0,101051,101051,0,0,102677,102677,0,0
convolutionSeparable,290308,290308,1.000000000,714547200,1112.396,1,1,5289984,5215696,5179994,1460359,2242333,0,0,3811459,2012678,0,0,1958245,42,112,126,0,5865143,109,256,256,3373327,3906898,0,2,4,8,27,93,128,8266,0,0,969,1024,1024,943,459,42,0,0,0,0,0,0,0,0,0,0,0,21,NOT_EMITTED,128,22662,3133633,5418276,2359514,548350,75504448,69831744,66,128,1276637,2510412,2510412,0,1,0,0,1856,0.651093299,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714547200,1155.36,1,1,5289984,5215696,5179994,1460359,2242333,0,0,3811459,2012678,0,0,1958245,42,112,126,0,5865143,109,256,256,3373327,3906898,0,2,4,8,27,93,128,8266,0,0,969,1024,1024,943,459,42,0,0,0,0,2740470,2740470,2740470,0,0,0,0,21,NOT_EMITTED,128,22662,3133633,5418276,2359514,548350,75504448,69831744,66,128,1276637,2510412,2510412,0,1,0,0,1856,0.651093299,0.000000000,674668,674668,0,0,674943,674943,0,0,696933,696933,0,0,693926,693926,0,0
cfd_097k,79555,81443,0.976818143,143129372,291.964,1,1,1539872,1328553,498,780328,454367,0,0,628708,113091,0,0,53418,3,37,68,0,212610,14,139,256,64,159192,0,3,4,5,2,29,65,0,9367,9367,756,1024,1024,753,493,3,0,0,488,0,0,0,0,0,0,0,0,0,NOT_EMITTED,80,0,64,350321,212524,31118,6800768,3983104,13,128,58412,106679,106679,0,1,0,0,480,0.176294446,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143129372,282.928,1,1,1539872,1333347,1250,786287,461031,0,0,634969,113103,0,0,53454,3,38,64,0,212597,14,143,251,0,159143,0,3,4,4,2,29,66,0,9408,9408,762,1024,1024,759,492,3,0,0,0,0,1093466,1109632,1093466,16166,16166,16166,16166,0,NOT_EMITTED,69,0,0,348079,212564,31131,6802048,3984768,13,128,57659,104384,104384,0,1,0,0,512,0.172253655,0.014784182,224017,224017,3386,3386,290410,290410,2857,2857,289617,289617,4221,4221,289422,289422,5702,5702
dwt2d,166961,166961,1.000000000,148684429,424.503,1,1,1704000,1641970,0,1929192,0,0,0,602591,306102,0,0,111818,4,28,59,0,446140,15,104,233,0,334322,0,3,4,9,8,48,128,74044,19521,19521,967,1024,1024,963,584,4,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,120,0,0,883065,437976,163840,14015232,20971520,17,128,161970,281249,281249,0,1,0,0,1056,0.272531667,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148684429,407.366,1,1,1704000,1641970,0,1929192,0,0,0,602591,306102,0,0,111818,4,28,59,0,446140,15,104,233,0,334322,0,3,4,9,8,48,128,74044,19521,19521,967,1024,1024,963,584,4,0,0,0,0,847374,847374,847374,0,0,0,0,0,NOT_EMITTED,120,0,0,883065,437976,163840,14015232,20971520,17,128,161970,281249,281249,0,1,0,0,1056,0.272531667,0.000000000,199200,199200,0,0,216376,216376,0,0,219144,219144,0,0,212654,212654,0,0
sad,110653,110653,1.000000000,157583646,319.219,1,1,505098,422873,0,340795,0,0,0,17622,69907,0,0,848,0,0,7,0,6402,0,0,84,0,5554,0,5,16,16,0,0,10,0,0,0,301,962,1024,301,296,0,0,0,2,0,0,0,0,0,0,0,0,0,NOT_EMITTED,1,0,0,5958,1983,3975,63456,508800,0,10,0,0,0,0,1,0,0,704,0.006725926,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157583646,362.221,1,1,505098,422873,0,340795,0,0,0,17622,69907,0,0,848,0,0,7,0,6402,0,0,84,0,5554,0,5,16,16,0,0,10,0,0,0,301,962,1024,301,296,0,0,0,0,0,188826,188826,188826,0,0,0,0,0,NOT_EMITTED,1,0,0,5958,1983,3975,63456,508800,0,10,0,0,0,0,1,0,0,704,0.006725926,0.000000000,40709,40709,0,0,46105,46105,0,0,51489,51489,0,0,50523,50523,0,0
sgemm,353756,353756,1.000000000,1658916864,824.269,1,1,9698304,2452480,0,331698,0,0,0,329353,98272,0,0,116218,0,3,22,0,1162247,5,30,120,0,1046029,1409,6,16,32,0,0,0,0,0,0,521,1024,1024,520,13,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,1,0,0,393088,393088,0,12578816,0,0,37,0,0,0,0,1,0,0,2240,0.046244951,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658916864,815.565,1,1,9698304,2452480,0,331698,0,0,0,329353,98272,0,0,116218,0,3,22,0,1162247,5,30,120,0,1046029,1409,6,16,32,0,0,0,0,0,0,521,1024,1024,520,13,0,0,0,0,0,1819898,1819898,1819898,0,0,0,0,0,NOT_EMITTED,1,0,0,393088,393088,0,12578816,0,0,37,0,0,0,0,1,0,0,2240,0.046244951,0.000000000,457720,457720,0,0,443460,443460,0,0,465366,465366,0,0,453352,453352,0,0
btree,126259,126259,1.000000000,444467849,414.948,1,1,4249841,1340267,0,233530,0,527591,0,346228,135047,0,0,139249,2,15,69,0,477174,9,48,253,0,337925,674,3,4,32,0,0,3,0,0,0,717,1004,1020,714,16,2,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,23,0,0,436600,436188,412,13958016,52736,3,92,0,0,0,0,1,0,0,800,0.144319716,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444467849,419.707,1,1,4249841,1340267,0,233530,0,527591,0,346228,135047,0,0,139249,2,15,69,0,477174,9,48,253,0,337925,674,3,4,32,0,0,3,0,0,0,717,1004,1020,714,16,2,0,0,0,0,1370834,1370834,1370834,0,0,0,0,0,NOT_EMITTED,23,0,0,436600,436188,412,13958016,52736,3,92,0,0,0,0,1,0,0,800,0.144319716,0.000000000,474909,474909,0,0,279352,279352,0,0,293926,293926,0,0,322647,322647,0,0
3mm,1661135,1661135,1.000000000,1813512192,8314.269,1,1,113344512,5214033,0,44771040,0,163888205,0,52725554,57344,0,0,106501,0,1,76,0,333799,0,1,248,0,227298,0,2,8,20,0,0,0,0,0,0,595,896,896,595,229,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,22,0,0,229376,229376,0,7340032,0,0,47,0,0,0,0,1,0,0,10624,0.005746730,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813512192,8235.27,1,1,113344512,5214033,0,44771040,0,163888205,0,52725554,57344,0,0,106501,0,1,76,0,333799,0,1,248,0,227298,0,2,8,20,0,0,0,0,0,0,595,896,896,595,229,0,0,0,0,0,55249546,55249546,55249546,0,0,0,0,0,NOT_EMITTED,22,0,0,229376,229376,0,7340032,0,0,47,0,0,0,0,1,0,0,10624,0.005746730,0.000000000,13774746,13774746,0,0,22054435,22054435,0,0,5517508,5517508,0,0,13902857,13902857,0,0
