workload,variant,bank_logical_ops,bank_attempts,bank_grants,bank_retry_attempts,bank_true_conflict_ops,bank_true_conflict_events,bank_true_conflict_rate,bank_wait_cycles,bank0_logical_ops,bank1_logical_ops,bank2_logical_ops,bank3_logical_ops,bank0_grants,bank1_grants,bank2_grants,bank3_grants,bank0_true_conflict_ops,bank1_true_conflict_ops,bank2_true_conflict_ops,bank3_true_conflict_ops,bank0_wait_cycles,bank1_wait_cycles,bank2_wait_cycles,bank3_wait_cycles
vectorAdd_4M,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorAdd_4M,B0-Banked,1000000,1000000,1000000,0,0,0,0.000000000,0,248616,251144,258920,241320,248616,251144,258920,241320,0,0,0,0,0,0,0,0
scan,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan,B0-Banked,28244978,28244978,28244978,0,0,0,0.000000000,0,7044581,7069598,7049440,7081359,7044581,7069598,7049440,7081359,0,0,0,0,0,0,0,0
spmv,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,B0-Banked,422502,422502,422502,0,0,0,0.000000000,0,112637,106137,101051,102677,112637,106137,101051,102677,0,0,0,0,0,0,0,0
convolutionSeparable,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convolutionSeparable,B0-Banked,2740470,2740470,2740470,0,0,0,0.000000000,0,674668,674943,696933,693926,674668,674943,696933,693926,0,0,0,0,0,0,0,0
cfd_097k,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfd_097k,B0-Banked,1093466,1109632,1093466,16166,16166,16166,0.014784182,16166,224017,290410,289617,289422,224017,290410,289617,289422,3386,2857,4221,5702,3386,2857,4221,5702
dwt2d,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwt2d,B0-Banked,847374,847374,847374,0,0,0,0.000000000,0,199200,216376,219144,212654,199200,216376,219144,212654,0,0,0,0,0,0,0,0
sad,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sad,B0-Banked,188826,188826,188826,0,0,0,0.000000000,0,40709,46105,51489,50523,40709,46105,51489,50523,0,0,0,0,0,0,0,0
sgemm,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,B0-Banked,1819898,1819898,1819898,0,0,0,0.000000000,0,457720,443460,465366,453352,457720,443460,465366,453352,0,0,0,0,0,0,0,0
btree,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btree,B0-Banked,1370834,1370834,1370834,0,0,0,0.000000000,0,474909,279352,293926,322647,474909,279352,293926,322647,0,0,0,0,0,0,0,0
3mm,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3mm,B0-Banked,55249546,55249546,55249546,0,0,0,0.000000000,0,13774746,22054435,5517508,13902857,13774746,22054435,5517508,13902857,0,0,0,0,0,0,0,0
gemm,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemm,B0-Banked,18346402,18346402,18346402,0,0,0,0.000000000,0,4732635,12726218,445946,441603,4732635,12726218,445946,441603,0,0,0,0,0,0,0,0
FWT_7_21,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWT_7_21,B0-Banked,10223616,10223616,10223616,0,0,0,0.000000000,0,2556304,2557404,2555924,2553984,2556304,2557404,2555924,2553984,0,0,0,0,0,0,0,0
FWT_11_19,B0-Legacy,0,0,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWT_11_19,B0-Banked,2162688,2162688,2162688,0,0,0,0.000000000,0,540672,540672,540672,540672,540672,540672,540672,540672,0,0,0,0,0,0,0,0
