workload,variant,missq_avg,missq_p95,missq_max,missq_full_block,l2_to_dram_full_block,dram_issue_attempt,dram_successful_read_issues,dram_successful_write_issues,dram_successful_read_bytes,dram_successful_write_bytes,scheduler_occ_avg,scheduler_occ_max,scheduler_full_cycles,scheduler_full_observed,scheduler_causal_block,returnq_occ_avg,returnq_occ_max,returnq_full_cycles,dram_to_l2_return_path_block,dram_bandwidth_util,window_records
vectorAdd_4M,B0-Legacy,42,NOT_EMITTED,114,0,2176661,2089638,1000000,100544,32000000,12869632,112,128,496563,989094,989094,0,1,0,0,0.795837193,448
vectorAdd_4M,B0-Banked,42,NOT_EMITTED,114,0,2176661,2089638,1000000,100544,32000000,12869632,112,128,496563,989094,989094,0,1,0,0,0.795837193,448
scan,B0-Legacy,60,NOT_EMITTED,128,2053094,62160071,63786355,21405633,5260977,684980256,673405056,111,128,18691183,37119745,37119745,0,1,0,0,0.818652729,13792
scan,B0-Banked,60,NOT_EMITTED,128,2053094,62160071,63786355,21405633,5260977,684980256,673405056,111,128,18691183,37119745,37119745,0,1,0,0,0.818652729,13792
spmv,B0-Legacy,15,NOT_EMITTED,76,0,348466,375745,375334,0,12010688,0,47,128,217,411,411,0,1,0,0,0.666052669,128
spmv,B0-Banked,15,NOT_EMITTED,76,0,348466,375745,375334,0,12010688,0,47,128,217,411,411,0,1,0,0,0.666052669,128
convolutionSeparable,B0-Legacy,21,NOT_EMITTED,128,22662,3133633,5418276,2359514,548350,75504448,69831744,66,128,1276637,2510412,2510412,0,1,0,0,0.651093299,1856
convolutionSeparable,B0-Banked,21,NOT_EMITTED,128,22662,3133633,5418276,2359514,548350,75504448,69831744,66,128,1276637,2510412,2510412,0,1,0,0,0.651093299,1856
cfd_097k,B0-Legacy,0,NOT_EMITTED,80,0,64,350321,212524,31118,6800768,3983104,13,128,58412,106679,106679,0,1,0,0,0.176294446,480
cfd_097k,B0-Banked,0,NOT_EMITTED,69,0,0,348079,212564,31131,6802048,3984768,13,128,57659,104384,104384,0,1,0,0,0.172253655,512
dwt2d,B0-Legacy,0,NOT_EMITTED,120,0,0,883065,437976,163840,14015232,20971520,17,128,161970,281249,281249,0,1,0,0,0.272531667,1056
dwt2d,B0-Banked,0,NOT_EMITTED,120,0,0,883065,437976,163840,14015232,20971520,17,128,161970,281249,281249,0,1,0,0,0.272531667,1056
sad,B0-Legacy,0,NOT_EMITTED,1,0,0,5958,1983,3975,63456,508800,0,10,0,0,0,0,1,0,0,0.006725926,704
sad,B0-Banked,0,NOT_EMITTED,1,0,0,5958,1983,3975,63456,508800,0,10,0,0,0,0,1,0,0,0.006725926,704
sgemm,B0-Legacy,0,NOT_EMITTED,1,0,0,393088,393088,0,12578816,0,0,37,0,0,0,0,1,0,0,0.046244951,2240
sgemm,B0-Banked,0,NOT_EMITTED,1,0,0,393088,393088,0,12578816,0,0,37,0,0,0,0,1,0,0,0.046244951,2240
btree,B0-Legacy,0,NOT_EMITTED,23,0,0,436600,436188,412,13958016,52736,3,92,0,0,0,0,1,0,0,0.144319716,800
btree,B0-Banked,0,NOT_EMITTED,23,0,0,436600,436188,412,13958016,52736,3,92,0,0,0,0,1,0,0,0.144319716,800
3mm,B0-Legacy,0,NOT_EMITTED,22,0,0,229376,229376,0,7340032,0,0,47,0,0,0,0,1,0,0,0.005746730,10624
3mm,B0-Banked,0,NOT_EMITTED,22,0,0,229376,229376,0,7340032,0,0,47,0,0,0,0,1,0,0,0.005746730,10624
gemm,B0-Legacy,0,NOT_EMITTED,20,0,0,98304,98304,0,3145728,0,0,34,0,0,0,0,1,0,0,0.007353751,3552
gemm,B0-Banked,0,NOT_EMITTED,20,0,0,98304,98304,0,3145728,0,0,34,0,0,0,0,1,0,0,0.007353751,3552
FWT_7_21,B0-Legacy,4,NOT_EMITTED,128,1631,1190064,2284400,1217032,178680,38945024,22871040,18,128,483384,888688,888688,0,1,0,0,0.162919157,3136
FWT_7_21,B0-Banked,4,NOT_EMITTED,128,1631,1190064,2284400,1217032,178680,38945024,22871040,18,128,483384,888688,888688,0,1,0,0,0.162919157,3136
FWT_11_19,B0-Legacy,1,NOT_EMITTED,79,0,119765,131072,131072,0,4194304,0,0,42,0,0,0,0,1,0,0,0.031798033,1088
FWT_11_19,B0-Banked,1,NOT_EMITTED,79,0,119765,131072,131072,0,4194304,0,0,42,0,0,0,0,1,0,0,0.031798033,1088
