field	value
vm_weight_segmentation_enabled	0
vm_weight_segment_descriptors_loaded	1
vm_weight_segment_lookup_attempts	0
vm_weight_segment_lookup_launches	0
vm_weight_segment_lookup_completions	0
vm_weight_segment_hits	0
vm_weight_segment_misses	0
vm_weight_segment_l1_fills_suppressed	0
vm_weight_segment_l2_suppressed	0
vm_weight_segment_mshr_suppressed	0
vm_weight_segment_pwq_suppressed	0
vm_weight_segment_walker_suppressed	0
vm_weight_segment_pwc_suppressed	0
vm_weight_segment_pte_suppressed	0
