kind	id	path	sha256	evidence_class
run_log	A1:C1	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/A1_C1_OWNER_WAIT_TELEM_10_80/run.log	344a8cd58782b1779eddad5f1227d04ffccb352a569da237d69567c6e4fc70a0	P1_DIAGNOSTIC
command	A1:C1	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/A1_C1_OWNER_WAIT_TELEM_10_80/command.json	1e08280d8b10024ee8081be25e17286e24ce37b27600aed934ab93b500b8959a	P3_PROVENANCE
run_log	T0:OFF	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T0_OFF_OWNER_WAIT_TELEM_10_80/run.log	ddf5c14fef81aeec9f4efa596d2952addc1edde034d85a745ca5aecb6e6cae9f	P1_DIAGNOSTIC
command	T0:OFF	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T0_OFF_OWNER_WAIT_TELEM_10_80/command.json	75376a4c22824d5cb55ae2ae1978d67ac14cccedc6cfd860acba98169a0f31ab	P3_PROVENANCE
run_log	T0:C1	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T0_C1_OWNER_WAIT_TELEM_10_80/run.log	9a9128f64edb5f9f2972dfac11f94336ddea9c62190fcd87ddb34bda491d4e54	P1_DIAGNOSTIC
command	T0:C1	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T0_C1_OWNER_WAIT_TELEM_10_80/command.json	8d3ccf07d8f6e05d4f4de9f7971ac4b56a566cbfbcb066e0431f2f619315403d	P3_PROVENANCE
run_log	T2:OFF	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T2_OFF_OWNER_WAIT_TELEM_10_80/run.log	15b01b440ccf8eda97c923973e5d42cfb2f67398be591c7787262e12cc1d769f	P1_DIAGNOSTIC
command	T2:OFF	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T2_OFF_OWNER_WAIT_TELEM_10_80/command.json	d685726402006eddeac1ae839fd6e9961b923a7fb9b443fd5c3d4b68dbe56d35	P3_PROVENANCE
run_log	T2:C1	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T2_C1_OWNER_WAIT_TELEM_10_80/run.log	c51936e91de98ba1ad8d049eaea3228e79ca3d6e9270e4191c6971bdc6a38472	P1_DIAGNOSTIC
command	T2:C1	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T2_C1_OWNER_WAIT_TELEM_10_80/command.json	28a9dc19f5bf44d158c32bd4c21ab2a09062ed274977486de03003d239131e54	P3_PROVENANCE
run_log	A1:C1_READY_ONLY_NO_WAIT	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/A1_C1_READY_ONLY_NO_WAIT_OWNER_WAIT_TELEM_10_80/run.log	7c3d7bf17329ef6a537f1ae70b7eb6cf8262acbf0495f759a381b7b90b97deb1	P1_DIAGNOSTIC
command	A1:C1_READY_ONLY_NO_WAIT	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/A1_C1_READY_ONLY_NO_WAIT_OWNER_WAIT_TELEM_10_80/command.json	3c4bb62bc59cc99133aa7dd19b84153e6b11212013c709897cd562d38f3f0f04	P3_PROVENANCE
run_log	T2:C1_READY_ONLY_NO_WAIT	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T2_C1_READY_ONLY_NO_WAIT_OWNER_WAIT_TELEM_10_80/run.log	e5d48dcccc9f266fc57c6f901fb31238b6dff1a68b643e0ca0a99fe5c2873544	P1_DIAGNOSTIC
command	T2:C1_READY_ONLY_NO_WAIT	/root/share/mnt164/huangrulin/awma_c1_t2_owner_wait_retry_attribution_v1/raw/T2_C1_READY_ONLY_NO_WAIT_OWNER_WAIT_TELEM_10_80/command.json	f7c665c084243b0212e3da9e15678ebf2bb757bd9c4946dbe3ac6fce3969d2f6	P3_PROVENANCE
parent_evidence	PHASE2_MATRIX	/root/workspace/accel-sim-framework-awma-c1-t2-owner-wait-retry-attribution-v1/docs/vm_tlb/review_packs/AWMA_C1_DELIVERY_BANDWIDTH_DIAGNOSTIC_V1/DIAGNOSTIC_MATRIX.tsv	45fbbace83c78d3bdbfb4ffa45c5916bf56aff5d73d4ff258b8d7d7779fe2fce	P1_ACCEPTED_PARENT
build_log	TELEMETRY_BUILD	/root/awma_c1_t2_owner_wait_retry_attribution_v1_runtime/unified_build.log	dbaa489bf62bbe5cb8823711e8fde8823e9b6e9f1c5fdc4dfb669066dc5ae490	P4_RUNTIME
binary	TELEMETRY_BINARY	/root/awma_c1_t2_owner_wait_retry_attribution_v1_runtime/bin/unified_accel-sim.out	53366b37733b995d8c8a3e7b92e226b1f0e58874adeacd651987089e2e2c88c1	P3_PROVENANCE
build_log	ABLATION_BUILD	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/unified_build.log	2081b00b3bad3799a20a864bfc96efd6065fba8d2ca9af18eb1b8f0e1fbd16dd	P4_RUNTIME
binary	ABLATION_BINARY	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/bin/unified_accel-sim.out	a1ff682e0b08df0acc08841c49223484be397eafbcdbd91c1154303162856008	P3_PROVENANCE
source_patch	FINAL_CORE_PATCH	/root/workspace/accel-sim-framework-awma-c1-t2-owner-wait-retry-attribution-v1/docs/vm_tlb/review_packs/AWMA_C1_T2_OWNER_WAIT_RETRY_ATTRIBUTION_V1/CANDIDATE_CORE.patch	08ec50aef8738fcaed609d182419b6ed429a8774809af88141e78d7e683b4064	P3_PROVENANCE
test_source	DIRECTED_TEST	/root/workspace/accel-sim-framework-awma-c1-t2-owner-wait-retry-attribution-v1/util/vm_tlb/awma/awma_c1_owner_wait_attribution_test.cc	af8a9681b2b76ae35ee7d81b9878a73bba0ea52a8d815eb52da7ccd17c697134	P3_PROVENANCE
runner	ATTRIBUTION_RUNNER	/root/workspace/accel-sim-framework-awma-c1-t2-owner-wait-retry-attribution-v1/util/vm_tlb/awma/run_c1_t2_owner_wait_attribution.py	67d2cbc38559146e82f469d88db07931c365f895c85dfed888bd8748bead201d	P3_PROVENANCE
builder	REVIEW_BUILDER	/root/workspace/accel-sim-framework-awma-c1-t2-owner-wait-retry-attribution-v1/util/vm_tlb/awma/build_c1_t2_owner_wait_review.py	7f9b33d3ba7559288f5fb2432c9f9dd426b9c869f18d860db673a97472fba400	P3_PROVENANCE
test_log	CORE_PATCH_DRY_RUN	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/tests/candidate_core_patch_dry_run.log	13b1e68d60ef8ac5c6eb2a8706314179d6df528895ebc56e130c5490e43cc8ec	VERIFIED_RUN
test_log	awma_literature_mechanism_test:none	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/tests/awma_literature_mechanism_test_none.log	c022ee1137b126a33c07842cf583a5263f44c183322bd2c5745f93178a0cdba7	VERIFIED_RUN
test_log	awma_literature_mechanism_test:refill_protect	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/tests/awma_literature_mechanism_test_refill_protect.log	c022ee1137b126a33c07842cf583a5263f44c183322bd2c5745f93178a0cdba7	VERIFIED_RUN
test_log	vm_m3_g3_4b_tlb_timing_test:none	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/tests/vm_m3_g3_4b_tlb_timing_test_none.log	4547425aded443ec0b4b34b30928fa6b0982d176988468f5e965fa71e0baf03b	VERIFIED_RUN
test_log	vm_m3_g3_4b_tlb_timing_test:refill_protect	/root/awma_c1_t2_owner_wait_retry_attribution_v1_ablation_runtime/tests/vm_m3_g3_4b_tlb_timing_test_refill_protect.log	4547425aded443ec0b4b34b30928fa6b0982d176988468f5e965fa71e0baf03b	VERIFIED_RUN
