suite_id	status	global_launch_index	phase	decode_step	normalized_kernel_family	semantic_category	exact_implementation	grid	block	decode_behavior	representative_duration_ns	stratum_launch_count_selection_pool	stratum_gpu_duration_ns_selection_pool	observed_tags	selection_reason
R01	PROVISIONAL_PRE_GATE	1006	DECODE	1	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1824	1244	2281862	NONE	HIGH_TIME_PHASE_FAMILY
R02	PROVISIONAL_PRE_GATE	1101	DECODE	1	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3586,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6944	40	277953	NONE	RARE_STRUCTURALLY_DISTINCT
R03	PROVISIONAL_PRE_GATE	2154	DECODE	2	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3588,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	31	216321	NONE	RARE_STRUCTURALLY_DISTINCT
R04	PROVISIONAL_PRE_GATE	3164	DECODE	3	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3590,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	42	292544	NONE	RARE_STRUCTURALLY_DISTINCT
R05	PROVISIONAL_PRE_GATE	4260	DECODE	4	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3591,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	42	293153	NONE	RARE_STRUCTURALLY_DISTINCT
R06	PROVISIONAL_PRE_GATE	5227	DECODE	5	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3593,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	40	279297	NONE	RARE_STRUCTURALLY_DISTINCT
R07	PROVISIONAL_PRE_GATE	6410	DECODE	6	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3595,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	42	292960	NONE	RARE_STRUCTURALLY_DISTINCT
R08	PROVISIONAL_PRE_GATE	7420	DECODE	7	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3597,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	39	272065	NONE	RARE_STRUCTURALLY_DISTINCT
R09	PROVISIONAL_PRE_GATE	8386	DECODE	8	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3598,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	40	279457	NONE	RARE_STRUCTURALLY_DISTINCT
R10	PROVISIONAL_PRE_GATE	9439	DECODE	9	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3600,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	40	279808	NONE	RARE_STRUCTURALLY_DISTINCT
R11	PROVISIONAL_PRE_GATE	10492	DECODE	10	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3602,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	38	265952	NONE	RARE_STRUCTURALLY_DISTINCT
R12	PROVISIONAL_PRE_GATE	12148	DECODE	11	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3604,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6977	31	216834	NONE	RARE_STRUCTURALLY_DISTINCT
R13	PROVISIONAL_PRE_GATE	12813	DECODE	12	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3605,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	39	272961	NONE	RARE_STRUCTURALLY_DISTINCT
R14	PROVISIONAL_PRE_GATE	13652	DECODE	13	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3607,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	39	273088	NONE	RARE_STRUCTURALLY_DISTINCT
R15	PROVISIONAL_PRE_GATE	14705	DECODE	14	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3609,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	36	252768	NONE	RARE_STRUCTURALLY_DISTINCT
R16	PROVISIONAL_PRE_GATE	15929	DECODE	15	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3611,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	40	280384	NONE	RARE_STRUCTURALLY_DISTINCT
R17	PROVISIONAL_PRE_GATE	16897	DECODE	16	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3612,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	42	294688	NONE	RARE_STRUCTURALLY_DISTINCT
R18	PROVISIONAL_PRE_GATE	17950	DECODE	17	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3614,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	43	301793	NONE	RARE_STRUCTURALLY_DISTINCT
R19	PROVISIONAL_PRE_GATE	18959	DECODE	18	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3616,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	38	266497	NONE	RARE_STRUCTURALLY_DISTINCT
R20	PROVISIONAL_PRE_GATE	19969	DECODE	19	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3618,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	36	252832	NONE	RARE_STRUCTURALLY_DISTINCT
R21	PROVISIONAL_PRE_GATE	21108	DECODE	20	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3619,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	40	280992	NONE	RARE_STRUCTURALLY_DISTINCT
