status	phase	normalized_kernel_family	semantic_category	exact_implementation	grid	block	decode_behavior	selection_pool_duration_ns	confidence	reason
PROVISIONAL_PRE_GATE	PREFILL	OTHER_EXACT_IMPLEMENTATION	UNKNOWN	void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long)	608,1,1	128,1,1	NOT_APPLICABLE	17312	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)	32,1,1	64,1,1	NOT_APPLICABLE	1152	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	4,1,1	128,1,1	NOT_APPLICABLE	2048	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	CUBLAS_GEMM	UNKNOWN	void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)	64,1,1	256,1,1	NOT_APPLICABLE	1312	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	COPY_KERNEL	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	NOT_APPLICABLE	3168	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	256,1,1	128,1,1	NOT_APPLICABLE	1664	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	256,1,1	128,1,1	NOT_APPLICABLE	2496	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	256,1,1	128,1,1	NOT_APPLICABLE	2176	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	3584,1,1	128,1,1	NOT_APPLICABLE	232576	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_REDUCE	ELEMENTWISE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	128,1,1	32,16,1	NOT_APPLICABLE	186464	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	NOT_APPLICABLE	274531	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	3584,1,1	128,1,1	NOT_APPLICABLE	287488	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_tn	7,16,1	128,1,1	NOT_APPLICABLE	1030147	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1792,1,1	128,1,1	NOT_APPLICABLE	63296	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	512,1,1	128,1,1	NOT_APPLICABLE	87584	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	256,1,1	128,1,1	NOT_APPLICABLE	32896	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	512,1,1	128,1,1	NOT_APPLICABLE	43360	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	NOT_APPLICABLE	278752	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_tn	4,32,1	128,1,1	NOT_APPLICABLE	944768	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	3584,1,1	128,1,1	NOT_APPLICABLE	299616	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	4,1,1	128,1,1	NOT_APPLICABLE	38816	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	4,1,1	128,1,1	NOT_APPLICABLE	36672	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
