roi	comparison	operator_class	metric	baseline_value	candidate_value	delta_abs	delta_rel	claim_scope
prefill	F1_vs_F2	ATTENTION_CORE	gpu_sim_cycle	629886	620785	-9101	-0.014448646263	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	ATTENTION_PROJECTION	gpu_sim_cycle	6688998	6680062	-8936	-0.00133592505185	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	EMBEDDING_OUTPUT	gpu_sim_cycle	18441999	18925962	483963	0.0262424371675	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	FFN_MLP	gpu_sim_cycle	20573136	20582508	9372	0.000455545523055	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	NORM	gpu_sim_cycle	1457652	1457544	-108	-7.40917585267e-05	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	OTHER_COMPUTE	gpu_sim_cycle	15504765	15485190	-19575	-0.00126251510423	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	UNRESOLVED	gpu_sim_cycle	6450	6450	0	0	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	ATTENTION_CORE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	ATTENTION_PROJECTION	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	EMBEDDING_OUTPUT	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	FFN_MLP	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	NORM	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	OTHER_COMPUTE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	UNRESOLVED	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	FFN_MLP	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	NORM	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	UNRESOLVED	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F1_vs_F2	FULL_ROI	gpu_tot_sim_cycle	63302886	63758501	455615	0.00719738117469	FULL_ROI_ONLY
prefill	F5_vs_F0	ATTENTION_CORE	gpu_sim_cycle	623662	629945	6283	0.0100743672053	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	ATTENTION_PROJECTION	gpu_sim_cycle	6676148	6674888	-1260	-0.000188731585938	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	EMBEDDING_OUTPUT	gpu_sim_cycle	17652323	18352576	700253	0.0396691698877	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	FFN_MLP	gpu_sim_cycle	20573515	20574339	824	4.00514933885e-05	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	NORM	gpu_sim_cycle	1458060	1458754	694	0.000475974925586	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	OTHER_COMPUTE	gpu_sim_cycle	15500080	15526361	26281	0.00169553963592	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	UNRESOLVED	gpu_sim_cycle	6450	6450	0	0	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	ATTENTION_CORE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	FFN_MLP	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	NORM	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	OTHER_COMPUTE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	UNRESOLVED	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	FFN_MLP	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	NORM	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	UNRESOLVED	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F5_vs_F0	FULL_ROI	gpu_tot_sim_cycle	62490238	63223313	733075	0.0117310322934	FULL_ROI_ONLY
prefill	F7-L5_vs_F0	ATTENTION_CORE	gpu_sim_cycle	623662	619732	-3930	-0.00630149023028	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	ATTENTION_PROJECTION	gpu_sim_cycle	6676148	6092758	-583390	-0.0873842221592	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	EMBEDDING_OUTPUT	gpu_sim_cycle	17652323	18473554	821231	0.0465225455029	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	FFN_MLP	gpu_sim_cycle	20573515	17845382	-2728133	-0.132604127199	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	NORM	gpu_sim_cycle	1458060	1306950	-151110	-0.103637710382	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	OTHER_COMPUTE	gpu_sim_cycle	15500080	15489383	-10697	-0.00069012547032	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	UNRESOLVED	gpu_sim_cycle	6450	6460	10	0.0015503875969	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	ATTENTION_CORE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_hits	0	5692430	5692430	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_hits	0	16515303	16515303	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	FFN_MLP	vm_weight_segment_hits	0	26377572	26377572	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	NORM	vm_weight_segment_hits	0	1048576	1048576	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	OTHER_COMPUTE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	UNRESOLVED	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	0	5692430	5692430	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	0	16515303	16515303	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	FFN_MLP	vm_weight_segment_l2_suppressed	0	26377572	26377572	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	NORM	vm_weight_segment_l2_suppressed	0	1048576	1048576	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	UNRESOLVED	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L5_vs_F0	FULL_ROI	gpu_tot_sim_cycle	62490238	59834219	-2656019	-0.0425029426196	FULL_ROI_ONLY
prefill	F7-L10_vs_F0	ATTENTION_CORE	gpu_sim_cycle	623662	622301	-1361	-0.00218227180749	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	ATTENTION_PROJECTION	gpu_sim_cycle	6676148	6601177	-74971	-0.0112296791503	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	EMBEDDING_OUTPUT	gpu_sim_cycle	17652323	18754068	1101745	0.0624135984822	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	FFN_MLP	gpu_sim_cycle	20573515	20478345	-95170	-0.00462585027401	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	NORM	gpu_sim_cycle	1458060	1441714	-16346	-0.0112107869361	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	OTHER_COMPUTE	gpu_sim_cycle	15500080	15466833	-33247	-0.00214495667119	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	UNRESOLVED	gpu_sim_cycle	6450	6450	0	0	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	ATTENTION_CORE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_hits	0	5310451	5310451	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_hits	0	16455481	16455481	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	FFN_MLP	vm_weight_segment_hits	0	25278226	25278226	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	NORM	vm_weight_segment_hits	0	1048576	1048576	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	OTHER_COMPUTE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	UNRESOLVED	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	0	5310451	5310451	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	0	16455481	16455481	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	FFN_MLP	vm_weight_segment_l2_suppressed	0	25278226	25278226	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	NORM	vm_weight_segment_l2_suppressed	0	1048576	1048576	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	UNRESOLVED	vm_weight_segment_l2_suppressed	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L10_vs_F0	FULL_ROI	gpu_tot_sim_cycle	62490238	63370888	880650	0.0140926011516	FULL_ROI_ONLY
prefill	F7-L20_vs_F0	ATTENTION_CORE	gpu_sim_cycle	623662	623975	313	0.000501874412743	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	ATTENTION_PROJECTION	gpu_sim_cycle	6676148	8392922	1716774	0.257150380729	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	EMBEDDING_OUTPUT	gpu_sim_cycle	17652323	21810020	4157697	0.235532569849	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	FFN_MLP	gpu_sim_cycle	20573515	28017863	7444348	0.361841328524	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	NORM	gpu_sim_cycle	1458060	1756333	298273	0.204568399106	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	OTHER_COMPUTE	gpu_sim_cycle	15500080	15523613	23533	0.00151825022839	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	UNRESOLVED	gpu_sim_cycle	6450	6466	16	0.00248062015504	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	ATTENTION_CORE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	ATTENTION_PROJECTION	vm_weight_segment_hits	0	5248400	5248400	NA	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	EMBEDDING_OUTPUT	vm_weight_segment_hits	0	16449536	16449536	NA	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	FFN_MLP	vm_weight_segment_hits	0	25180124	25180124	NA	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	NORM	vm_weight_segment_hits	0	1048576	1048576	NA	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	OTHER_COMPUTE	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
prefill	F7-L20_vs_F0	UNRESOLVED	vm_weight_segment_hits	0	0	0	NA	MEASURED_OPERATOR_FACT
