roi	operator_class	metric	metric_scope	unit	numerator	denominator	value	source
prefill	ATTENTION_CORE	kernel_count	EXACT_PER_KERNEL	kernels			16	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	kernel_count	EXACT_PER_KERNEL	kernels			64	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	kernel_count	EXACT_PER_KERNEL	kernels			2	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	kernel_count	EXACT_PER_KERNEL	kernels			48	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	kernel_count	EXACT_PER_KERNEL	kernels			33	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	kernel_count	EXACT_PER_KERNEL	kernels			528	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	kernel_count	EXACT_PER_KERNEL	kernels			1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_CORE	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			623662	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			6676148	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			17652323	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			20573515	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			1458060	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			15500080	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			6450	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_CORE	gpu_sim_insn	EXACT_PER_KERNEL	instructions			322398866	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	gpu_sim_insn	EXACT_PER_KERNEL	instructions			1395392512	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	gpu_sim_insn	EXACT_PER_KERNEL	instructions			4482647549	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	gpu_sim_insn	EXACT_PER_KERNEL	instructions			4382785536	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	gpu_sim_insn	EXACT_PER_KERNEL	instructions			1427374080	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	gpu_sim_insn	EXACT_PER_KERNEL	instructions			6441977084	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	gpu_sim_insn	EXACT_PER_KERNEL	instructions			44800	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
decode1	ATTENTION_CORE	kernel_count	EXACT_PER_KERNEL	kernels			16	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	ATTENTION_PROJECTION	kernel_count	EXACT_PER_KERNEL	kernels			64	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	EMBEDDING_OUTPUT	kernel_count	EXACT_PER_KERNEL	kernels			2	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	FFN_MLP	kernel_count	EXACT_PER_KERNEL	kernels			48	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	NORM	kernel_count	EXACT_PER_KERNEL	kernels			33	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
