roi	operator_class	metric	metric_scope	unit	value	source
prefill	ATTENTION_CORE	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	352833	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	9906164	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	25770049	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	38691004	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	3244627	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	16203410	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	vm_l1_tlb_accesses	EXACT_PER_KERNEL	events	68	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_CORE	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	344694	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	9880054	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	25463896	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	38591642	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	3178584	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	15589690	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	vm_l1_tlb_hits	EXACT_PER_KERNEL	events	68	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_CORE	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	8139	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	26110	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	306153	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	99362	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	66043	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	613720	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	vm_l1_tlb_misses	EXACT_PER_KERNEL	events	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_CORE	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	8139	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	26110	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	306153	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	99362	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	66043	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	613720	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	vm_l2_tlb_accesses	EXACT_PER_KERNEL	events	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_CORE	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	7401	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	ATTENTION_PROJECTION	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	22139	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	EMBEDDING_OUTPUT	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	285608	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	FFN_MLP	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	87736	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	NORM	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	65448	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	OTHER_COMPUTE	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	605968	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
prefill	UNRESOLVED	vm_l2_tlb_hits	EXACT_PER_KERNEL	events	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/run.log sha256=8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
