compute_index	trace_filename	weight_refs	kv_refs	unknown_refs	weight_pages	kv_pages	unknown_pages	parameter_names
0	kernel-735-ctx_0x55f2413c4de0.traceg.xz	1048576	0	2097152	2144968192,2144968193,2144968194,2144968195,2144968196		2145020928,2145020929,2145020930,2145020931,2145020932,2145020933,2145020934,2145020935,2145020936,2145020937,2145020938,2145020939,2145020940,2145020941,2145020942,2145020943,2145020944,2145020945,2145020946,2145020947,2145020948,2145020949,2145020950,2145020951,2145020952,2145020953,2145020954,2145020955,2145020956,2145020957,2145020958,2145020959,2145112506	model.embed_tokens.weight
1	kernel-736-ctx_0x55f2413c4de0.traceg.xz	0	0	64			2145112506	NONE
2	kernel-737-ctx_0x55f2413c4de0.traceg.xz	0	0	128			2145112506	NONE
3	kernel-738-ctx_0x55f2413c4de0.traceg.xz	0	0	6400			0,2145112506	NONE
4	kernel-739-ctx_0x55f2413c4de0.traceg.xz	0	0	8192			2145112506	NONE
5	kernel-740-ctx_0x55f2413c4de0.traceg.xz	0	0	2048			2145112506	NONE
6	kernel-741-ctx_0x55f2413c4de0.traceg.xz	0	0	2048			2145112506,2145112510,2145112511	NONE
7	kernel-742-ctx_0x55f2413c4de0.traceg.xz	0	0	2048			2145112506	NONE
8	kernel-743-ctx_0x55f2413c4de0.traceg.xz	0	0	2048			2145112506,2145112511	NONE
9	kernel-744-ctx_0x55f2413c4de0.traceg.xz	0	0	2048			2145112506,2145112510,2145112511	NONE
10	kernel-745-ctx_0x55f2413c4de0.traceg.xz	0	0	2048			2145112506,2145112511	NONE
11	kernel-746-ctx_0x55f2413c4de0.traceg.xz	0	0	2097152			2145020928,2145020929,2145020930,2145020931,2145020932,2145020933,2145020934,2145020935,2145020936,2145020937,2145020938,2145020939,2145020940,2145020941,2145020942,2145020943,2145020944,2145020945,2145020946,2145020947,2145020948,2145020949,2145020950,2145020951,2145020952,2145020953,2145020954,2145020955,2145020956,2145020957,2145020958,2145020959,2145021090,2145021091,2145021092,2145021093,2145021094,2145021095,2145021096,2145021097,2145021098,2145021099,2145021100,2145021101,2145021102,2145021103,2145021104,2145021105,2145021106,2145021107,2145021108,2145021109,2145021110,2145021111,2145021112,2145021113,2145021114,2145021115,2145021116,2145021117,2145021118,2145021119,2145021120,2145021121,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153	NONE
12	kernel-747-ctx_0x55f2413c4de0.traceg.xz	0	0	524288			2145021090,2145021091,2145021092,2145021093,2145021094,2145021095,2145021096,2145021097,2145021098,2145021099,2145021100,2145021101,2145021102,2145021103,2145021104,2145021105,2145021106,2145021107,2145021108,2145021109,2145021110,2145021111,2145021112,2145021113,2145021114,2145021115,2145021116,2145021117,2145021118,2145021119,2145021120,2145021121,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153,2145023158,2145023159,2145023160,2145023161,2145023162,2145023163,2145023164,2145023165,2145023166,2145023167,2145023168,2145023169,2145023170,2145023171,2145023172,2145023173,2145023174,2145023175,2145023176,2145023177,2145023178,2145023179,2145023180,2145023181,2145023182,2145023183,2145023184,2145023185,2145023186,2145023187,2145023188,2145023189,2145023190,2145023191,2145023192,2145023193,2145023194,2145023195,2145023196,2145023197,2145023198,2145023199,2145023200,2145023201,2145023202,2145023203,2145023204,2145023205,2145023206,2145023207,2145023208,2145023209,2145023210,2145023211,2145023212,2145023213,2145023214,2145023215,2145023216,2145023217,2145023218,2145023219,2145023220,2145023221	NONE
13	kernel-748-ctx_0x55f2413c4de0.traceg.xz	0	0	262656			2145023158,2145023159,2145023160,2145023161,2145023162,2145023163,2145023164,2145023165,2145023166,2145023167,2145023168,2145023169,2145023170,2145023171,2145023172,2145023173,2145023174,2145023175,2145023176,2145023177,2145023178,2145023179,2145023180,2145023181,2145023182,2145023183,2145023184,2145023185,2145023186,2145023187,2145023188,2145023189,2145023190,2145023191,2145023192,2145023193,2145023194,2145023195,2145023196,2145023197,2145023198,2145023199,2145023200,2145023201,2145023202,2145023203,2145023204,2145023205,2145023206,2145023207,2145023208,2145023209,2145023210,2145023211,2145023212,2145023213,2145023214,2145023215,2145023216,2145023217,2145023218,2145023219,2145023220,2145023221,2145112506	NONE
14	kernel-749-ctx_0x55f2413c4de0.traceg.xz	0	0	256			2145112506	NONE
15	kernel-750-ctx_0x55f2413c4de0.traceg.xz	0	0	256			2145112506	NONE
16	kernel-751-ctx_0x55f2413c4de0.traceg.xz	0	0	3145728			2145021090,2145021091,2145021092,2145021093,2145021094,2145021095,2145021096,2145021097,2145021098,2145021099,2145021100,2145021101,2145021102,2145021103,2145021104,2145021105,2145021106,2145021107,2145021108,2145021109,2145021110,2145021111,2145021112,2145021113,2145021114,2145021115,2145021116,2145021117,2145021118,2145021119,2145021120,2145021121,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153,2145023158,2145023159,2145023160,2145023161,2145023162,2145023163,2145023164,2145023165,2145023166,2145023167,2145023168,2145023169,2145023170,2145023171,2145023172,2145023173,2145023174,2145023175,2145023176,2145023177,2145023178,2145023179,2145023180,2145023181,2145023182,2145023183,2145023184,2145023185,2145023186,2145023187,2145023188,2145023189,2145023190,2145023191,2145023192,2145023193,2145023194,2145023195,2145023196,2145023197,2145023198,2145023199,2145023200,2145023201,2145023202,2145023203,2145023204,2145023205,2145023206,2145023207,2145023208,2145023209,2145023210,2145023211,2145023212,2145023213,2145023214,2145023215,2145023216,2145023217,2145023218,2145023219,2145023220,2145023221,2145112506	NONE
17	kernel-752-ctx_0x55f2413c4de0.traceg.xz	0	0	524288			2145021090,2145021091,2145021092,2145021093,2145021094,2145021095,2145021096,2145021097,2145021098,2145021099,2145021100,2145021101,2145021102,2145021103,2145021104,2145021105,2145021106,2145021107,2145021108,2145021109,2145021110,2145021111,2145021112,2145021113,2145021114,2145021115,2145021116,2145021117,2145021118,2145021119,2145021120,2145021121,2145023158,2145023159,2145023160,2145023161,2145023162,2145023163,2145023164,2145023165,2145023166,2145023167,2145023168,2145023169,2145023170,2145023171,2145023172,2145023173,2145023174,2145023175,2145023176,2145023177,2145023178,2145023179,2145023180,2145023181,2145023182,2145023183,2145023184,2145023185,2145023186,2145023187,2145023188,2145023189,2145023190,2145023191,2145023192,2145023193,2145023194,2145023195,2145023196,2145023197,2145023198,2145023199,2145023200,2145023201,2145023202,2145023203,2145023204,2145023205,2145023206,2145023207,2145023208,2145023209,2145023210,2145023211,2145023212,2145023213,2145023214,2145023215,2145023216,2145023217,2145023218,2145023219,2145023220,2145023221	NONE
18	kernel-753-ctx_0x55f2413c4de0.traceg.xz	1048576	0	2097152	2144976672		2145021090,2145021091,2145021092,2145021093,2145021094,2145021095,2145021096,2145021097,2145021098,2145021099,2145021100,2145021101,2145021102,2145021103,2145021104,2145021105,2145021106,2145021107,2145021108,2145021109,2145021110,2145021111,2145021112,2145021113,2145021114,2145021115,2145021116,2145021117,2145021118,2145021119,2145021120,2145021121,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153	model.layers.0.input_layernorm.weight
19	kernel-754-ctx_0x55f2413c4de0.traceg.xz	1048576	0	5505024	2144976208,2144976209,2144976210,2144976211,2144976212,2144976213,2144976214,2144976215,2144976216,2144976217,2144976218,2144976219,2144976220,2144976221,2144976222,2144976223,2144976224,2144976225,2144976226,2144976227,2144976228,2144976229,2144976230,2144976231,2144976232,2144976233,2144976234,2144976235,2144976236,2144976237,2144976238,2144976239		0,1,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153,2145112480,2145112481,2145112482,2145112483,2145112484,2145112485,2145112486,2145112487,2145112488	model.layers.0.self_attn.q_proj.weight
20	kernel-755-ctx_0x55f2413c4de0.traceg.xz	262144	0	1257472	2144976240,2144976241,2144976242,2144976243,2144976244,2144976245,2144976246,2144976247		0,1,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153,2145044418,2145044419	model.layers.0.self_attn.k_proj.weight
21	kernel-756-ctx_0x55f2413c4de0.traceg.xz	262144	16384	1241088	2144976248,2144976249,2144976250,2144976251,2144976252,2144976253,2144976254,2144976255	2145044478,2145044479	0,1,2145021122,2145021123,2145021124,2145021125,2145021126,2145021127,2145021128,2145021129,2145021130,2145021131,2145021132,2145021133,2145021134,2145021135,2145021136,2145021137,2145021138,2145021139,2145021140,2145021141,2145021142,2145021143,2145021144,2145021145,2145021146,2145021147,2145021148,2145021149,2145021150,2145021151,2145021152,2145021153	model.layers.0.self_attn.v_proj.weight
