roi	arm	lseg	kernel_markers	gpu_sim_cycle_rows	gpu_sim_cycle_sum	formal_gpu_tot_sim_cycle	validation_gpu_tot_sim_cycle	cycle_conservation	vm_active_metrics	vm_snapshot_fields	vm_snapshot_continuity	vm_delta_to_terminal	vm_numeric_validation_checks	vm_nonemitted_validation_checks	status
decode1	F0	NONE	740	740	34564626	34564626	34564626	PASS	13	9620	PASS	PASS	13	0	PASS
decode1	F1	NONE	740	740	34540487	34540487	34540487	PASS	15	11100	PASS	PASS	15	0	PASS
decode1	F2	NONE	740	740	34564626	34564626	34564626	PASS	13	9620	PASS	PASS	13	0	PASS
decode1	F5	NONE	740	740	34558846	34558846	34558846	PASS	13	9620	PASS	PASS	13	0	PASS
decode1	F7	10	740	740	34432059	34432059	34432059	PASS	13	9620	PASS	PASS	13	0	PASS
decode1	F7	20	740	740	36035731	36035731	36035731	PASS	13	9620	PASS	PASS	13	0	PASS
decode1	F7	5	740	740	33959029	33959029	33959029	PASS	13	9620	PASS	PASS	13	0	PASS
decode1	F8	10	740	740	34432059	34432059	34432059	PASS	15	11100	PASS	PASS	15	0	PASS
decode1	F8	20	740	740	36035731	36035731	36035731	PASS	15	11100	PASS	PASS	15	0	PASS
decode1	F8	5	740	740	33959029	33959029	33959029	PASS	15	11100	PASS	PASS	15	0	PASS
decode1	F9	NONE	740	740	34564626	34564626	34564626	PASS	13	9620	PASS	PASS	13	0	PASS
prefill	F0	NONE	692	692	62490238	62490238	62490238	PASS	13	8996	PASS	PASS	13	0	PASS
prefill	F1	NONE	692	692	63758501	63758501	63758501	PASS	15	10380	PASS	PASS	15	0	PASS
prefill	F2	NONE	692	692	63302886	63302886	63302886	PASS	13	8996	PASS	PASS	13	0	PASS
prefill	F5	NONE	692	692	63223313	63223313	63223313	PASS	13	8996	PASS	PASS	13	0	PASS
prefill	F7	10	692	692	63370888	63370888	63370888	PASS	13	8996	PASS	PASS	13	0	PASS
prefill	F7	20	692	692	76131192	76131192	76131192	PASS	13	8996	PASS	PASS	13	0	PASS
prefill	F7	5	692	692	59834219	59834219	59834219	PASS	13	8996	PASS	PASS	13	0	PASS
prefill	F8	10	692	692	63375503	63375503	63375503	PASS	15	10380	PASS	PASS	15	0	PASS
prefill	F8	20	692	692	76144277	76144277	76144277	PASS	15	10380	PASS	PASS	15	0	PASS
prefill	F8	5	692	692	59817355	59817355	59817355	PASS	15	10380	PASS	PASS	15	0	PASS
prefill	F9	NONE	692	692	63252745	63252745	63252745	PASS	13	8996	PASS	PASS	13	0	PASS
