compute_index	trace_filename	weight_refs	kv_refs	unknown_refs	weight_pages	kv_pages	unknown_pages	parameter_names
0	kernel-1464-ctx_0x55d98da1ddf0.traceg.xz	16384	0	32768	2139014660		2139121594	model.embed_tokens.weight
1	kernel-1465-ctx_0x55d98da1ddf0.traceg.xz	0	0	1			2139121594	NONE
2	kernel-1466-ctx_0x55d98da1ddf0.traceg.xz	0	0	2			2139121594	NONE
3	kernel-1467-ctx_0x55d98da1ddf0.traceg.xz	0	0	162			0,2139121594	NONE
4	kernel-1468-ctx_0x55d98da1ddf0.traceg.xz	0	0	80			2139121594	NONE
5	kernel-1469-ctx_0x55d98da1ddf0.traceg.xz	0	0	128			2139121594	NONE
6	kernel-1470-ctx_0x55d98da1ddf0.traceg.xz	0	0	128			2139121594	NONE
7	kernel-1471-ctx_0x55d98da1ddf0.traceg.xz	0	0	128			2139121594	NONE
8	kernel-1472-ctx_0x55d98da1ddf0.traceg.xz	0	0	128			2139121594	NONE
9	kernel-1473-ctx_0x55d98da1ddf0.traceg.xz	0	0	128			2139121594	NONE
10	kernel-1474-ctx_0x55d98da1ddf0.traceg.xz	0	0	128			2139121594	NONE
11	kernel-1475-ctx_0x55d98da1ddf0.traceg.xz	0	0	32768			2139121594,2139121598,2139121599	NONE
12	kernel-1476-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139121598,2139121599	NONE
13	kernel-1477-ctx_0x55d98da1ddf0.traceg.xz	0	0	5128			0,2139054018,2139121594	NONE
14	kernel-1478-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
15	kernel-1479-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
16	kernel-1480-ctx_0x55d98da1ddf0.traceg.xz	0	0	49152			2139054018,2139121594,2139121598,2139121599	NONE
17	kernel-1481-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139054019	NONE
18	kernel-1482-ctx_0x55d98da1ddf0.traceg.xz	16384	0	32768	2139023136		2139054019	model.layers.0.input_layernorm.weight
19	kernel-1483-ctx_0x55d98da1ddf0.traceg.xz	131072	0	845824	2139022672,2139022673,2139022674,2139022675,2139022676,2139022677,2139022678,2139022679,2139022680,2139022681,2139022682,2139022683,2139022684,2139022685,2139022686,2139022687,2139022688,2139022689,2139022690,2139022691,2139022692,2139022693,2139022694,2139022695,2139022696,2139022697,2139022698,2139022699,2139022700,2139022701,2139022702,2139022703		0,2139030560,2139054019,2139054020,2139054021,2139054022,2139054023	model.layers.0.self_attn.q_proj.weight
20	kernel-1484-ctx_0x55d98da1ddf0.traceg.xz	0	0	36864			2139030560,2139121594	NONE
21	kernel-1485-ctx_0x55d98da1ddf0.traceg.xz	32768	0	782336	2139022704,2139022705,2139022706,2139022707,2139022708,2139022709,2139022710,2139022711		0,2139030560,2139054019,2139165952	model.layers.0.self_attn.k_proj.weight
22	kernel-1486-ctx_0x55d98da1ddf0.traceg.xz	0	0	17408			2139030560,2139121594	NONE
23	kernel-1487-ctx_0x55d98da1ddf0.traceg.xz	32768	0	782336	2139022712,2139022713,2139022714,2139022715,2139022716,2139022717,2139022718,2139022719		0,2139030560,2139054019,2139165952	model.layers.0.self_attn.v_proj.weight
24	kernel-1488-ctx_0x55d98da1ddf0.traceg.xz	0	0	17408			2139030560,2139121594	NONE
25	kernel-1489-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121594,2139121598	NONE
26	kernel-1490-ctx_0x55d98da1ddf0.traceg.xz	0	0	4096			2139121594,2139121598,2139121599	NONE
27	kernel-1491-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121594,2139121598,2139121599	NONE
