roi	arm_family	lseg	operator_class	metric	value	note
prefill	F7	5	ATTENTION_CORE	gpu_sim_cycle	619732	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	ATTENTION_PROJECTION	gpu_sim_cycle	6092758	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	EMBEDDING_OUTPUT	gpu_sim_cycle	18473554	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	FFN_MLP	gpu_sim_cycle	17845382	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	NORM	gpu_sim_cycle	1306950	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	OTHER_COMPUTE	gpu_sim_cycle	15489383	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	UNRESOLVED	gpu_sim_cycle	6460	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	ATTENTION_PROJECTION	vm_weight_segment_hits	5692430	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	EMBEDDING_OUTPUT	vm_weight_segment_hits	16515303	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	FFN_MLP	vm_weight_segment_hits	26377572	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	NORM	vm_weight_segment_hits	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	5692430	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	16515303	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	FFN_MLP	vm_weight_segment_l2_suppressed	26377572	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	NORM	vm_weight_segment_l2_suppressed	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	5	FULL_ROI	gpu_tot_sim_cycle	59834219	full-ROI anchor; compare only within same ROI
