roi	operator_class	object_class	metric	metric_scope	unit	value	source
prefill	ATTENTION_CORE	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_CORE	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_PROJECTION	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	41943040	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_PROJECTION	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	1294	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	EMBEDDING_OUTPUT	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	132382720	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	EMBEDDING_OUTPUT	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	8016	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	FFN_MLP	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	201326592	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	FFN_MLP	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	6158	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	NORM	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	34603008	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	NORM	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	17	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	OTHER_COMPUTE	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	OTHER_COMPUTE	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	UNRESOLVED	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	UNRESOLVED	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_CORE	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	868352	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_CORE	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	56	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_PROJECTION	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	2752512	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_PROJECTION	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	44	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	EMBEDDING_OUTPUT	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	EMBEDDING_OUTPUT	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	FFN_MLP	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	FFN_MLP	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	NORM	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	NORM	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	OTHER_COMPUTE	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	51314688	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	OTHER_COMPUTE	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	64	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	UNRESOLVED	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	UNRESOLVED	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_CORE	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	18474756	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_CORE	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	48	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_PROJECTION	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	214171648	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	ATTENTION_PROJECTION	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	153	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	EMBEDDING_OUTPUT	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	698783744	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	EMBEDDING_OUTPUT	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	2071	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	FFN_MLP	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	794296320	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	FFN_MLP	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	162	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	NORM	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	69206016	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
