roi	arm	lseg	operator_class	metric	metric_scope	unit	value	source_raw_log_sha256
decode1	F0	NONE	ATTENTION_CORE	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	505269	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	3824007	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	3781703	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	21665136	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	301294	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	OTHER_COMPUTE	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	4481119	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	UNRESOLVED	gpu_sim_cycle	EXACT_PER_KERNEL	cycles	6098	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	ATTENTION_CORE	vm_weight_segment_hits	EXACT_PER_KERNEL	events	0	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	ATTENTION_PROJECTION	vm_weight_segment_hits	EXACT_PER_KERNEL	events	0	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	F0	NONE	EMBEDDING_OUTPUT	vm_weight_segment_hits	EXACT_PER_KERNEL	events	0	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
