roi	profile	window_scope	record_rows
decode1	disabled	FIXED_WINDOW	32377
decode1	disabled	FIXED_WINDOW_PARTIAL	161237
decode1	generic	FIXED_WINDOW	21542
decode1	generic	FIXED_WINDOW_PARTIAL	161507
decode1	ideal	FIXED_WINDOW	32377
decode1	ideal	FIXED_WINDOW_PARTIAL	161237
decode1	paper	FIXED_WINDOW	21659
decode1	paper	FIXED_WINDOW_PARTIAL	161821
prefill	disabled	FIXED_WINDOW	19734
prefill	disabled	FIXED_WINDOW_PARTIAL	150923
prefill	generic	FIXED_WINDOW	872
prefill	generic	FIXED_WINDOW_PARTIAL	152357
prefill	ideal	FIXED_WINDOW	19734
prefill	ideal	FIXED_WINDOW_PARTIAL	150923
prefill	paper	FIXED_WINDOW	8359
prefill	paper	FIXED_WINDOW_PARTIAL	152821
