roi	profile	scope	metric	value	provenance
decode1	disabled	AVG_MF_LATENCY	0	2378      2372       862       848       948       926      1242      1220       884       947       964       961       970       978       946       938	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	1	2460      2500       885       876       976       950      1224      1286       985       976       943       985      1029      1009       972       949	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	10	2536      2536       911       893      1008       990      1359      1338       965      1008      1029      1022      1018      1042      1181      1174	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	11	2542      2516       905       894       997       967      1353      1350      1017      1007       983      1017      1060      1040      1116      1133	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	12	2500      2498       903       890       993       964      1291      1280      1012      1009       975      1018      1067      1038      1120      1135	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	13	2502      2535       900       884       986       966      1283      1266       954       995      1016      1011      1005      1025      1152      1129	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	14	2495      2532       892       880       980       951      1277      1271      1003       991       967      1003      1047      1032      1098      1128	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	15	2494      2490       899       884       989       969      1271      1262       951       994      1014      1005      1016      1024      1157      1136	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	2	2488      2524       887       872       979       959      1207      1186       935       974       995       985       995      1012       968       961	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	3	2483      2468       880       871       978       952      1265      1211       977       969       935       977      1024      1003       964       942	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	4	2796      2734       889       877       976       949      1208      1200       984       976       954       982      1029      1013       990       974	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	5	2725      2741       879       865       963       944      1197      1187       913       969       987       977       988      1001       964       953	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	6	2819      2797       888       876       980       956      1196      1190       983       977       939       982      1030      1011       988       967	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	7	2771      2729       891       877       992       970      1207      1192       920       974       994       984       997      1007       975       963	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	8	2495      2476       886       869       980       964      1236      1219       927       967       992       981       979      1008      1007      1002	existing_gpgpu_sim_stat
decode1	disabled	AVG_MF_LATENCY	9	2507      2519       878       870       971       942      1178      1228       977       969       945       978      1025      1001       983       960	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	average row locality	32301550/4997782 = 6.463177	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	averagemflatency	630	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	avg_icnt2mem_latency	208	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	avg_icnt2sh_latency	61	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	avg_mrq_latency	34	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	max_icnt2mem_latency	3990	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	max_icnt2sh_latency	888	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	maxmflatency	4633	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	maxmrqlatency	1920	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	total dram reads	31979218	existing_gpgpu_sim_stat
decode1	disabled	GLOBAL	total dram writes	1289178	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	0	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	1	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	10	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	11	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	12	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	13	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	14	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	15	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	2	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	3	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	4	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	5	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	6	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	7	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	8	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_CONCURRENT_SAME_ROW	9	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	0	3768      3839      3980      3780      3896      3733      3930      3867      3953      3951      3852      3747      3870      3819      4226      3700	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	1	4210      4346      4323      4009      4091      3979      4187      3807      4252      3693      4116      4108      4633      4191      4283      4219	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	10	3909      4006      3954      3881      3868      3941      4005      3911      3897      3901      3954      3879      4036      4033      3881      3904	existing_gpgpu_sim_stat
