roi	profile	incoming_class	victim_class	count
decode1	disabled	DATA_KV_CACHE	DATA_KV_CACHE	1
decode1	disabled	DATA_KV_CACHE	DATA_UNKNOWN	9761
decode1	disabled	DATA_KV_CACHE	DATA_WEIGHT	1758
decode1	disabled	DATA_KV_CACHE	OTHER	0
decode1	disabled	DATA_KV_CACHE	PTE_L0	0
decode1	disabled	DATA_KV_CACHE	PTE_L1	0
decode1	disabled	DATA_KV_CACHE	PTE_L2	0
decode1	disabled	DATA_KV_CACHE	PTE_L3	0
decode1	disabled	DATA_UNKNOWN	DATA_KV_CACHE	31034
decode1	disabled	DATA_UNKNOWN	DATA_UNKNOWN	392187
decode1	disabled	DATA_UNKNOWN	DATA_WEIGHT	3245646
decode1	disabled	DATA_UNKNOWN	OTHER	0
decode1	disabled	DATA_UNKNOWN	PTE_L0	0
decode1	disabled	DATA_UNKNOWN	PTE_L1	0
decode1	disabled	DATA_UNKNOWN	PTE_L2	0
decode1	disabled	DATA_UNKNOWN	PTE_L3	0
decode1	disabled	DATA_WEIGHT	DATA_KV_CACHE	4087
decode1	disabled	DATA_WEIGHT	DATA_UNKNOWN	3735302
decode1	disabled	DATA_WEIGHT	DATA_WEIGHT	550241
decode1	disabled	DATA_WEIGHT	OTHER	0
decode1	disabled	DATA_WEIGHT	PTE_L0	0
decode1	disabled	DATA_WEIGHT	PTE_L1	0
decode1	disabled	DATA_WEIGHT	PTE_L2	0
decode1	disabled	DATA_WEIGHT	PTE_L3	0
decode1	disabled	OTHER	DATA_KV_CACHE	0
decode1	disabled	OTHER	DATA_UNKNOWN	0
decode1	disabled	OTHER	DATA_WEIGHT	0
decode1	disabled	OTHER	OTHER	0
decode1	disabled	OTHER	PTE_L0	0
decode1	disabled	OTHER	PTE_L1	0
decode1	disabled	OTHER	PTE_L2	0
decode1	disabled	OTHER	PTE_L3	0
decode1	disabled	PTE_L0	DATA_KV_CACHE	0
decode1	disabled	PTE_L0	DATA_UNKNOWN	0
decode1	disabled	PTE_L0	DATA_WEIGHT	0
decode1	disabled	PTE_L0	OTHER	0
decode1	disabled	PTE_L0	PTE_L0	0
decode1	disabled	PTE_L0	PTE_L1	0
decode1	disabled	PTE_L0	PTE_L2	0
decode1	disabled	PTE_L0	PTE_L3	0
decode1	disabled	PTE_L1	DATA_KV_CACHE	0
decode1	disabled	PTE_L1	DATA_UNKNOWN	0
decode1	disabled	PTE_L1	DATA_WEIGHT	0
decode1	disabled	PTE_L1	OTHER	0
decode1	disabled	PTE_L1	PTE_L0	0
decode1	disabled	PTE_L1	PTE_L1	0
decode1	disabled	PTE_L1	PTE_L2	0
decode1	disabled	PTE_L1	PTE_L3	0
decode1	disabled	PTE_L2	DATA_KV_CACHE	0
decode1	disabled	PTE_L2	DATA_UNKNOWN	0
decode1	disabled	PTE_L2	DATA_WEIGHT	0
decode1	disabled	PTE_L2	OTHER	0
decode1	disabled	PTE_L2	PTE_L0	0
decode1	disabled	PTE_L2	PTE_L1	0
decode1	disabled	PTE_L2	PTE_L2	0
decode1	disabled	PTE_L2	PTE_L3	0
decode1	disabled	PTE_L3	DATA_KV_CACHE	0
decode1	disabled	PTE_L3	DATA_UNKNOWN	0
decode1	disabled	PTE_L3	DATA_WEIGHT	0
decode1	disabled	PTE_L3	OTHER	0
decode1	disabled	PTE_L3	PTE_L0	0
decode1	disabled	PTE_L3	PTE_L1	0
decode1	disabled	PTE_L3	PTE_L2	0
decode1	disabled	PTE_L3	PTE_L3	0
decode1	generic	DATA_KV_CACHE	DATA_KV_CACHE	0
decode1	generic	DATA_KV_CACHE	DATA_UNKNOWN	20805
decode1	generic	DATA_KV_CACHE	DATA_WEIGHT	896
decode1	generic	DATA_KV_CACHE	OTHER	0
decode1	generic	DATA_KV_CACHE	PTE_L0	0
decode1	generic	DATA_KV_CACHE	PTE_L1	0
decode1	generic	DATA_KV_CACHE	PTE_L2	0
decode1	generic	DATA_KV_CACHE	PTE_L3	3
decode1	generic	DATA_UNKNOWN	DATA_KV_CACHE	30353
decode1	generic	DATA_UNKNOWN	DATA_UNKNOWN	404050
decode1	generic	DATA_UNKNOWN	DATA_WEIGHT	3297311
decode1	generic	DATA_UNKNOWN	OTHER	0
decode1	generic	DATA_UNKNOWN	PTE_L0	1
decode1	generic	DATA_UNKNOWN	PTE_L1	2
decode1	generic	DATA_UNKNOWN	PTE_L2	4
decode1	generic	DATA_UNKNOWN	PTE_L3	512
decode1	generic	DATA_WEIGHT	DATA_KV_CACHE	260
decode1	generic	DATA_WEIGHT	DATA_UNKNOWN	4072624
decode1	generic	DATA_WEIGHT	DATA_WEIGHT	153573
decode1	generic	DATA_WEIGHT	OTHER	0
decode1	generic	DATA_WEIGHT	PTE_L0	0
decode1	generic	DATA_WEIGHT	PTE_L1	0
decode1	generic	DATA_WEIGHT	PTE_L2	14
decode1	generic	DATA_WEIGHT	PTE_L3	553
decode1	generic	OTHER	DATA_KV_CACHE	0
decode1	generic	OTHER	DATA_UNKNOWN	0
decode1	generic	OTHER	DATA_WEIGHT	0
decode1	generic	OTHER	OTHER	0
decode1	generic	OTHER	PTE_L0	0
decode1	generic	OTHER	PTE_L1	0
decode1	generic	OTHER	PTE_L2	0
decode1	generic	OTHER	PTE_L3	0
decode1	generic	PTE_L0	DATA_KV_CACHE	0
decode1	generic	PTE_L0	DATA_UNKNOWN	1
decode1	generic	PTE_L0	DATA_WEIGHT	0
decode1	generic	PTE_L0	OTHER	0
decode1	generic	PTE_L0	PTE_L0	0
decode1	generic	PTE_L0	PTE_L1	0
decode1	generic	PTE_L0	PTE_L2	0
decode1	generic	PTE_L0	PTE_L3	0
decode1	generic	PTE_L1	DATA_KV_CACHE	0
decode1	generic	PTE_L1	DATA_UNKNOWN	1
decode1	generic	PTE_L1	DATA_WEIGHT	0
decode1	generic	PTE_L1	OTHER	0
decode1	generic	PTE_L1	PTE_L0	0
decode1	generic	PTE_L1	PTE_L1	0
decode1	generic	PTE_L1	PTE_L2	0
decode1	generic	PTE_L1	PTE_L3	0
decode1	generic	PTE_L2	DATA_KV_CACHE	0
decode1	generic	PTE_L2	DATA_UNKNOWN	16
decode1	generic	PTE_L2	DATA_WEIGHT	14
decode1	generic	PTE_L2	OTHER	0
decode1	generic	PTE_L2	PTE_L0	0
decode1	generic	PTE_L2	PTE_L1	0
decode1	generic	PTE_L2	PTE_L2	0
decode1	generic	PTE_L2	PTE_L3	0
decode1	generic	PTE_L3	DATA_KV_CACHE	47
decode1	generic	PTE_L3	DATA_UNKNOWN	649
decode1	generic	PTE_L3	DATA_WEIGHT	426
decode1	generic	PTE_L3	OTHER	0
decode1	generic	PTE_L3	PTE_L0	0
decode1	generic	PTE_L3	PTE_L1	0
decode1	generic	PTE_L3	PTE_L2	0
decode1	generic	PTE_L3	PTE_L3	1
decode1	ideal	DATA_KV_CACHE	DATA_KV_CACHE	1
decode1	ideal	DATA_KV_CACHE	DATA_UNKNOWN	9761
decode1	ideal	DATA_KV_CACHE	DATA_WEIGHT	1758
decode1	ideal	DATA_KV_CACHE	OTHER	0
decode1	ideal	DATA_KV_CACHE	PTE_L0	0
decode1	ideal	DATA_KV_CACHE	PTE_L1	0
decode1	ideal	DATA_KV_CACHE	PTE_L2	0
decode1	ideal	DATA_KV_CACHE	PTE_L3	0
decode1	ideal	DATA_UNKNOWN	DATA_KV_CACHE	31034
decode1	ideal	DATA_UNKNOWN	DATA_UNKNOWN	392187
decode1	ideal	DATA_UNKNOWN	DATA_WEIGHT	3245646
decode1	ideal	DATA_UNKNOWN	OTHER	0
decode1	ideal	DATA_UNKNOWN	PTE_L0	0
decode1	ideal	DATA_UNKNOWN	PTE_L1	0
decode1	ideal	DATA_UNKNOWN	PTE_L2	0
decode1	ideal	DATA_UNKNOWN	PTE_L3	0
decode1	ideal	DATA_WEIGHT	DATA_KV_CACHE	4087
