field	value
recorded_utc	2026-09-08T04:54:14Z
handoff	A_V6_CONTROLLED_SUPERVISOR_HANDOFF_AND_C4_CLOSEOUT
old_v6_supervisor_pid	651573
old_v6_exit_signal	TERM
old_v6_term_utc	2026-09-08T04:53:55Z
old_v6_exit	confirmed within 1 second
old_v6_direct_locality_child_at_handoff	NONE (only sleep 985770)
c3_simulator_running	NO
c3_evidence_modified	NO
locality_completed_kernels_before	691/692
locality_structured_rows_before	2073
completed_kernel_indices_sha256	200460d1c6579de0b5f64bc16e9e544ca31fab33bb18729cee96130645433de9
prefill_locality_tsv	/workspace/m4c-c4-final-inputs-20260908-v3/offline/prefill_locality.tsv
prefill_locality_tsv_sha256	cb7d6626d15ac54eced2ac7b57b6a71fe50fe0fac769730b5c68231d4685f8fa
prefill_locality_db	/workspace/m4c-c4-final-inputs-20260908-v3/offline/prefill_locality.sqlite
prefill_locality_db_size_bytes	406786048
prefill_locality_db_sha256	7a904785cc50969cb89322421689e45d2fa331a37d0d6f77a63d1d39853abece
final_semantic_kernel_index	691
final_trace_filename	kernel-1458-ctx_0x55f2413c4de0.traceg.xz
final_trace_sha256	4490fb695e82588066c8337b0a4beb10be543bd856c7bc5a76abee6e1772116d
kernel_list_sha256	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
object_map_sha256	7ec6e868f8190ba6493124cb518753ccc7d14cbbd2ad169777cac9fbd6742a85
final_builder_watcher_pid	693439
final_builder_watcher_state	waiting on old V6; expected to self-exit on partial-locality validation after the authorized V6 TERM
new_framework_head	d440f6806459219f3f45b4b8893b02e2194b27f8
dynamic_gate_commit	c02a7bff8e6f1bb46827dac02dc6d78c8693fbb0
new_analyzer_sha256	ad176a99f4d119ddaf4f030409447d396f2d9485d63b7afc32616ff54f13af5f
new_supervisor_sha256	d607bf20ec5a7b615d962580402748e36442cd8b4566a6a3e5cd3c27306d764d
host_memavailable_gib	141.592
host_memory_psi_full_avg10	0.00
host_io_psi_full_avg10	0.01
host_pswpin_pages	2974189
host_pswpout_pages	8733622
host_oom_kill	212
post_old_v6_exit_db_sha256	7a904785cc50969cb89322421689e45d2fa331a37d0d6f77a63d1d39853abece
post_old_v6_exit_tsv_sha256	cb7d6626d15ac54eced2ac7b57b6a71fe50fe0fac769730b5c68231d4685f8fa
resume_state_preserved_after_old_v6_exit	YES
old_finalizer_partial_validation	FAILED as expected: prefill missing_rows=3
old_finalizer_partial_output_action	MOVED (not deleted) to /workspace/m4c-c4-final-inputs-20260908-v3/failed_attempts/20260908T045514Z_partial_locality_builder
old_finalizer_partial_output_used_as_evidence	NO
