stage	relative_path	sha256
C4	C3_SUMMARY.tsv	6f7538f62a85e5489d54e08eaa41ffaf3aa2012730b2261ab1d832019b5158a4
C4	failed_attempts/20260908T045514Z_partial_locality_builder/BASELINE_CONFIG_MATRIX.tsv	bc4080146915b74575e0e634110a5ec9a02a164149fb6a5fc0a033df565530ec
C4	failed_attempts/20260908T045514Z_partial_locality_builder/C3_RUNTIME_PROVENANCE.tsv	e1e94fb676221a4da2985bae03573da6330a611991f35542a9ec1415c3a18fe1
C4	failed_attempts/20260908T045514Z_partial_locality_builder/CROSS_LAYER_TRANSLATION_L1D_L2.tsv	3a37cd53a1deb0b78b467225d85decb1710c0de410cd4865f46367be23f7c1e9
C4	failed_attempts/20260908T045514Z_partial_locality_builder/DATA_L2_REPLACEMENT_MATRIX.tsv	995daad073a0682a0df99f39ef56411e19e64ed25868673b77da4da355633303
C4	failed_attempts/20260908T045514Z_partial_locality_builder/DRAM_CLASS_SUMMARY.tsv	f7768b21cc207b51bba4dddfca2e0684019a86c1f1ff5ca15ec57d751cb0ed1e
C4	failed_attempts/20260908T045514Z_partial_locality_builder/FORMAL_CONFIG_PROVENANCE.tsv	bc4080146915b74575e0e634110a5ec9a02a164149fb6a5fc0a033df565530ec
C4	failed_attempts/20260908T045514Z_partial_locality_builder/FORMAL_RUN_MATRIX.tsv	b799b95171bd2a52c1ed30f0866a97491ce47efadfbd4e12774b492db52e757a
C4	failed_attempts/20260908T045514Z_partial_locality_builder/L1D_L2_OBJECT_SUMMARY.tsv	2e2c911b1f009d92aae2b48ce86038de852c9110dc8e07583d4964eaeb7625af
C4	failed_attempts/20260908T045514Z_partial_locality_builder/L2_QUEUE_PRESSURE_SUMMARY.tsv	e19bb674cfa7236c6e2de7669cd559e6c19e41a53c1333ff1bde4457683915d0
C4	failed_attempts/20260908T045514Z_partial_locality_builder/L2_TLB_REPLACEMENT_MATRIX.tsv	327221bd2b7399e92662d5a19e7c88f6ccde11a40aeff6955d96844040df4a00
C4	failed_attempts/20260908T045514Z_partial_locality_builder/LATENCY_SUMMARY.tsv	87f80ba1bee4e62aa25509152459635e723cc368b08f3f20d25c7f321fc698ea
C4	failed_attempts/20260908T045514Z_partial_locality_builder/NATIVE_DRAM_MEMORY_SYSTEM_STATS.tsv	31c5f5e3f5cda6ff08489f784b0f73e08bf7a9434475c09a610739aa7027f414
C4	failed_attempts/20260908T045514Z_partial_locality_builder/OBJECT_VM_STATS.tsv	6c7dca0903aba9bc22f35b53dfd5f8dee29dabdd34672321c4d6de5a47565b69
C4	failed_attempts/20260908T045514Z_partial_locality_builder/PERFORMANCE_SUMMARY.tsv	fe516eee0bbc91ec582be2395aacb5f916e5a2609c8c93072cf48119b36a11b1
