roi	profile	incoming_object	victim_object	count
decode1	generic	KV_CACHE	KV_CACHE	0
decode1	generic	KV_CACHE	UNKNOWN	0
decode1	generic	KV_CACHE	WEIGHT	86
decode1	generic	UNKNOWN	KV_CACHE	0
decode1	generic	UNKNOWN	UNKNOWN	1
decode1	generic	UNKNOWN	WEIGHT	98
decode1	generic	WEIGHT	KV_CACHE	109
decode1	generic	WEIGHT	UNKNOWN	138
decode1	generic	WEIGHT	WEIGHT	14494
decode1	paper	KV_CACHE	KV_CACHE	0
decode1	paper	KV_CACHE	UNKNOWN	0
decode1	paper	KV_CACHE	WEIGHT	86
decode1	paper	UNKNOWN	KV_CACHE	1
decode1	paper	UNKNOWN	UNKNOWN	0
decode1	paper	UNKNOWN	WEIGHT	98
decode1	paper	WEIGHT	KV_CACHE	108
decode1	paper	WEIGHT	UNKNOWN	136
decode1	paper	WEIGHT	WEIGHT	14494
prefill	generic	KV_CACHE	KV_CACHE	22
prefill	generic	KV_CACHE	UNKNOWN	83
prefill	generic	KV_CACHE	WEIGHT	57
prefill	generic	UNKNOWN	KV_CACHE	32
prefill	generic	UNKNOWN	UNKNOWN	3890
prefill	generic	UNKNOWN	WEIGHT	2950
prefill	generic	WEIGHT	KV_CACHE	158
prefill	generic	WEIGHT	UNKNOWN	2542
prefill	generic	WEIGHT	WEIGHT	12281
prefill	paper	KV_CACHE	KV_CACHE	15
prefill	paper	KV_CACHE	UNKNOWN	62
prefill	paper	KV_CACHE	WEIGHT	59
prefill	paper	UNKNOWN	KV_CACHE	32
prefill	paper	UNKNOWN	UNKNOWN	2412
prefill	paper	UNKNOWN	WEIGHT	2670
prefill	paper	WEIGHT	KV_CACHE	139
prefill	paper	WEIGHT	UNKNOWN	2288
prefill	paper	WEIGHT	WEIGHT	12552
