arm	roi	profile	artifact_path	sha256
decode1-disabled	decode1	disabled	/workspace/m4c-c3-formal-20260905-v1/decode1-disabled/gpgpusim.config	3ea599e3064acc29459ea816af10168cbe54c963f633e22a7c1f44775e7a5fda
decode1-disabled	decode1	disabled	/workspace/m4c-c3-formal-20260905-v1/decode1-disabled/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-disabled	decode1	disabled	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/decode1-semantic/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-disabled	decode1	disabled	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_CONTROL_VM_DISABLED.config	77574cac02f0ad478ad0910de72839309a6efb70f62006aab794cc94613d456f
decode1-disabled	decode1	disabled	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	b1dd8745d5a9fd418d03c4bab82627d820c161b6f990f913e6f90583e72e3340
decode1-disabled	decode1	disabled	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
decode1-disabled	decode1	disabled	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
decode1-ideal	decode1	ideal	/workspace/m4c-c3-formal-20260905-v1/decode1-ideal/gpgpusim.config	174600e662eeec81e8a12125aef8e91fcd927a128439ece40c37dd03dafcf600
decode1-ideal	decode1	ideal	/workspace/m4c-c3-formal-20260905-v1/decode1-ideal/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-ideal	decode1	ideal	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/decode1-semantic/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-ideal	decode1	ideal	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_CONTROL_VM_IDEAL_IDENTITY.config	c7f9f6582a40719a21d7969fc039405ce49961134b0ffc1ffa03b02afa7ec2e1
decode1-ideal	decode1	ideal	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	b1dd8745d5a9fd418d03c4bab82627d820c161b6f990f913e6f90583e72e3340
decode1-ideal	decode1	ideal	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
decode1-ideal	decode1	ideal	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
decode1-generic	decode1	generic	/workspace/m4c-c3-formal-20260905-v1/decode1-generic/gpgpusim.config	cc8910c43cb4836ccd8877fd397a8a1db65a24d19dd0353ecc824e2bbb3ad166
decode1-generic	decode1	generic	/workspace/m4c-c3-formal-20260905-v1/decode1-generic/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-generic	decode1	generic	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/decode1-semantic/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-generic	decode1	generic	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	13e3952bda1b9390419388ce81b296785bc0b1200e3755922eb6ff0b2ac52caa
decode1-generic	decode1	generic	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	b1dd8745d5a9fd418d03c4bab82627d820c161b6f990f913e6f90583e72e3340
decode1-generic	decode1	generic	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
decode1-generic	decode1	generic	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
decode1-paper	decode1	paper	/workspace/m4c-c3-formal-20260905-v1/decode1-paper/gpgpusim.config	5a23b17752d7670e730e2dae7545cd48174c49744867037bd0648d8bf09b3232
decode1-paper	decode1	paper	/workspace/m4c-c3-formal-20260905-v1/decode1-paper/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-paper	decode1	paper	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/decode1-semantic/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1-paper	decode1	paper	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_PAPER_PLATFORM_SHELL_NO_SUBENTRY.config	08fc1543e5804b75b7fa660521c9786bd84cc1cc49b7a652cfc6bbe3639b1ba9
decode1-paper	decode1	paper	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	b1dd8745d5a9fd418d03c4bab82627d820c161b6f990f913e6f90583e72e3340
decode1-paper	decode1	paper	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
decode1-paper	decode1	paper	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
prefill-disabled	prefill	disabled	/workspace/m4c-c3-formal-20260905-v1/prefill-disabled/gpgpusim.config	58ed0c2a6fa2b853bdbd38ea02f6b5ad76e63703d3324208be0136a9c71b3ade
