roi	profile	class	metric	value
decode1	disabled	DATA_KV_CACHE	bytes	3070432
decode1	disabled	DATA_KV_CACHE	read_bytes	3070432
decode1	disabled	DATA_KV_CACHE	read_requests	95951
decode1	disabled	DATA_KV_CACHE	requests	95951
decode1	disabled	DATA_KV_CACHE	write_bytes	0
decode1	disabled	DATA_KV_CACHE	write_requests	0
decode1	disabled	DATA_UNKNOWN	bytes	764267200
decode1	disabled	DATA_UNKNOWN	read_bytes	723013504
decode1	disabled	DATA_UNKNOWN	read_requests	22594172
decode1	disabled	DATA_UNKNOWN	requests	22916504
decode1	disabled	DATA_UNKNOWN	write_bytes	41253696
decode1	disabled	DATA_UNKNOWN	write_requests	322332
decode1	disabled	DATA_WEIGHT	bytes	297251040
decode1	disabled	DATA_WEIGHT	read_bytes	297251040
decode1	disabled	DATA_WEIGHT	read_requests	9289095
decode1	disabled	DATA_WEIGHT	requests	9289095
decode1	disabled	DATA_WEIGHT	write_bytes	0
decode1	disabled	DATA_WEIGHT	write_requests	0
decode1	disabled	OTHER	bytes	0
decode1	disabled	OTHER	read_bytes	0
decode1	disabled	OTHER	read_requests	0
decode1	disabled	OTHER	requests	0
decode1	disabled	OTHER	write_bytes	0
decode1	disabled	OTHER	write_requests	0
decode1	disabled	PTE_L0	bytes	0
decode1	disabled	PTE_L0	read_bytes	0
decode1	disabled	PTE_L0	read_requests	0
decode1	disabled	PTE_L0	requests	0
decode1	disabled	PTE_L0	write_bytes	0
decode1	disabled	PTE_L0	write_requests	0
decode1	disabled	PTE_L1	bytes	0
decode1	disabled	PTE_L1	read_bytes	0
decode1	disabled	PTE_L1	read_requests	0
decode1	disabled	PTE_L1	requests	0
decode1	disabled	PTE_L1	write_bytes	0
decode1	disabled	PTE_L1	write_requests	0
decode1	disabled	PTE_L2	bytes	0
decode1	disabled	PTE_L2	read_bytes	0
decode1	disabled	PTE_L2	read_requests	0
decode1	disabled	PTE_L2	requests	0
decode1	disabled	PTE_L2	write_bytes	0
decode1	disabled	PTE_L2	write_requests	0
decode1	disabled	PTE_L3	bytes	0
decode1	disabled	PTE_L3	read_bytes	0
decode1	disabled	PTE_L3	read_requests	0
decode1	disabled	PTE_L3	requests	0
decode1	disabled	PTE_L3	write_bytes	0
decode1	disabled	PTE_L3	write_requests	0
decode1	generic	DATA_KV_CACHE	bytes	2979072
decode1	generic	DATA_KV_CACHE	read_bytes	2979072
decode1	generic	DATA_KV_CACHE	read_requests	93096
decode1	generic	DATA_KV_CACHE	requests	93096
decode1	generic	DATA_KV_CACHE	write_bytes	0
decode1	generic	DATA_KV_CACHE	write_requests	0
decode1	generic	DATA_UNKNOWN	bytes	809947488
decode1	generic	DATA_UNKNOWN	read_bytes	768710304
decode1	generic	DATA_UNKNOWN	read_requests	24022197
decode1	generic	DATA_UNKNOWN	requests	24344400
decode1	generic	DATA_UNKNOWN	write_bytes	41237184
decode1	generic	DATA_UNKNOWN	write_requests	322203
decode1	generic	DATA_WEIGHT	bytes	253044512
decode1	generic	DATA_WEIGHT	read_bytes	253044512
decode1	generic	DATA_WEIGHT	read_requests	7907641
decode1	generic	DATA_WEIGHT	requests	7907641
decode1	generic	DATA_WEIGHT	write_bytes	0
decode1	generic	DATA_WEIGHT	write_requests	0
decode1	generic	OTHER	bytes	0
decode1	generic	OTHER	read_bytes	0
decode1	generic	OTHER	read_requests	0
decode1	generic	OTHER	requests	0
decode1	generic	OTHER	write_bytes	0
decode1	generic	OTHER	write_requests	0
decode1	generic	PTE_L0	bytes	64
decode1	generic	PTE_L0	read_bytes	64
decode1	generic	PTE_L0	read_requests	2
decode1	generic	PTE_L0	requests	2
decode1	generic	PTE_L0	write_bytes	0
decode1	generic	PTE_L0	write_requests	0
decode1	generic	PTE_L1	bytes	96
decode1	generic	PTE_L1	read_bytes	96
decode1	generic	PTE_L1	read_requests	3
decode1	generic	PTE_L1	requests	3
decode1	generic	PTE_L1	write_bytes	0
decode1	generic	PTE_L1	write_requests	0
decode1	generic	PTE_L2	bytes	1152
decode1	generic	PTE_L2	read_bytes	1152
decode1	generic	PTE_L2	read_requests	36
decode1	generic	PTE_L2	requests	36
decode1	generic	PTE_L2	write_bytes	0
decode1	generic	PTE_L2	write_requests	0
decode1	generic	PTE_L3	bytes	129312
decode1	generic	PTE_L3	read_bytes	129312
decode1	generic	PTE_L3	read_requests	4041
decode1	generic	PTE_L3	requests	4041
decode1	generic	PTE_L3	write_bytes	0
decode1	generic	PTE_L3	write_requests	0
decode1	ideal	DATA_KV_CACHE	bytes	3070432
decode1	ideal	DATA_KV_CACHE	read_bytes	3070432
decode1	ideal	DATA_KV_CACHE	read_requests	95951
decode1	ideal	DATA_KV_CACHE	requests	95951
decode1	ideal	DATA_KV_CACHE	write_bytes	0
decode1	ideal	DATA_KV_CACHE	write_requests	0
decode1	ideal	DATA_UNKNOWN	bytes	764267200
decode1	ideal	DATA_UNKNOWN	read_bytes	723013504
decode1	ideal	DATA_UNKNOWN	read_requests	22594172
decode1	ideal	DATA_UNKNOWN	requests	22916504
decode1	ideal	DATA_UNKNOWN	write_bytes	41253696
decode1	ideal	DATA_UNKNOWN	write_requests	322332
decode1	ideal	DATA_WEIGHT	bytes	297251040
decode1	ideal	DATA_WEIGHT	read_bytes	297251040
decode1	ideal	DATA_WEIGHT	read_requests	9289095
decode1	ideal	DATA_WEIGHT	requests	9289095
decode1	ideal	DATA_WEIGHT	write_bytes	0
decode1	ideal	DATA_WEIGHT	write_requests	0
decode1	ideal	OTHER	bytes	0
decode1	ideal	OTHER	read_bytes	0
decode1	ideal	OTHER	read_requests	0
decode1	ideal	OTHER	requests	0
decode1	ideal	OTHER	write_bytes	0
decode1	ideal	OTHER	write_requests	0
decode1	ideal	PTE_L0	bytes	0
decode1	ideal	PTE_L0	read_bytes	0
decode1	ideal	PTE_L0	read_requests	0
decode1	ideal	PTE_L0	requests	0
decode1	ideal	PTE_L0	write_bytes	0
decode1	ideal	PTE_L0	write_requests	0
decode1	ideal	PTE_L1	bytes	0
decode1	ideal	PTE_L1	read_bytes	0
decode1	ideal	PTE_L1	read_requests	0
decode1	ideal	PTE_L1	requests	0
decode1	ideal	PTE_L1	write_bytes	0
decode1	ideal	PTE_L1	write_requests	0
decode1	ideal	PTE_L2	bytes	0
decode1	ideal	PTE_L2	read_bytes	0
decode1	ideal	PTE_L2	read_requests	0
decode1	ideal	PTE_L2	requests	0
decode1	ideal	PTE_L2	write_bytes	0
decode1	ideal	PTE_L2	write_requests	0
decode1	ideal	PTE_L3	bytes	0
decode1	ideal	PTE_L3	read_bytes	0
decode1	ideal	PTE_L3	read_requests	0
decode1	ideal	PTE_L3	requests	0
decode1	ideal	PTE_L3	write_bytes	0
decode1	ideal	PTE_L3	write_requests	0
decode1	paper	DATA_KV_CACHE	bytes	3267904
decode1	paper	DATA_KV_CACHE	read_bytes	3267904
decode1	paper	DATA_KV_CACHE	read_requests	102122
decode1	paper	DATA_KV_CACHE	requests	102122
decode1	paper	DATA_KV_CACHE	write_bytes	0
decode1	paper	DATA_KV_CACHE	write_requests	0
decode1	paper	DATA_UNKNOWN	bytes	807134368
decode1	paper	DATA_UNKNOWN	read_bytes	765606400
decode1	paper	DATA_UNKNOWN	read_requests	23925200
decode1	paper	DATA_UNKNOWN	requests	24250091
decode1	paper	DATA_UNKNOWN	write_bytes	41527968
decode1	paper	DATA_UNKNOWN	write_requests	324891
decode1	paper	DATA_WEIGHT	bytes	257526272
decode1	paper	DATA_WEIGHT	read_bytes	257526272
decode1	paper	DATA_WEIGHT	read_requests	8047696
decode1	paper	DATA_WEIGHT	requests	8047696
decode1	paper	DATA_WEIGHT	write_bytes	0
decode1	paper	DATA_WEIGHT	write_requests	0
decode1	paper	OTHER	bytes	0
decode1	paper	OTHER	read_bytes	0
decode1	paper	OTHER	read_requests	0
decode1	paper	OTHER	requests	0
decode1	paper	OTHER	write_bytes	0
decode1	paper	OTHER	write_requests	0
decode1	paper	PTE_L0	bytes	64
decode1	paper	PTE_L0	read_bytes	64
decode1	paper	PTE_L0	read_requests	2
decode1	paper	PTE_L0	requests	2
decode1	paper	PTE_L0	write_bytes	0
decode1	paper	PTE_L0	write_requests	0
decode1	paper	PTE_L1	bytes	96
decode1	paper	PTE_L1	read_bytes	96
decode1	paper	PTE_L1	read_requests	3
decode1	paper	PTE_L1	requests	3
decode1	paper	PTE_L1	write_bytes	0
decode1	paper	PTE_L1	write_requests	0
decode1	paper	PTE_L2	bytes	1152
decode1	paper	PTE_L2	read_bytes	1152
decode1	paper	PTE_L2	read_requests	36
decode1	paper	PTE_L2	requests	36
decode1	paper	PTE_L2	write_bytes	0
decode1	paper	PTE_L2	write_requests	0
decode1	paper	PTE_L3	bytes	129888
decode1	paper	PTE_L3	read_bytes	129888
decode1	paper	PTE_L3	read_requests	4059
decode1	paper	PTE_L3	requests	4059
decode1	paper	PTE_L3	write_bytes	0
decode1	paper	PTE_L3	write_requests	0
prefill	disabled	DATA_KV_CACHE	bytes	125408
prefill	disabled	DATA_KV_CACHE	read_bytes	125408
prefill	disabled	DATA_KV_CACHE	read_requests	3919
prefill	disabled	DATA_KV_CACHE	requests	3919
prefill	disabled	DATA_KV_CACHE	write_bytes	0
prefill	disabled	DATA_KV_CACHE	write_requests	0
prefill	disabled	DATA_UNKNOWN	bytes	3401233824
prefill	disabled	DATA_UNKNOWN	read_bytes	2369043232
prefill	disabled	DATA_UNKNOWN	read_requests	74032601
prefill	disabled	DATA_UNKNOWN	requests	82096590
