roi	profile	object_class	translation_source	l1d_outcome	l2_outcome	record_scope	count
decode1	disabled	DATA_KV_CACHE	VM_DISABLED	HIT	NA	L1_ONLY	167
decode1	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	HIT	L1_L2	468136
decode1	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	MISS	L1_L2	226824
decode1	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	NA	L1_ONLY	760073
decode1	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	RESERVATION_FAIL	L1_L2	8710
decode1	disabled	DATA_KV_CACHE	VM_DISABLED	RESERVATION_FAIL	NA	L1_ONLY	423442
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	HIT	HIT	L1_L2	18
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	18765618
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	4103204
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	11538924
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	46367678
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	935342
decode1	disabled	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	22151403
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	HIT	HIT	L1_L2	237
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	HIT	NA	L1_ONLY	11328302
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	HIT	L1_L2	20916074
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	MISS	L1_L2	410332
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	NA	L1_ONLY	54617537
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	RESERVATION_FAIL	L1_L2	617331
decode1	disabled	DATA_UNKNOWN	VM_DISABLED	RESERVATION_FAIL	NA	L1_ONLY	7384656
decode1	disabled	DATA_WEIGHT	VM_DISABLED	HIT	NA	L1_ONLY	448
decode1	disabled	DATA_WEIGHT	VM_DISABLED	MISS	HIT	L1_L2	10142
decode1	disabled	DATA_WEIGHT	VM_DISABLED	MISS	MISS	L1_L2	3547563
decode1	disabled	DATA_WEIGHT	VM_DISABLED	MISS	NA	L1_ONLY	3557705
decode1	disabled	DATA_WEIGHT	VM_DISABLED	MISS	RESERVATION_FAIL	L1_L2	164993
decode1	disabled	DATA_WEIGHT	VM_DISABLED	RESERVATION_FAIL	NA	L1_ONLY	10838146
decode1	generic	DATA_KV_CACHE	L1_TLB_HIT	HIT	NA	L1_ONLY	40483
decode1	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	HIT	L1_L2	468739
decode1	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	MISS	L1_L2	218549
decode1	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	NA	L1_ONLY	709265
decode1	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	4194
decode1	generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	HIT	L1_L2	723
decode1	generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	MISS	L1_L2	7675
decode1	generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	NA	L1_ONLY	8398
