audit_status,class,core_commit,cycles,framework_commit,input,instructions,ipc,l2_accesses,l2_hit_rate,l2_hits,l2_misses,l2_read_accesses,l2_write_accesses,reason,slice_records,standard_data_port_util,standard_fill_port_util,suite,wb_bytes,wb_requests,window_records,workload
PASS,reference,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,2053723,66718540a473139efc6de984316e5ffb2c8e3e89,NO_ARGS,9378024,4.566352911273818,237315,0.016130459515833386,3828,233487,7936,229379,,64,0.0,0.0,Accel-Sim ubench,1180416,9222,26368,mem_lat
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,9032,d615005dc57e12a70e3f46c46492a256a59f96e2,NO_ARGS,13830125,1531.2361603188663,62500,0.0,0,62500,37500,25000,production:fill_port_busy_sampling_mismatch,64,0.0,0.065,CUDA SDK,0,0,128,BlackScholes
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,171722,66718540a473139efc6de984316e5ffb2c8e3e89,"logK=11,logD=19",180944896,1053.7082959667368,2162688,0.9393939393939394,2031616,131072,1114112,1048576,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch;causal:respq_block_without_sampled_draml2q_full,64,0.185,0.012,CUDA SDK,0,0,2624,fastWalshTransform_11_19
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,330852,66718540a473139efc6de984316e5ffb2c8e3e89,size=13920,730610912,2208.271106113912,3577440,0.003404669260700389,12180,3565260,3563520,13920,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch,64,0.001,0.168,CUDA SDK,51264,433,4288,scalarProd_13920
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,200294,66718540a473139efc6de984316e5ffb2c8e3e89,size=8192,430022656,2146.957252838328,2105344,0.003404669260700389,7168,2098176,2097152,8192,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch,64,0.001,0.164,CUDA SDK,28160,220,2624,scalarProd_8192
PASS,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,76397,d615005dc57e12a70e3f46c46492a256a59f96e2,NO_ARGS,2011008,26.32312787151328,2560,0.8,2048,512,1280,1280,,64,0.0,0.0,CUDA SDK,0,0,1152,sortingNetworks
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,200872,d615005dc57e12a70e3f46c46492a256a59f96e2,512x512,208428288,1037.6174280138596,1867776,0.9649122807017544,1802240,65536,786432,1081344,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch,64,0.14,0.003,CUDA SDK,0,0,3072,transpose
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,78042,66718540a473139efc6de984316e5ffb2c8e3e89,size=4000000,56000000,717.5623382281335,1500000,0.0,0,1500000,1000000,500000,production:fill_port_busy_sampling_mismatch,64,0.053,0.2,CUDA SDK,13641600,106575,1088,vectorAdd_4000000
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,115985,66718540a473139efc6de984316e5ffb2c8e3e89,size=6000000,84000768,724.2382032159331,2250000,0.0,0,2250000,1500000,750000,production:fill_port_busy_sampling_mismatch,64,0.03,0.202,CUDA SDK,21647616,169122,1600,vectorAdd_6000000
FAIL,secondary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,159405,66718540a473139efc6de984316e5ffb2c8e3e89,V100 staged,15867750,99.54361531946928,775476,0.8895517075963666,689826,85913,456387,319089,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch;causal:mshr_merge_block_without_sampled_merge_limit_full;causal:respq_block_without_sampled_draml2q_full,64,0.068,0.008,ISPASS,0,0,2432,ispass_bfs
FAIL,secondary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,86086,66718540a473139efc6de984316e5ffb2c8e3e89,V100 staged,60748800,705.675719629208,411200,0.38782101167315175,159472,260000,281200,130000,production:fill_port_busy_sampling_mismatch,64,0.03,0.024,ISPASS,1604608,15440,1216,ispass_lps
FAIL,secondary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,23397,66718540a473139efc6de984316e5ffb2c8e3e89,V100 staged,43673978,1866.6486301662605,279916,0.3854156246874062,107884,172032,0,279916,production:data_port_busy_sampling_mismatch,64,0.072,0.0,ISPASS,0,0,320,ispass_ray
FAIL,secondary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,546079,66718540a473139efc6de984316e5ffb2c8e3e89,V100 staged,562822213,1030.660789006719,1042432,0.994580941490668,1036783,8192,550400,492032,production:data_port_busy_sampling_mismatch;causal:mshr_merge_block_without_sampled_merge_limit_full,64,0.03,0.0,Pannotia,0,0,8192,fw_block
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,4503371,66718540a473139efc6de984316e5ffb2c8e3e89,NY graph,121542388,26.989201644723476,1603418,0.9569775317478038,1534435,70871,1295394,308024,production:data_port_busy_sampling_mismatch;causal:mshr_merge_block_without_sampled_merge_limit_full,64,0.005,0.0,Parboil,0,0,57984,bfs
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,341444,66718540a473139efc6de984316e5ffb2c8e3e89,32x32x32,1411757056,4134.666463607502,87168,0.7650513950073421,66688,20480,62208,24960,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch,64,0.003,0.001,Parboil,0,0,4544,mri-q
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,114604,66718540a473139efc6de984316e5ffb2c8e3e89,default,157583646,1375.027451048829,470860,0.3449326763793909,162415,312864,142378,328482,production:fill_port_busy_sampling_mismatch,64,0.033,0.005,Parboil,3778208,30121,1600,sad
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,24134,66718540a473139efc6de984316e5ffb2c8e3e89,Dubcova3 large,21131849,875.6049142288887,431087,0.14025243164372853,60461,375432,430978,109,production:data_port_busy_sampling_mismatch;production:fill_port_busy_sampling_mismatch;causal:mshr_merge_block_without_sampled_merge_limit_full,64,0.033,0.243,Parboil,0,0,320,spmv
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,131164,4b56725ce6792f6eb94a20cb918facbe4ec22e9e,mil+command,444467849,3388.6420740447074,1316129,0.6689815360044494,880466,470716,1206129,110000,production:fill_port_busy_sampling_mismatch;causal:mshr_merge_block_without_sampled_merge_limit_full,64,0.096,0.055,Rodinia,157184,1228,1728,btree
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,78057,66718540a473139efc6de984316e5ffb2c8e3e89,fvcorr_097K,143129372,1833.6519722766695,1201952,0.6057105441814649,728035,474180,946928,255024,production:fill_port_busy_sampling_mismatch;causal:respq_block_without_sampled_draml2q_full,64,0.147,0.044,Rodinia,4690944,36648,1216,cfd_097k
FAIL,primary,c71c18a41b9a97eb3e62fce50827faf03b0fdbdc,170339,66718540a473139efc6de984316e5ffb2c8e3e89,1024x1024,148684429,872.8736754354552,1639728,0.2013620551701258,330179,1318440,730416,909312,production:fill_port_busy_sampling_mismatch,64,0.068,0.046,Rodinia,22813184,178228,2432,dwt2d
