suite	workload	input	cohort	round1_decision	historical_runtime	runtime_tier	historical_peak_rss	rss_evidence	current_trace_path	current_asset_family	current_runnable	current_trace_tree_bytes	kernel_count	kernelslist_sha256	same_exact_trace_asset	trace_body_sha_status	trace_tree_sha256	trace_file_count_hashed	historical_result_source	estimated_risk
CUDA SDK	BlackScholes	NO_ARGS	PRIMARY_FULL	RUN	9-10s	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/BlackScholes/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	22319003	1	5b22db0f6bd7897bf91d9554985c0e49afeae77af7f38b0f99ce4727d28fb298	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	10164bacd6fb2cc51a89a3e1b4a0b74a301b7c1d5b33f5eb38f4d2c5b8ed47c4	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	convolutionSeparable	size=3072	PRIMARY_FULL	RUN	20-25m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g	public-pretrace	directly runnable	6844895541	2	ab2290810368438cabf35a3c0fcb9686473aaa2235607a6e2bc0347f651ff484	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	d8bd1809c7a53a391d0c36afaed45a77ec828197ef9a7fa8383b627135d94f3d	2	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	fastWalshTransform_11_19	logK=11,logD=19	PRIMARY_FULL	RUN	3-4m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g	public-pretrace	directly runnable	415269567	16	a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	8151bcf0b2b38f586949c2aa6082d2659835b4ffeef09b370398d18eda146e22	16	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	fastWalshTransform_7_21	logK=7,logD=21	PRIMARY_FULL	RUN	29-59m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g	public-pretrace	directly runnable	1785749388	19	9dfd2639f6660bef2feac69405597380835d4d08f1e0bdb9dd9b2022ed1a0f26	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	477cbf6361e34b6bc947379f722c3561d1603e29abb89264a368db43c006bf3e	19	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	scalarProd_8192	size=8192	PRIMARY_FULL	RUN	5-7m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scalarProd/__size_8192/traces/kernelslist.g	public-pretrace	directly runnable	1195831612	1	d3f8b0c11d03181c5b64661a2d7cc6260a1e7f4308eebf4269db0edf1b85dad2	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	f0022ec308985ddbcfb375c4eb9a3b6b429eadec524b390eabfeb21a98508a8f	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	scalarProd_13920	size=13920	PRIMARY_FULL	RUN	11-17m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scalarProd/__size_13920/traces/kernelslist.g	public-pretrace	directly runnable	2038332010	1	59efe10ca05265f4871e0ad742738f9c621aa301b1dfa42aa3711e0069215560	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	a11eedeb9ba8953c40364eed078f60b218add14aa7ac3b6a261e8bba4502658b	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	scan	NO_ARGS	PRIMARY_FULL	RUN	1h47-3h59	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	5329077632	33	6e8572dff8fa6ff912fce3f834009d2e62ace23e3671d083bd901d42af6bcee8	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	f63a5b17d0cb69194c50e4f98747acfe21e5351e6eaedef9f49a7ca277c95159	33	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	sortingNetworks	NO_ARGS	PRIMARY_FULL	RUN	6-7s	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/sortingNetworks/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	12105952	5	534cfeeee79bd5f2550d4076b9f069b17f3f7164a8a6a31576defe1fdccee720	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	2076618b851ae3f8326bd24ad3dc862b8ead696c5ebded5692a17cd43a7184cd	5	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	transpose	512x512	PRIMARY_FULL	RUN	3-4m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/transpose/dimX512_dimY512/traces/kernelslist.g	public-pretrace	directly runnable	707335590	24	fdc84f940f44351f6a9ad04925f72abc236641f9486a955b0a3c3e758fba9adb	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	ec64b722453108cabc42b9ba69fc4373f85173120e4593b4472d24d3f5f4ec7f	24	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	vectorAdd_4000000	size=4000000	PRIMARY_FULL	RUN	3-6m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g	public-pretrace	directly runnable	103535866	1	755319919723f68f25aa7c64b9bdcaf5699b9aca38e7b664825e81d49f306e9a	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	d2485e316969ba470707deff7850d42f458e05711abc06238f4f3ad54b2ca159	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
CUDA SDK	vectorAdd_6000000	size=6000000	PRIMARY_FULL	RUN	4-8m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_6000000/traces/kernelslist.g	public-pretrace	directly runnable	156021608	1	196b85b78c9a8672600cd9aac4ad8f1ec4b9945c49df3533174a78f4179f8831	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	a070fce8e7fb0da2e22c7cd53aa4549303d2d1b55be933106b5edcb51ea988f7	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Accel-Sim ubench	atomic_add_bw	NO_ARGS	MICROBENCH	UBENCH_ONLY	33-35m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/atomic_add_bw/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	2504381964	1	cda31ef3315d6d14126befeecdee860761d1b7e9bc2d3a9c18c02b35d8b3e498	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	e585d69f8cb97e494f1d6fc902b2dcabda9c9ce7e5b90cd84ecd57dc1dd1f55d	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Accel-Sim ubench	atomic_add_bw_conflict	NO_ARGS	MICROBENCH	UBENCH_ONLY	1h26-1h32	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/atomic_add_bw_conflict/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	2915876364	1	f918ca501e0887c893484d6c415118b613b3086b7826a0484d1cb39af601f3f9	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	a8466b430c5d121e2b9028bd1e93bcbc06aec3a3ec3977c97d2adeab900e9ec9	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Accel-Sim ubench	l2_bw_32f	NO_ARGS	MICROBENCH	UBENCH_ONLY	1h11-1h21	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/l2_bw_32f/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	1369731778	1	0dd0c79dc35d7c630509efa6a3fd0ae8555313627215b2e30705cf4e3b577cf3	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	e5af7cb100d441c31758543f1c38ca6be80dc2fc144a34cb0011e6d7b548bdc9	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Accel-Sim ubench	l2_bw_64f	NO_ARGS	MICROBENCH	UBENCH_ONLY	2h25-2h28	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/l2_bw_64f/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	1393598146	1	ae069f34476ba893c92b3dd5cd74d0fc2c965905e4cdbe05c44595595a5627c9	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	b2ed1421e9058f845ea6f07df5c575e4c7e28baf4cdb63573aea552e951ddf4f	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Accel-Sim ubench	mem_bw	NO_ARGS	MICROBENCH	UBENCH_ONLY	25-43m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/mem_bw/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	121969483	1	52258b5ff2ed7a44e4d1bf5b9bb2dda2346fe32152066ff9e9d297f2d1873a93	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	916541cf99bb3b2b53d129358428e6b9b8ec02eb26c5d69acd50a78ab8f6f50c	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Accel-Sim ubench	mem_lat	NO_ARGS	MICROBENCH	UBENCH_ONLY	2.5-3m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/mem_lat/NO_ARGS/traces/kernelslist.g	public-pretrace	directly runnable	16869674	1	beb03d46bd1f5a6c20fdb34aaaeed37de3fc31e5010ff2c5657a7778e3e9a40c	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	3f73d668756d27e7b3dc7f9e1228570d10030eed921da135f49b43068fb13862	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	cfd_097k	fvcorr_097K	PRIMARY_FULL	RUN	5-6m	LT_1H	1.60GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g	public-pretrace	directly runnable	271744571	5	ce71e70525c6299a6be1bae3790b0eeb0417e1f4608cbd10e706c0a14fdd6b46	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	34eab2f192424580849f7638591c4586e50f532d4ad8b4dc52520486889fc376	5	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	srad_trim	1of40 trim	DERIVED_TRIMMED	SECONDARY_TRIMMED	18m	LT_1H	1.18GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/ccws-baseline-traces/srad_v1_1of40_trim/traces/kernelslist.g	trimmed-derived	directly runnable	531327305	502	2f8045a55fa10cfcb9a6bb1921351cbd8f5cdda00351166a0c5c45f9103d3044	DERIVED_TRACE_NOT_FULL	RECORDED_WAVE1_ONLY	47cbfd4627757e98d32a46c1904d3b4565e0c83107dd73c94c523d94e4c05966	502	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	btree	mil+command	PRIMARY_FULL	RUN	8-14m	LT_1H	0.41GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	public-pretrace	directly runnable	809709439	2	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	69ae3f04de007b113905abfa3f64d8f98b7a3c995859308f284e04781cd64200	2	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	dwt2d	1024x1024	PRIMARY_FULL	RUN	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g	public-pretrace	directly runnable	423214689	10	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	2fe0da55cbca519c9e0d79f4de33e2fae0cc71ae6e8f1645efe555222cc1e86b	10	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	gaussian	s=256	PRIMARY_FULL	RUN	19-21m	LT_1H	0.38GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/gaussian-rodinia-3.1/_s_256/traces/kernelslist.g	public-pretrace	directly runnable	877461403	510	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	f94f27a9e3870f664089b3c31eeb9528c486e54498e59aacf1314ea0ff5f3172	510	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
